Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoSewage,TBox,https://www.theworldavatar.com/kg/ontosewage/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoSewage,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoSewage,TBox,OntoSewage is an ontology developed for representing sewerage system.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoSewage,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
SewerageComponent,Class,,,,,,"Sewerage component is the infrastructure that conveys sewage or surface runoff (stormwater, meltwater, rainwater) using sewers.",https://www.theworldavatar.com/kg/ontosewage/,Sewerage component
SewagePlant,Class,,,,,,Sewage plant is a place where sewage is cleaned so that it is not harmful or dangerous to the environment.,https://www.theworldavatar.com/kg/ontosewage/,Sewage plant
SewerageNetwork,Class,,,,,,Sewerage network is a network of pipes and sewers that work together to collect and drain wastewater from the population or industrial centers to off-site treatment facilities.,https://www.theworldavatar.com/kg/ontosewage/,Sewerage network
SubNetwork,Class,SewerageNetwork,IS-A,,,,Sub network is a network that contains branch pipes.,https://www.theworldavatar.com/kg/ontosewage/,Sub network
MainNetwork,Class,SewerageNetwork,IS-A,,,,Main network is a network that contains main pipes.,https://www.theworldavatar.com/kg/ontosewage/,Main network
SewerageUsage,Class,,,,,,Sewerage usage represents what the sewerage is used for.,https://www.theworldavatar.com/kg/ontosewage/,Sewerage usage
PressureDrainage,Class,SewerageUsage,IS-A,,,,"Pressure drainage is about managing the mix of air and water and maintaining the water seal in the trap, to protect the buildings occupants from foul odours and the risk of bacterial contamination.",https://www.theworldavatar.com/kg/ontosewage/,Pressure drainage
MixedProcess,Class,SewerageUsage,IS-A,,,,Mixed process makes it easier to trap harmful substances by increasing a contact area between a flocculant and an undesirable substance.,https://www.theworldavatar.com/kg/ontosewage/,Mixed process
RainWater,Class,SewerageUsage,IS-A,,,,Water that has fallen as or been obtained from rain.,https://www.theworldavatar.com/kg/ontosewage/,Rain water
WasteWater,Class,SewerageUsage,IS-A,,,,"Wastewater is the liquid that comes from showers, washing machines, sinks, toilets, bathtubs, dishwashers, and other items that handle dirty water.",https://www.theworldavatar.com/kg/ontosewage/,Waste water
StreetDrainage,Class,SewerageUsage,IS-A,,,,Drainage of street,https://www.theworldavatar.com/kg/ontosewage/,Street drainage
PreFlood,Class,SewerageUsage,IS-A,,,,"A stream, river, lake, ocean, or other surface or groundwaters into which treated or untreated wastewater is discharged.",https://www.theworldavatar.com/kg/ontosewage/,Pre flood
WaterPipe,Class,SewerageUsage,IS-A,,,,A pipe for conveying water.,https://www.theworldavatar.com/kg/ontosewage/,Water pipe
SewerageRecords,Class,,,,,,"Records such as functional state, ID, and owner of a sewerage component.",https://www.theworldavatar.com/kg/ontosewage/,Sewerage records
OwnershipType,Class,,,,,,Type of ownership for sewerage component.,https://www.theworldavatar.com/kg/ontosewage/,Ownership type
Public,Class,OwnershipType,IS-A,,,,"Public ownership means that water could be properly managed at catchment level, and that the whole water cycle could be considered.",https://www.theworldavatar.com/kg/ontosewage/,Public
Private,Class,OwnershipType,IS-A,,,,Belongs to the homeowner,https://www.theworldavatar.com/kg/ontosewage/,Private
City,Class,OwnershipType,IS-A,,,,Belongs to the city government,https://www.theworldavatar.com/kg/ontosewage/,City
FunctionalState,Class,,,,,,"Operational state for sewerage component, i.e., under construction.",https://www.theworldavatar.com/kg/ontosewage/,Functional state
Constructed,Class,FunctionalState,IS-A,,,,Completely built/developed,https://www.theworldavatar.com/kg/ontosewage/,Constructed
Stock,Class,FunctionalState,IS-A,,,,Regularly available,https://www.theworldavatar.com/kg/ontosewage/,Stock
OutOfService,Class,FunctionalState,IS-A,,,,Not available for use,https://www.theworldavatar.com/kg/ontosewage/,Out of service
Planning,Class,FunctionalState,IS-A,,,,Design or make a plan of (something to be made or built).,https://www.theworldavatar.com/kg/ontosewage/,Planning
Insulated,Class,FunctionalState,IS-A,,,,Protected by interposing material that prevents the transfer of heat between the external environment and fluid circulating through pipes,https://www.theworldavatar.com/kg/ontosewage/,Insulated
ConstructionProperties,Class,,,,,,Construction properties for a sewerage component such as construction year and used materials.,https://www.theworldavatar.com/kg/ontosewage/,Construction properties
https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,Class,,,,,,,https://w3id.org/digitalconstruction/0.3/BuildingMaterials,
Concrete,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,Concrete is a composite material composed of fine and coarse aggregate bonded together with a fluid cement (cement paste) that hardens over time.,https://www.theworldavatar.com/kg/ontosewage/,Concrete
PolyvinylChlorideHard,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,Synthetic polymer of plastic.,https://www.theworldavatar.com/kg/ontosewage/,Polyvinyl chloride hard
ReinforcedConcrete,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,Concrete in which steel is embedded in such a manner that the two materials act together in resisting forces.,https://www.theworldavatar.com/kg/ontosewage/,Reinforced concrete
Stoneware,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,"Stoneware is dense pottery fired at high temperatures to make it resistant to liquids, or non-porous.",https://www.theworldavatar.com/kg/ontosewage/,Stoneware
GrayCastIron,Class,https://w3id.org/digitalconstruction/0.3/BuildingMaterials#Material,IS-A,,,,Grey cast iron is a type of cast iron that has a graphitic microstructure.,https://www.theworldavatar.com/kg/ontosewage/,Gray cast iron
ChannelType,Class,,,,,,Type of channel for construction properties,https://www.theworldavatar.com/kg/ontosewage/,Channel type
Penstock,Class,ChannelType,IS-A,,,,A sluice for controlling or directing the flow of water.,https://www.theworldavatar.com/kg/ontosewage/,Penstock
OpenGravityPipeline,Class,ChannelType,IS-A,,,,"An open pipeline in which the water, according to the law of gravity, travels from a higher starting point to a lower ending point.",https://www.theworldavatar.com/kg/ontosewage/,Open gravity pipeline
ClosedGravityPipeline,Class,ChannelType,IS-A,,,,"A closed pipeline in which the water, according to the law of gravity, travels from a higher starting point to a lower ending point.",https://www.theworldavatar.com/kg/ontosewage/,Closed gravity pipeline
https://saref.etsi.org/saref4watr/Pipe,Class,SewerageComponent,IS-A,,,,,https://saref.etsi.org/saref4watr/,
CrossSection,Class,,,,,,"A surface or shape exposed by making a straight cut through pipe, especially at right angles to an axis.",https://www.theworldavatar.com/kg/ontosewage/,Cross section
Shape,Class,,,,,,"External form of Manhole's cover, flume, shaft, or cross section.",https://www.theworldavatar.com/kg/ontosewage/,Shape
EggShaped,Class,Shape,IS-A,,,,Having the oval shape of an egg.(The depth is one and half times the width.),https://www.theworldavatar.com/kg/ontosewage/,Egg shaped
OpenTrench,Class,Shape,IS-A,,,,"Open trench means a partially or totally excavated trench, including a trench in which a pipe, conduit or cable has been laid but not fully backfilled to the level of the adjoining ground and finally compacted.",https://www.theworldavatar.com/kg/ontosewage/,Open trench
SemiCircle,Class,Shape,IS-A,,,,A half of a circle or of its circumference.,https://www.theworldavatar.com/kg/ontosewage/,Semi circle
Circle,Class,Shape,IS-A,,,,A round plane figure whose boundary (the circumference) consists of points equidistant from a fixed point (the centre).,https://www.theworldavatar.com/kg/ontosewage/,Circle
