Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoSpecies,TBox,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoSpecies,TBox,2,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoSpecies,TBox,OntoSpecies is an ontology developed for representing chemical species.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoSpecies,TBox,"Copyright (C) 2021 Prof. Markus Kraft (mk306@cam.ac.uk), Cambridge CARES (https://www.cares.cam.ac.uk/), the Computational Modelling Group (https://como.ceb.cam.ac.uk/), and Computational Modelling Cambridge Ltd. (https://cmclinnovations.com/).
",http://purl.org/dc/elements/1.1/rights,,,,,,
OntoSpecies,TBox,"This ontology is licensed under the MIT License. For more details, visit https://github.com/cambridge-cares/TheWorldAvatar/blob/main/LICENSE.txt. ",http://purl.org/dc/terms/license,,,,,,
OntoSpecies,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Species,Class,http://www.theworldavatar.com/ontology/ontocape/material/substance/substance.owl#ChemicalSpecies,EQUIVALENT-TO,,,,"""An ensemble of chemically identical molecular entities"" (McNaught & Wilkinson, 1997).",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Species,Class,http://www.theworldavatar.com/ontology/ontokin/OntoKin.owl#Species,IS-A,,,,,,
http://www.daml.org/2003/01/periodictable/PeriodicTable#Element,Class,,,,,,An element in the periodic table.,http://www.daml.org/2003/01/periodictable/PeriodicTable,
http://purl.org/gc/Atom,Class,,,,,,A chemical entity constituting the smallest component of an element having the chemical properties of the element.,http://purl.org/gc,
FunctionalGroup,Class,http://semanticscience.org/resource/CHEMINF_000068,EQUIVALENT-TO,,,,Specific groups of atoms within molecules that are responsible for the characteristic chemical reactions of those molecules.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
AtomicRadius,Class,http://semanticscience.org/resource/CHEMINF_000125,EQUIVALENT-TO,,,,Radius of an atom.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
AtomicRadius,Class,Property,IS-A,,,,,,
AtomicWeight,Class,http://semanticscience.org/resource/CHEMINF_000084,EQUIVALENT-TO,,,,Mass of an atom.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
AtomicWeight,Class,Property,IS-A,,,,,,
ElectronAffinity,Class,Property,IS-A,,,,Amount of energy released when an electron attaches to a neutral atom or molecule in the gaseous state to form an anion.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
ElectronConfiguration,Class,Property,IS-A,,,,Arrangement of electrons in orbitals around an atomic nucleus.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Electronegativity,Class,http://semanticscience.org/resource/CHEMINF_000121,EQUIVALENT-TO,,,,Electronegativity is an atomic quality that describes its power to attract electrons to itself.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Electronegativity,Class,Property,IS-A,,,,,,
ElementGroupNumber,Class,Property,IS-A,,,,Group number of an element in the periodic table.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
ElementPeriodNumber,Class,Property,IS-A,,,,Period number of an element in the periodic table.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
GroundLevel,Class,Property,IS-A,,,,Ground level of an element in the periodic table.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
IonizationEnergy,Class,http://semanticscience.org/resource/CHEMINF_000191,EQUIVALENT-TO,,,,"Ionization energy, also called ionization potential, is the amount of energy required to remove an electron from an isolated atom.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
IonizationEnergy,Class,Property,IS-A,,,,,,
OxidationStates,Class,Property,IS-A,,,,Oxidation states of an element in the periodic table.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Identifier,Class,http://semanticscience.org/resource/CHEMINF_000061,EQUIVALENT-TO,,,,"Chemical names, synonyms, identifiers, and descriptors.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
ChebiID,Class,http://semanticscience.org/resource/CHEMINF_000407,EQUIVALENT-TO,,,,Database identifier used by ChEBI.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
ChebiID,Class,Identifier,IS-A,,,,,,
CID,Class,http://semanticscience.org/resource/CHEMINF_000140,EQUIVALENT-TO,,,,Database identifier used by PubChem.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
CID,Class,Identifier,IS-A,,,,,,
ElementName,Class,Identifier,IS-A,,,,Name of an element in the periodic table.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
ElementSymbol,Class,Identifier,IS-A,,,,Symbol of an element in the periodic table.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
EmpiricalFormula,Class,Identifier,IS-A,,,,A chemical formula that indicates the relative number of each constituting chemical element of a species or molecular entity.,http://www.theworldavatar.com/ontology/ontocape/material/substance/substance.owl,
InChI,Class,http://semanticscience.org/resource/CHEMINF_000113,EQUIVALENT-TO,,,,"The IUPAC International Chemical Identifier (InChI) is a textual identifier for chemical substances, designed to provide a standard and human-readable way to encode molecular information and to facilitate the search for such information in databases and on the web.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
InChI,Class,Identifier,IS-A,,,,,,
InChIKey,Class,http://semanticscience.org/resource/CHEMINF_000059,EQUIVALENT-TO,,,,The InChIKey is a fixed length (27 character) condensed digital representation of the InChI that is not human-understandable.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
InChIKey,Class,Identifier,IS-A,,,,,,
IUPACName,Class,http://semanticscience.org/resource/CHEMINF_000107,EQUIVALENT-TO,,,,An IUPAC name is a systematic name which is formulated according to the rules and recommendations for chemical nomenclature set out by the International Union of Pure and Applied Chemistry (IUPAC).,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
IUPACName,Class,Identifier,IS-A,,,,,,
MolecularFormula,Class,http://semanticscience.org/resource/CHEMINF_000042,EQUIVALENT-TO,,,,A molecular formula is a structure descriptor which identifies each constituent element by its chemical symbol and indicates the number of atoms of each element found in each discrete molecule of that compound.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
MolecularFormula,Class,Identifier,IS-A,,,,,,
SMILES,Class,http://semanticscience.org/resource/CHEMINF_000018,EQUIVALENT-TO,,,,A SMILES is a structure descriptor that denotes a molecular structure as a graph.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
SMILES,Class,Identifier,IS-A,,,,,,
Property,Class,,,,,,Chemical or physical property of a chemical species or element in the periodic table.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
AtomChiralCount,Class,http://semanticscience.org/resource/CHEMINF_000205,EQUIVALENT-TO,,,,Atom stereocenter (atom that is related to four distinct atoms) count.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
AtomChiralCount,Class,Property,IS-A,,,,,,
AtomChiralDefCount,Class,http://semanticscience.org/resource/CHEMINF_000206,EQUIVALENT-TO,,,,Defined atom stereocenter (atom that is related to four distinct atoms) count.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
AtomChiralDefCount,Class,Property,IS-A,,,,,,
AtomChiralUndefCount,Class,http://semanticscience.org/resource/CHEMINF_000212,EQUIVALENT-TO,,,,Undefined atom stereocenter (atom that is related to four distinct atoms) count.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
AtomChiralUndefCount,Class,Property,IS-A,,,,,,
BondChiralCount,Class,http://semanticscience.org/resource/CHEMINF_000213,EQUIVALENT-TO,,,,Bond stereocenter count.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
BondChiralCount,Class,Property,IS-A,,,,,,
BondChiralDefCount,Class,http://semanticscience.org/resource/CHEMINF_000214,EQUIVALENT-TO,,,,Defined bond stereocenter count.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
BondChiralDefCount,Class,Property,IS-A,,,,,,
BondChiralUndefCount,Class,http://semanticscience.org/resource/CHEMINF_000215,EQUIVALENT-TO,,,,Undefined bond stereocenter count.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
BondChiralUndefCount,Class,Property,IS-A,,,,,,
CanonicalizedCompound,Class,Property,IS-A,,,,Indicate if the compound is canonicalized.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Charge,Class,http://semanticscience.org/resource/CHEMINF_000131,EQUIVALENT-TO,,,,The overall net charge of a chemical entity in units of elementary charge.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Charge,Class,Property,IS-A,,,,,,
CompoundComplexity,Class,http://semanticscience.org/resource/CHEMINF_000390,EQUIVALENT-TO,,,,Indicator that denotes how complicated a structure is.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
CompoundComplexity,Class,Property,IS-A,,,,,,
CovalentUnitCount,Class,http://semanticscience.org/resource/CHEMINF_000280,EQUIVALENT-TO,,,,The number of covalent units in a chemical structure.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
CovalentUnitCount,Class,Property,IS-A,,,,,,
ExactMass,Class,http://semanticscience.org/resource/CHEMINF_000217,EQUIVALENT-TO,,,,"Mass of the most intense molecule peak in an MS spec, and when calculated denotes the mass of a molecule containing most likely isotopic composition for a single random molecule.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
ExactMass,Class,Property,IS-A,,,,,,
HeavyAtomCount,Class,http://semanticscience.org/resource/CHEMINF_000300,EQUIVALENT-TO,,,,The number of non-hydrogen atoms.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
HeavyAtomCount,Class,Property,IS-A,,,,,,
HydrogenBondAcceptorCount,Class,http://semanticscience.org/resource/CHEMINF_000245,EQUIVALENT-TO,,,,Number of hydrogen bond acceptors in a given molecular entity. This is usually the count of all negatively or partially negatively charged heteroatoms (e.g. alcohol oxygen) capable of accepting a hydrogen bond.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
HydrogenBondAcceptorCount,Class,Property,IS-A,,,,,,
HydrogenBondDonorCount,Class,http://semanticscience.org/resource/CHEMINF_000244,EQUIVALENT-TO,,,,Number of hydrogen bond donors in a given molecular entity. This is usually the count of all negatively or partially negatively charged heteroatoms (e.g. alcohol oxygen) that have covalently attached to them partially positively charged hydrogen atoms that are capable of participating in a hydrogen bond.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
HydrogenBondDonorCount,Class,Property,IS-A,,,,,,
IsotopeAtomCount,Class,http://semanticscience.org/resource/CHEMINF_000301,EQUIVALENT-TO,,,,The sum of all atoms enriched with respect to a particular atom isotope.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
IsotopeAtomCount,Class,Property,IS-A,,,,,,
MolecularWeight,Class,http://semanticscience.org/resource/CHEMINF_000216,EQUIVALENT-TO,,,,The mass of one mole of a species in units of g/mol.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
MolecularWeight,Class,Property,IS-A,,,,,,
MonoIsotopicWeight,Class,http://semanticscience.org/resource/CHEMINF_000218,EQUIVALENT-TO,,,,"The mass of a molecule calculated using the mass of the most abundant isotope of each element. E.g., Carbon has a monoisotopic mass of 12.000 g/mol.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
MonoIsotopicWeight,Class,Property,IS-A,,,,,,
RotatableBondCount,Class,http://semanticscience.org/resource/CHEMINF_000254,EQUIVALENT-TO,,,,"A bond count that denotes the integer number of rotors in the molecule, generally single bonds torsion around which produces non-identical geometric molecular configurations.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
RotatableBondCount,Class,Property,IS-A,,,,,,
SubStructureKeysFingerprint,Class,Property,IS-A,,,,Binary substructure fingerprint for chemical structures. These fingerprints are used for similarity neighboring and similarity searching.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
TautomerCount,Class,http://semanticscience.org/resource/CHEMINF_000202,EQUIVALENT-TO,,,,Count of tautomers.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
TautomerCount,Class,Property,IS-A,,,,,,
XLogP3,Class,Property,IS-A,,,,XLOGP3is an atom-additive method that calculates log P by adding up contributions from each atom in the given molecule.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
AutoignitionTemperature,Class,http://semanticscience.org/resource/CHEMINF_000444,EQUIVALENT-TO,,,,"The lowest temperature at which the substance will spontaneously ignite in a normal atmosphere without an external source of ignition (e.g., spark or flame).",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
AutoignitionTemperature,Class,Property,IS-A,,,,,,
Caco2Permeability,Class,Property,IS-A,,,,Caco-2 (Cancer coli-2) is a human colon epithelial cancer cell line (established from human colorectal adenocarcinoma cells). It is primarily used as a model of the intestinal epithelial barrier. The Caco-2 permeability of a chemical is used as a measure of its intestinal absorption in human.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
CollisionCrossSection,Class,Property,IS-A,,,,"Collision cross section represents the effective area for the interaction between an individual ion and the neutral gas through which it is traveling (e.g., in ion mobility spectrometry experiments). It quantifies the probability of a collision taking place between two or more particles.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Hydrophobicity,Class,Property,IS-A,,,,Hydrophobicity is the physical property of a molecule that is seemingly repelled from a mass of water.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
IonizationPotential,Class,http://semanticscience.org/resource/CHEMINF_000191,EQUIVALENT-TO,,,,"Ionization potential, also called ionization energy, is the amount of energy required to remove an electron from an isolated atom or molecule.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
IonizationPotential,Class,Property,IS-A,,,,,,
IsoelectricPoint,Class,Property,IS-A,,,,"The isoelectric point, sometimes abbreviated to IEP, is the pH at which a particular molecule or surface carries no net electrical charge.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
LogP,Class,http://semanticscience.org/resource/CHEMINF_000251,EQUIVALENT-TO,,,,"Log P is the partition coefficient expressed in logarithmic form. The partition coefficient is the ratio of concentrations of a compound in a mixture of two immiscible solvents at equilibrium. This ratio is therefore used to compare the solubilities of the solute in these two solvents. Because octanol and water are the most commonly used pair of solvents for measuring partition coefficients, the Log P values listed in this section refer to octanol/water partition coefficients, unless indicated otherwise.",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
LogP,Class,Property,IS-A,,,,,,
LogS,Class,Property,IS-A,,,,The base-10 logarithm of the aqueous solubility of this compound.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
PolarSurfaceArea,Class,http://semanticscience.org/resource/CHEMINF_000307,EQUIVALENT-TO,,,,The polar surface area is defined as the combined surface area belonging to oxygen and nitrogen atoms and hydrogen atoms bound to these electronegative atoms.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
PolarSurfaceArea,Class,Property,IS-A,,,,,,
ThermoProperty,Class,Property,IS-A,,,,Thermodynamic property of a chemical species.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
BoilingPoint,Class,http://semanticscience.org/resource/CHEMINF_000257,EQUIVALENT-TO,,,,The temperature at which this compound changes state from liquid to gas at a given atmospheric pressure.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
BoilingPoint,Class,ThermoProperty,IS-A,,,,,,
Density,Class,http://semanticscience.org/resource/CHEMINF_000416,EQUIVALENT-TO,,,,"Density (with unit) and specific gravity (without unit) of a compound. Density is mass of a unit volume of a compound and commonly expressed in units of kg/m3 or g/cm3. Specific gravity, also known as relative density, is a unit-less quantity, defined as the ratio of the density of a compound to that of a standard reference material (typically, water at 4 °C for liquids and air at room temperature [20 °C or 68 °F] for gases).",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
Density,Class,ThermoProperty,IS-A,,,,,,
DissociationConstants,Class,ThermoProperty,IS-A,,,,"A specific type of equilibrium constant that measures the propensity of a larger object to separate (dissociate) reversibly into smaller components, as when a complex falls apart into its component molecules, or when a salt splits up into its component ions. This includes pKa (the negative logarithm of the acid dissociation constant) and pKb (the negative logarithm of the base dissociation constant).",http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
EnthalpyOfSublimation,Class,ThermoProperty,IS-A,,,,The enthalpy (or heat) of sublimation is the amount of energy that must be added to a mole of solid at constant pressure to turn it directly into a gas (without passing through the liquid phase).,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
FlashPoint,Class,http://semanticscience.org/resource/CHEMINF_000417,EQUIVALENT-TO,,,,The lowest temperature at which a liquid can gives off vapor to form an ignitable mixture in air near the surface of the liquid.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
FlashPoint,Class,ThermoProperty,IS-A,,,,,,
StandardEnthalpyOfFormation,Class,http://semanticscience.org/resource/CHEMINF_000241,EQUIVALENT-TO,,,,The energy required to form 1 mole of a substance from its constituent elements.,http://www.theworldavatar.com/ontology/ontospecies/OntoSpecies.owl,
StandardEnthalpyOfFormation,Class,ThermoProperty,IS-A,,,,,,
