Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoTimeSeries,TBox,https://www.theworldavatar.com/kg/ontotimeseries/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoTimeSeries,TBox,1.2,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoTimeSeries,TBox,"The Time series ontology (OntoTimeSeries) is an ontology developed for representing data associated with time series, incl. forecasting.",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoTimeSeries,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
TimeSeries,Class,,,,,,,https://www.theworldavatar.com/kg/ontotimeseries/,Time series
hasTimeSeries,Object Property,,,http://www.w3.org/2002/07/owl#Thing,TimeSeries,,,https://www.theworldavatar.com/kg/ontotimeseries/,has time series
hasRDB,Data Property,,,TimeSeries,http://www.w3.org/2001/XMLSchema#string,,,https://www.theworldavatar.com/kg/ontotimeseries/,has RDB URL
hasTimeUnit,Data Property,,,TimeSeries,http://www.w3.org/2001/XMLSchema#string,,should have a list of units,https://www.theworldavatar.com/kg/ontotimeseries/,has time unit
InstantaneousTimeSeries,Class,TimeSeries,IS-A,,,,Time series where the data is the measurement value at each time step,https://www.theworldavatar.com/kg/ontotimeseries/,Instantaneous time series
AverageTimeSeries,Class,TimeSeries,IS-A,,,,Time series where the data is the calculated average,https://www.theworldavatar.com/kg/ontotimeseries/,Average time series
CumulativeTimeSeries,Class,TimeSeries,IS-A,,,,Time series of cumulative data,https://www.theworldavatar.com/kg/ontotimeseries/,Cumulative time series
CumulativeTotalTimeSeries,Class,CumulativeTimeSeries,IS-A,,,,Time series of running sum,https://www.theworldavatar.com/kg/ontotimeseries/,Cumulative total time series
StepwiseCumulativeTimeSeries,Class,CumulativeTimeSeries,IS-A,,,,Time series where data is cumulative between time steps,https://www.theworldavatar.com/kg/ontotimeseries/,Stepwise cumulative time series
hasAveragingPeriod,Object Property,,,AverageTimeSeries,http://www.w3.org/2006/time#Duration,,A relationship between a time series of averages and the time interval considered in the average calculation,https://www.theworldavatar.com/kg/ontotimeseries/,has averaging period
Forecast,Class,,,,,,A prediction or estimate about how something will develop,https://www.theworldavatar.com/kg/ontotimeseries/,Forecast
hasForecast,Object Property,,,http://www.w3.org/2002/07/owl#Thing,Forecast,,A relationship between anything and its forecast,https://www.theworldavatar.com/kg/ontotimeseries/,has forecast
http://www.ontology-of-units-of-measure.org/resource/om-2/hasUnit,Object Property,,,Forecast,http://www.ontology-of-units-of-measure.org/resource/om-2/Unit,,A relationship between a forecast and its unit,https://www.theworldavatar.com/kg/ontotimeseries/,has unit
hasInputTimeInterval,Object Property,,,Forecast,http://www.w3.org/2006/time#Interval,,"A relationship between a forecast and its input time interval, i.e. the time interval used to create the forecast",https://www.theworldavatar.com/kg/ontotimeseries/,has input time interval
hasOutputTimeInterval,Object Property,,,Forecast,http://www.w3.org/2006/time#Interval,,"A relationship between a forecast and its output time interval, i.e. the time interval for which to create the forecast",https://www.theworldavatar.com/kg/ontotimeseries/,has output time interval
ForecastingModel,Class,,,,,,A model used to derive a prediction or estimate about how something will develop,https://www.theworldavatar.com/kg/ontotimeseries/,Forecasting model
hasForecastingModel,Object Property,,,Forecast,ForecastingModel,,A relationship between a forecast and its prediction model,https://www.theworldavatar.com/kg/ontotimeseries/,has forecasting model
http://www.w3.org/2000/01/rdf-schema#label,Data Property,,,ForecastingModel,string,,Name or tag of a forecasting model,https://www.theworldavatar.com/kg/ontotimeseries/,
hasModelURL,Data Property,,,ForecastingModel,string,,URL of storage location of a (pre-trained) forecasting model,https://www.theworldavatar.com/kg/ontotimeseries/,has model URL
hasCheckpointURL,Data Property,,,ForecastingModel,string,,URL of storage location of a model checkpoint file,https://www.theworldavatar.com/kg/ontotimeseries/,has checkpoint URL
scaleData,Data Property,,,ForecastingModel,boolean,,Boolean flag whether the model has been trained with scaled data or not,https://www.theworldavatar.com/kg/ontotimeseries/,scale data
hasCovariate,Object Property,,,ForecastingModel,http://www.w3.org/2002/07/owl#Thing,,A relationship between a forecasting model for a particular quantity and associated covariates ,https://www.theworldavatar.com/kg/ontotimeseries/,has covariate
hasTrainingTimeSeries,Object Property,,,ForecastingModel,TimeSeries,,A relationship between a forecasting model for a particular quantity and the time series used in deriving/training this model,https://www.theworldavatar.com/kg/ontotimeseries/,has training time series
Frequency,Class,http://www.w3.org/2006/time#Duration,IS-A,,,,(Target) frequency of forecast time series,https://www.theworldavatar.com/kg/ontotimeseries/,Frequency
resampleData,Data Property,,,Frequency,boolean,,"Boolean flag whether resampling of the original timeseries is required to derive forecasting frequency (e.g., for irregularly spaced time series)",https://www.theworldavatar.com/kg/ontotimeseries/,resample data
hasSchema,Data Property,,,TimeSeries,string,,Name of schema in database,,
hasTimeClass,Data Property,,,TimeSeries,string,,Name of Java class used for time values,,
hasRDBClientClass,Data Property,,,TimeSeries,string,,Name of Java RDB client class,,
