Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoWildfire,TBox,http://www.theworldavatar.com/kg/ontowildfire/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoWildfire,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoWildfire,TBox,OntoWildfire is an ontology developed to represent wildfires.,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoWildfire,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Fire,Class,,,,,,"A general concept representing any combustion event that emits heat, light, and smoke, often causing destruction.",http://www.theworldavatar.com/kg/ontowildfire/,Fire
Wildfire,Class,Fire,IS-A,,,,"A type of uncontrolled fire occurring in natural areas such as forests, grasslands, or prairies.",http://www.theworldavatar.com/kg/ontowildfire/,Wildfire
StructuralFire,Class,Fire,IS-A,,,,A fire that occurs in or damages man-made structures like buildings or bridges.,http://www.theworldavatar.com/kg/ontowildfire/,Structural Fire
SurfaceFire,Class,Fire,IS-A,,,,"A fire that burns on the ground, consuming vegetation and surface litter.",http://www.theworldavatar.com/kg/ontowildfire/,Surface Fire
GroundFire,Class,Fire,IS-A,,,,"A fire that burns below the surface, consuming organic material in the soil like peat or roots.",http://www.theworldavatar.com/kg/ontowildfire/,Ground Fire
CrownFire,Class,Fire,IS-A,,,,"A fire that spreads to the tops of trees or shrubs, often more intense and difficult to control.",http://www.theworldavatar.com/kg/ontowildfire/,Crown Fire
VolcanicFire,Class,Fire,IS-A,,,,"A fire resulting from volcanic activity, typically involving lava and other volcanic material.",http://www.theworldavatar.com/kg/ontowildfire/,Volcanic Fire
Event,Class,,,,,,"Any occurrence or incident, often associated with a particular time or place.",http://www.theworldavatar.com/kg/ontowildfire/,Event
Interval,Class,Event,,,,,A span of time between two events or points in time.,http://www.theworldavatar.com/kg/ontowildfire/,Interval
Instant,Class,Event,,,,,A specific moment or point in time.,http://www.theworldavatar.com/kg/ontowildfire/,Instant
Characteristics,Class,,,,,,"Qualities or features that define or describe something, often used in the context of phenomena like fire.",http://www.theworldavatar.com/kg/ontowildfire/,Characteristics
Anomaly,Class,Characteristics,IS-A,,,,"An unusual or irregular occurrence, often signifying a deviation from the norm.",http://www.theworldavatar.com/kg/ontowildfire/,Anomaly
