Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoZeolite,TBox,http://www.theworldavatar.com/kg/ontozeolite/,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoZeolite,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,Specifies the version of the OntoZeolite ontology.,,
OntoZeolite,TBox,OntoZeolite is an ontology developed for representing zeolitic materials,http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoZeolite,TBox,,http://www.w3.org/2002/07/owl#imports,,,,Indicates external ontologies that OntoZeolite may incorporate or reference.,,
Species,Class,,,,,,"Represents the general class of all species involved in the zeolite domain, including precursors and products.",http://www.theworldavatar.com/kg/ontozeolite/,Species
Yield,Class,,,,,,"Denotes the class related to the yield from zeolite synthesis processes, capturing efficiency and output.",http://www.theworldavatar.com/kg/ontozeolite/,Yield
Document,Class,,,,,,"Citation information, for example, extracted from a bibtex file.",http://purl.org/ontology/bibo/,Document
MeasureVector,Class,,,,,,A data structure with components and units of measurements,http://www.theworldavatar.com/kg/ontocrystal/,Measure Vector
Measure,Class,,,,,,An object to store a numerical value together with units of measurement. A class from OM-2 ontology.,http://www.ontology-of-units-of-measure.org/resource/om-2/,Measure
CrystalInformation,Class,,,,,,"Collection of most common properties for crystal description, based on CIF standard.",http://www.theworldavatar.com/kg/ontocrystal/,Crystal Information
ZeoliteFramework,Class,,,,,,One of the 255 zeolite frameworks known for now,http://www.theworldavatar.com/kg/ontozeolite/,Zeolite Framework
ZeoliticMaterial,Class,,,,,,"Represents the materials that constitute zeolites, including their properties and structures.",http://www.theworldavatar.com/kg/ontozeolite/,Zeolitic Material
Density,Class,Measure,IS-A,,,,The mass density (usually in g/cm3) of the material.,http://www.theworldavatar.com/kg/ontozeolite/,Density
Recipe,Class,,,,,,Information related to synthesis of a given zeolitic material,http://www.theworldavatar.com/kg/ontozeolite/,Recipe
Precursor,Class,Species,IS-A,,,,Chemical compound used for preparation of the final zeolite according to the recipe,http://www.theworldavatar.com/kg/ontozeolite/,Precursor
ChemicalComponent,Class,,,,,,,http://www.theworldavatar.com/kg/ontozeolite/,
TopologicalProperties,Class,,,,,,A set of characteristics to describe the geometrical and/or topological properties of a material,http://www.theworldavatar.com/kg/ontozeolite/,Topological Properties
AccessibleVolume,Class,Measure,IS-A,,,,"The volume of cavities connected by channels, in %. Excluding izolated cavities. See also OccupiableVolume, AccessibleVolumePerCell",http://www.theworldavatar.com/kg/ontozeolite/,Accessible Volume
