Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By,Label
OntoZoning,TBox,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl,https://www.w3.org/2007/05/powder-s#hasIRI,,,,,,
OntoZoning,TBox,1,http://www.w3.org/2002/07/owl#versionInfo,,,,,,
OntoZoning,TBox,"OntoZoning is an ontology developed to represent relationships between zoning types, land uses and programmes (more specific land uses).",http://www.w3.org/2000/01/rdf-schema#comment,,,,,,
OntoZoning,TBox,,http://www.w3.org/2002/07/owl#imports,,,,,,
Plot,Class,,,,,,As defined by URA Masterplan 2019.,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
LandUse,Class,,,,,,"Broad land use categories that are allowed in a specific zoning type in Singapore. Land uses may have further regulations attached, e.g. maximum use quantums. For example, a land use might be ‘Commercial or Hotel Use in Commercial Zone’. This land use is broad in the sense that a commercial use encompasses more specific uses like ‘restaurant’, ‘bar’ and ‘bookstore.’ This land use is necessary to describe at this level of detail because in Singapore, a minimum use quantum of 60% applies to it, meaning that at least 60% of the GFA of a plot zoned as Commercial must be devoted to a mix of different commercial or hotel uses which may include, for example, &apos;restaurant&apos;, &apos;bar&apos;, and &apos;bookstore&apos;.",http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AgriculturalUse,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AirportUse,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryAgriculturalUse,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryNonReligiousUse,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryReligiousUse,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryUseBusiness1,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryUseBusiness1White,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryUseBusiness2,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryUseBusiness2White,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryUseBusinessPark,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryUseBusinessParkWhite,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
AncillaryUseEducationalInstitutionZone,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
BuiltOpenSpace,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
CemeteryUse,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
CivicInstitutionUse,Class,LandUse,IS-A,,,,,http://www.theworldavatar.com/ontology/ontozoning/OntoZoning.owl#,
