country,capacity_MW,primary_fuel,generation_technology,year,age,output_MWh,fuel_used
Afghanistan,42,natural_gas,OCGT,1980,27,191232,gas
Albania,97,natural_gas,CCGT,1980,27,570785,gas
Albania,186,oil,subcritical,1980,27,416230,oil
Algeria,72,natural_gas,OCGT,1972,45,252156,gas
Algeria,80,natural_gas,OCGT,1972,45,238236,gas
Algeria,96,natural_gas,OCGT,1977,40,334022,gas
Algeria,100,natural_gas,OCGT,1977,40,426830,gas
Algeria,108,natural_gas,OCGT,1978,39,377674,gas
Algeria,120,natural_gas,OCGT,1978,39,120000,gas
Algeria,133,natural_gas,subcritical,1965,52,582076,gas
Algeria,155,natural_gas,subcritical,2011,6,0,gas
Algeria,200,natural_gas,OCGT,1988,29,685516,gas
Algeria,254,natural_gas,OCGT,2009,8,0,gas
Algeria,262,natural_gas,subcritical,1975,42,1194646,gas
Algeria,300,natural_gas,OCGT,2004,13,796145,gas
Algeria,314,natural_gas,OCGT,2005,12,0,gas
Algeria,318,natural_gas,OCGT,2005,12,1085118,gas
Algeria,320,natural_gas,OCGT,1978,39,1223826,gas
Algeria,360,natural_gas,OCGT,2001,16,527600,gas
Algeria,418,natural_gas,CCGT,2002,15,1736465,gas
Algeria,420,natural_gas,OCGT,1978,39,1644084,gas
Algeria,445,natural_gas,OCGT,1978,39,1360661,gas
Algeria,465,natural_gas,OCGT,2007,10,0,gas
Algeria,490,natural_gas,OCGT,2002,15,540505,gas
Algeria,492,natural_gas,OCGT,1999,18,1690166,gas
Algeria,500,natural_gas,OCGT,2006,11,429393,gas
Algeria,500,natural_gas,CCGT,2006,11,429393,gas
Algeria,520,natural_gas,OCGT,2006,11,851236,gas
Algeria,588,natural_gas,subcritical,1992,25,2764278,gas
Algeria,672,natural_gas,subcritical,1986,31,3422551,gas
Algeria,730,natural_gas,OCGT,1986,31,0,gas
Algeria,800,natural_gas,OCGT,1981,36,3751761,gas
Algeria,840,natural_gas,subcritical,1981,36,2205081,gas
Algeria,880,natural_gas,CCGT,2005,12,2245459,gas
Algeria,1040,natural_gas,CCGT,1983,34,4543482,gas
Algeria,1200,natural_gas,CCGT,2012,5,0,gas
Algeria,1227,natural_gas,CCGT,2009,8,0,gas
Angola,148,natural_gas,OCGT,2009,8,908175,gas
Angola,210,natural_gas,OCGT,1979,38,416230,oil
Argentina,18,natural_gas,OCGT,1979,38,28066,gas
Argentina,22,oil,OCGT,1979,38,0,oil
Argentina,32,natural_gas,OCGT,1979,38,130584,gas
Argentina,34,natural_gas,OCGT,1979,38,76053,gas
Argentina,35,natural_gas,OCGT,1979,38,117974,gas
Argentina,39,natural_gas,OCGT,1979,38,37795,gas
Argentina,48,natural_gas,OCGT,1979,38,277773,gas
Argentina,50,natural_gas,OCGT,1979,38,128060,gas
Argentina,68,natural_gas,OCGT,1979,38,59535,gas
Argentina,97,natural_gas,OCGT,1969,48,400538,gas
Argentina,125,natural_gas,OCGT,1969,48,422226,gas
Argentina,127,natural_gas,cogeneration,1969,48,137774,gas
Argentina,132,natural_gas,OCGT,1969,48,971315,gas
Argentina,138,natural_gas,CCGT,1969,48,522767,gas
Argentina,159,natural_gas,OCGT,1969,48,161911,gas
Argentina,163,natural_gas,cogeneration,1969,48,949797,gas
Argentina,194,natural_gas,OCGT,1969,48,1177685,gas
Argentina,206,natural_gas,subcritical,1969,48,1043870,gas
Argentina,216,natural_gas,subcritical,1969,48,629016,gas
Argentina,232,natural_gas,OCGT,1969,48,471550,gas
Argentina,327,natural_gas,CCGT,1969,48,1021104,gas
Argentina,361,natural_gas,OCGT,1969,48,1403206,gas
Argentina,396,natural_gas,CCGT,1969,48,733509,gas
Argentina,420,natural_gas,CCGT,1969,48,1644084,gas
Argentina,438,natural_gas,CCGT,1969,48,0,gas
Argentina,466,natural_gas,CCGT,1969,48,0,gas
Argentina,540,natural_gas,OCGT,1969,48,2124376,gas
Argentina,550,natural_gas,CCGT,1969,48,2967611,gas
Argentina,555,natural_gas,CCGT,1969,48,222466,gas
Argentina,640,natural_gas,supercritical,1969,48,3564000,gas
Argentina,643,natural_gas,CCGT,1969,48,3564000,gas
Argentina,650,coal,subcritical,1969,48,4259089,coal
Argentina,670,natural_gas,CCGT,1969,48,3422551,gas
Argentina,755,natural_gas,OCGT,1969,48,3711940,gas
Argentina,775,natural_gas,CCGT,1969,48,0,gas
Argentina,786,natural_gas,CCGT,1969,48,0,gas
Argentina,825,natural_gas,CCGT,1969,48,5473000,gas
Argentina,830,natural_gas,CCGT,1969,48,0,gas
Argentina,845,natural_gas,CCGT,1969,48,0,gas
Argentina,859,natural_gas,CCGT,1969,48,2151845,gas
Argentina,1019,natural_gas,subcritical,1969,48,0,gas
Argentina,1138,natural_gas,subcritical,1969,48,5323759,gas
Armenia,96,natural_gas,subcritical,1961,56,61299,gas
Armenia,243,natural_gas,CCGT,1961,56,323059,gas
Armenia,480,natural_gas,CCGT,2012,5,0,gas
Armenia,550,natural_gas,subcritical,2012,5,2967611,gas
Armenia,1110,natural_gas,subcritical,1966,51,1209497,gas
Australia,16,natural_gas,subcritical,2012,5,8986,gas
Australia,17,natural_gas,OCGT,2012,5,34162,gas
Australia,21,natural_gas,OCGT,2012,5,258849,gas
Australia,22,oil,OCGT,2012,5,0,oil
Australia,28,natural_gas,OCGT,2012,5,61434,gas
Australia,30,natural_gas,CCGT,2012,5,99208,gas
Australia,32,natural_gas,OCGT,2012,5,130584,gas
Australia,33,natural_gas,CCGT,2012,5,114719,gas
Australia,34,natural_gas,OCGT,1975,42,76053,gas
Australia,34,natural_gas,CCGT,1975,42,28378,oil
Australia,36,natural_gas,cogeneration,1975,42,43085,gas
Australia,37,natural_gas,OCGT,1975,42,43085,gas
Australia,42,natural_gas,OCGT,1975,42,191232,gas
Australia,49,natural_gas,OCGT,1975,42,5159,gas
Australia,53,natural_gas,CCGT,1975,42,86825,gas
Australia,60,natural_gas,CCGT,1975,42,179952,gas
Australia,63,natural_gas,OCGT,1975,42,12366,gas
Australia,74,natural_gas,OCGT,1975,42,350141,gas
Australia,76,natural_gas,CCGT,1975,42,350141,gas
Australia,80,natural_gas,OCGT,1975,42,238236,gas
Australia,86,natural_gas,OCGT,1975,42,200406,gas
Australia,90,natural_gas,OCGT,1975,42,48459,gas
Australia,94,natural_gas,OCGT,2001,16,84329,gas
Australia,108,natural_gas,OCGT,2001,16,377674,gas
Australia,110,natural_gas,OCGT,2001,16,130423,gas
Australia,112,natural_gas,OCGT,1990,27,130423,gas
Australia,114,bituminous,subcritical,1990,27,1322018,coal
Australia,119,natural_gas,CCGT,1990,27,304008,gas
Australia,120,natural_gas,CCGT,1990,27,120000,gas
Australia,130,bituminous,subcritical,1990,27,565348,coal
Australia,138,natural_gas,OCGT,1990,27,522767,gas
Australia,140,natural_gas,CCGT,1990,27,980315,gas
Australia,150,lignite,subcritical,1990,27,1051001,coal
Australia,150,natural_gas,OCGT,1990,27,1173405,gas
Australia,151,coal_biomass,subcritical,1990,27,843963,coal
Australia,156,natural_gas,OCGT,1990,27,186171,gas
Australia,160,natural_gas,CCGT,1990,27,308983,gas
Australia,170,lignite,subcritical,1990,27,183727,coal
Australia,180,natural_gas,CCGT,1998,19,527258,gas
Australia,188,natural_gas,OCGT,1998,19,1304165,gas
Australia,190,coal,subcritical,1998,19,1986197,coal
Australia,200,natural_gas,OCGT,1998,19,685516,gas
Australia,203,natural_gas,OCGT,1998,19,1043870,gas
Australia,210,natural_gas,OCGT,1998,19,634292,gas
Australia,216,natural_gas,OCGT,1998,19,629016,gas
Australia,240,subbituminous,subcritical,1998,19,911188,coal
Australia,240,natural_gas,subcritical,1998,19,323059,gas
Australia,240,natural_gas,CCGT,1998,19,323059,gas
Australia,242,natural_gas,CCGT,1998,19,323059,gas
Australia,280,natural_gas,cogeneration,1998,19,303590,gas
Australia,300,natural_gas,OCGT,1998,19,796145,gas
Australia,305,natural_gas,OCGT,1998,19,755661,gas
Australia,310,natural_gas,OCGT,1998,19,0,gas
Australia,320,natural_gas,OCGT,1998,19,1223826,gas
Australia,320,natural_gas,CCGT,1998,19,1223826,gas
Australia,330,bituminous,subcritical,1998,19,797103,coal
Australia,330,natural_gas,OCGT,1998,19,1553993,gas
Australia,330,natural_gas,cogeneration,1998,19,1553993,gas
Australia,332,natural_gas,OCGT,1998,19,1553993,gas
Australia,360,natural_gas,OCGT,1998,19,527600,gas
Australia,385,natural_gas,CCGT,1998,19,839743,gas
Australia,390,natural_gas,OCGT,1998,19,1688199,gas
Australia,414,natural_gas,OCGT,1998,19,0,gas
Australia,414,oil,OCGT,1998,19,2202695,oil
Australia,416,bituminous,subcritical,2009,8,0,coal
Australia,420,bituminous,subcritical,2009,8,2691273,coal
Australia,435,natural_gas,CCGT,2009,8,0,gas
Australia,443,subbituminous,supercritical,2009,8,3158468,coal
Australia,450,natural_gas,OCGT,2009,8,1333567,gas
Australia,468,natural_gas,OCGT,2009,8,0,gas
Australia,480,coal,subcritical,2009,8,4031847,coal
Australia,487,natural_gas,CCGT,2009,8,540505,gas
Australia,500,natural_gas,CCGT,1981,36,902239,gas
Australia,510,natural_gas,subcritical,1981,36,1700774,gas
Australia,544,coal,subcritical,1981,36,2214551,coal
Australia,550,natural_gas,OCGT,1981,36,2967611,gas
Australia,576,natural_gas,OCGT,1981,36,1913109,gas
Australia,600,coal,subcritical,1967,50,3402101,coal
Australia,640,natural_gas,OCGT,2009,8,0,gas
Australia,667,natural_gas,OCGT,2009,8,3422551,gas
Australia,700,subbituminous,subcritical,2009,8,4859672,coal
Australia,750,bituminous,supercritical,2009,8,3232147,coal
Australia,854,bituminous,subcritical,2009,8,1468640,coal
Australia,880,bituminous,supercritical,2009,8,1303533,coal
Australia,900,subbituminous,supercritical,2001,16,5400284,coal
Australia,955,lignite,subcritical,2001,16,4375926,coal
Australia,1000,bituminous,subcritical,2001,16,6219567,coal
Australia,1280,natural_gas,subcritical,2001,16,10300000,gas
Australia,1320,bituminous,subcritical,1978,39,8025737,coal
Australia,1400,coal,subcritical,1993,24,7804385,coal
Australia,1400,subbituminous,subcritical,1993,24,7804385,coal
Australia,1460,bituminous,subcritical,1993,24,2884990,coal
Australia,1480,lignite,subcritical,1993,24,8098859,coal
Australia,1600,lignite,subcritical,1993,24,8641760,coal
Australia,1680,bituminous,subcritical,1976,41,10400000,coal
Australia,2000,bituminous,subcritical,1976,41,21200000,coal
Australia,2210,lignite,subcritical,1976,41,2877524,coal
Australia,2640,bituminous,subcritical,1976,41,7399173,coal
Australia,2840,bituminous,subcritical,1976,41,1965945,coal
