t,Dt,Pt,TCAP
t1,5878.513379,1.63727107,1500
t2,6944.947602,1.778619849,1500
t3,6305.317146,1.984312172,1500
t4,6487.496588,1.812695042,1500
t5,6102.011248,1.765639915,1500
t6,6458.968223,1.75510157,1500
t7,5835.303414,1.87966134,1500
t8,5731.475212,1.584690818,1500
t9,5900.570059,1.859828149,1500
t10,5738.625772,1.774697589,1500
t11,5920.093132,1.887515503,1500
t12,5697.937626,0.89801933,1500
t13,6140.694066,2.001016042,1500
t14,6565.544378,1.551609889,1500
t15,5566.593267,1.763523389,1500
t16,5677.593621,2.188532409,1500
t17,5717.560481,2.670669314,1500
t18,6173.958438,2.082747089,1500
t19,6446.265332,0.984598322,1500
t20,6279.534661,1.738456986,1500
t21,6141.040295,2.087123191,1500
t22,6054.784622,2.189676392,1500
t23,6306.862828,2.214202828,1500
t24,5903.524242,1.731171021,1500
t25,6530.971224,1.768304118,1500
t26,6657.640059,1.954263617,1500
t27,6209.051471,1.683015215,1500
t28,5690.506672,1.94558692,1500
t29,5819.407788,1.67606274,1500
t30,6271.362436,1.414487855,1500
t31,5989.422628,1.354151338,1500
t32,6855.924273,2.297944024,1500
t33,6640.356433,1.601884101,1500
t34,5989.782661,2.007121193,1500
t35,6191.808503,1.338246,1500
t36,6470.645209,1.975550323,1500
t37,6273.738808,1.476472601,1500
t38,6195.395279,1.877997834,1500
t39,5006.589907,1.641456326,1500
t40,6372.41687,1.634685956,1500
t41,6173.042566,1.510402436,1500
t42,5432.532212,1.516430718,1500
t43,6866.254883,1.752149554,1500
t44,5532.585096,1.861840684,1500
t45,5946.168701,1.446283871,1500
t46,4712.183666,2.113081266,1500
t47,5262.085866,1.270673225,1500
t48,5555.810893,2.048433018,1500
t49,5942.634448,1.750480115,1500
t50,5962.199085,2.419176413,1500
t51,6299.060461,2.072195607,1500
t52,6193.02522,1.852363529,1500
t53,5676.520439,2.734050265,1500
t54,5776.833608,2.106515505,1500
t55,5290.921458,1.880431476,1500
t56,6657.697745,2.138774821,1500
t57,5998.324988,2.188953377,1500
t58,5844.541795,0.98122256,1500
t59,5685.158221,1.330523771,1500
t60,6908.226192,2.275440563,1500
t61,5556.555784,1.461848865,1500
t62,5199.334563,2.031425247,1500
t63,4955.628426,1.678347632,1500
t64,6135.974694,1.533934073,1500
t65,6363.934161,1.857632692,1500
t66,5756.992096,2.293263788,1500
t67,7232.183467,1.873423477,1500
t68,6075.492893,1.685974138,1500
t69,6230.906728,2.128340025,1500
t70,5872.349497,2.016886357,1500
t71,5544.544216,1.380787099,1500
t72,6532.639266,1.619120091,1500
t73,5947.996274,1.380813266,1500
