snap,xcor_sw,ycor_sw,zcor_sw,xcor_ne,ycor_ne,zcor_ne,NOx,NMVOC,CO,SO2,NH3,PM2.5,PM10
2,551750.0001,5918656,0,552750,5919656,0,439.1412,211.8737,3978.0830,276.1665,10.1552,128.4592,135.7774
2,551750.0001,5919656,0,552750,5920656,0,1357.7558,707.5686,13302.4744,874.3172,34.1972,428.7609,453.4051
2,551750.0001,5920656,0,552750,5921656,0,50.8634,7.1301,128.1146,25.2025,0.2478,4.4021,4.5805
2,551750.0001,5921656,0,552750,5922656,0,58.0774,8.1414,146.2851,28.7770,0.2830,5.0264,5.2302
2,551750.0001,5922656,0,552750,5923656,0,393.3986,198.9807,3745.5104,251.7868,9.7438,120.5685,127.5218
2,551750.0001,5923656,0,552750,5924656,0,1689.2648,861.1750,16241.8566,1087.5237,42.9194,521.6379,551.9595
2,551750.0001,5924656,0,552750,5925656,0,1655.9424,855.6339,16121.2208,1066.5315,42.0150,518.4392,548.4358
2,551750.0001,5925656,0,552750,5926656,0,96.4548,24.8389,484.6692,53.4280,1.4400,15.1654,16.0712
2,551750.0001,5926656,0,552750,5927656,0,97.0410,25.0884,463.8645,52.5587,1.0853,15.3098,16.0917
2,551750.0001,5927656,0,552750,5928656,0,175.9890,54.4271,1011.8267,98.7971,2.4443,33.1377,34.8989
2,551750.0001,5928656,0,552750,5929656,0,219.7590,35.9173,773.8652,124.1239,3.4328,22.0621,23.6691
2,551750.0001,5929656,0,552750,5930656,0,1392.7161,255.0536,6086.7651,868.3867,34.4303,156.1464,170.8165
2,551750.0001,5930656,0,552750,5931656,0,868.2858,157.1452,3714.2794,535.8278,20.6026,96.2375,105.0781
2,551750.0001,5931656,0,552750,5932656,0,225.1297,40.5577,954.9792,138.3724,5.2554,24.8412,27.1028
2,551750.0001,5933656,0,552750,5934656,0,2.4426,0.4536,10.9471,1.5418,0.0633,0.2776,0.3044
2,551750.0001,5934656,0,552750,5935656,0,1888.2522,342.8622,8284.2109,1187.8609,48.9166,209.3346,229.7786
2,551750.0001,5935656,0,552750,5936656,0,2142.5790,396.2994,9565.6778,1351.5987,55.5211,242.4247,265.8481
2,551750.0001,5936656,0,552750,5937656,0,2276.4025,418.2211,10067.9073,1430.8372,58.2885,255.7765,280.3749
2,551750.0001,5937656,0,552750,5938656,0,554.6358,98.4803,2290.6869,336.6093,12.2825,60.3429,65.6794
2,551750.0001,5938656,0,552750,5939656,0,111.5527,15.6376,280.9785,55.2736,0.5436,9.6545,10.0459
2,551750.0001,5939656,0,552750,5940656,0,53.3865,7.4838,134.4697,26.4527,0.2601,4.6204,4.8077
2,551750.0001,5940656,0,552750,5941656,0,1180.4812,390.7041,8314.5878,733.5339,28.4037,241.2707,258.6891
2,551750.0001,5941656,0,552750,5942656,0,1021.3933,334.5905,7112.0099,632.3957,24.2279,206.6186,221.4857
2,551750.0001,5942656,0,552750,5943656,0,1327.3071,449.5060,9590.7977,831.5043,32.9631,277.5835,297.7701
2,551750.0001,5943656,0,552750,5944656,0,1774.8421,587.2875,12577.8452,1112.5376,44.5778,362.3057,389.0292
2,551750.0001,5944656,0,552750,5945656,0,2630.9470,896.6396,19167.5683,1654.7302,66.4516,553.5981,594.1011
