Source,Type,Target,Relation,Value
ontokin,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontokin,,http://www.theworldavatar.com/blazegraph/namespace/ontokin/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontokin,,http://www.theworldavatar.com/blazegraph/namespace/ontokin/sparql
ontospecies,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontospecies,,http://www.theworldavatar.com/blazegraph/namespace/ontospecies/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontospecies,,http://www.theworldavatar.com/blazegraph/namespace/ontospecies/sparql
ships,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ships,,http://www.theworldavatar.com/blazegraph/namespace/ships/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ships,,http://www.theworldavatar.com/blazegraph/namespace/ships/sparql
weatherstation,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,weatherstation,,http://www.theworldavatar.com/blazegraph/namespace/weatherstation/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,weatherstation,,http://www.theworldavatar.com/blazegraph/namespace/weatherstation/sparql
ontocropmapgml,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontocropmapgml,,http://www.theworldavatar.com/blazegraph/namespace/ontocropmapgml/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontocropmapgml,,http://www.theworldavatar.com/blazegraph/namespace/ontocropmapgml/sparql
ontocompchem,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,ontocompchem,,http://www.theworldavatar.com/blazegraph/namespace/ontocompchem/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,ontocompchem,,http://www.theworldavatar.com/blazegraph/namespace/ontocompchem/sparql
matpp,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,matpp,,http://www.theworldavatar.com/blazegraph/namespace/matpp/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,matpp,,http://www.theworldavatar.com/blazegraph/namespace/matpp/sparql
jpsmetadata,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,jpsmetadata,,http://www.theworldavatar.com/blazegraph/namespace/jpsmetadata/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,jpsmetadata,,http://www.theworldavatar.com/blazegraph/namespace/jpsmetadata/sparql
buildingsthehague,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,buildingsthehague,,http://www.theworldavatar.com/blazegraph/namespace/buildingsthehague/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,buildingsthehague,,http://www.theworldavatar.com/blazegraph/namespace/buildingsthehague/sparql
airqualitystation,Instance,Target Resource,,
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasQueryEndpoint,Data Property,airqualitystation,,http://www.theworldavatar.com/blazegraph/namespace/airqualitystation/sparql
http://theworldavatar.com/ontology/ontokgrouter/OntoKGRouter.owl#hasUpdateEndpoint,Data Property,airqualitystation,,http://www.theworldavatar.com/blazegraph/namespace/airqualitystation/sparql
