item,itemLabel
http://www.wikidata.org/entity/Q8054,protein
http://www.wikidata.org/entity/Q11173,chemical compound
http://www.wikidata.org/entity/Q12187,antibiotic
http://www.wikidata.org/entity/Q12190,penicillin
http://www.wikidata.org/entity/Q18225,vitamin A
http://www.wikidata.org/entity/Q28742,aminoglycoside
http://www.wikidata.org/entity/Q43177,chlorophyll
http://www.wikidata.org/entity/Q72426,Nonoxynols
http://www.wikidata.org/entity/Q73984,disinfectant
http://www.wikidata.org/entity/Q74081,Transfer DNA
http://www.wikidata.org/entity/Q79529,chemical substance
http://www.wikidata.org/entity/Q81163,polymer
http://www.wikidata.org/entity/Q103537,antigen
http://www.wikidata.org/entity/Q135149,harmala alkaloid
http://www.wikidata.org/entity/Q141180,vitamin E
http://www.wikidata.org/entity/Q145153,liquid crystal polymer
http://www.wikidata.org/entity/Q145273,polyamide
http://www.wikidata.org/entity/Q145407,polyamide-imide
http://www.wikidata.org/entity/Q163767,reaction inhibitor
http://www.wikidata.org/entity/Q166774,protease inhibitor
http://www.wikidata.org/entity/Q167377,pheromone
http://www.wikidata.org/entity/Q174337,flavin group
http://www.wikidata.org/entity/Q177941,nylon
http://www.wikidata.org/entity/Q178859,antimicrobial drug
http://www.wikidata.org/entity/Q182338,vitamin K
http://www.wikidata.org/entity/Q183206,vitamin B
http://www.wikidata.org/entity/Q183453,cardiolipin
http://www.wikidata.org/entity/Q184651,toxin
http://www.wikidata.org/entity/Q187607,tannin
http://www.wikidata.org/entity/Q188152,ginkgolide
http://www.wikidata.org/entity/Q190016,heparin
http://www.wikidata.org/entity/Q192949,plant hormone
http://www.wikidata.org/entity/Q204947,sultone
http://www.wikidata.org/entity/Q205130,vitamin B6
http://www.wikidata.org/entity/Q205944,polybrominated diphenyl ether
http://www.wikidata.org/entity/Q210420,corticosteroid
http://www.wikidata.org/entity/Q281044,Topoisomerase Inhibitor
http://www.wikidata.org/entity/Q281166,sulfilimine
http://www.wikidata.org/entity/Q288407,bisabolene
http://www.wikidata.org/entity/Q310286,Beta-lactamase inhibitor
http://www.wikidata.org/entity/Q337038,acidulant
http://www.wikidata.org/entity/Q343465,actinomycin
http://www.wikidata.org/entity/Q377458,COX-2 inhibitor
http://www.wikidata.org/entity/Q385413,endohedral fullerene
http://www.wikidata.org/entity/Q394316,aglycone
http://www.wikidata.org/entity/Q407490,hemicellulose
http://www.wikidata.org/entity/Q408018,enamine
http://www.wikidata.org/entity/Q408201,Epothilone
http://www.wikidata.org/entity/Q410539,globotriaosylceramide
http://www.wikidata.org/entity/Q410897,carbapenem antibiotic
http://www.wikidata.org/entity/Q410954,monoamine oxidase inhibitor
http://www.wikidata.org/entity/Q411489,terphenyls
http://www.wikidata.org/entity/Q412251,Integrase inhibitor
http://www.wikidata.org/entity/Q412922,cyanine
http://www.wikidata.org/entity/Q412991,histrionicotoxin
