Old IRI,New IRI
http://www.theworldavatar.com/kb/ontospecies/s00002305.owl/Species_7257908578940800,http://www.theworldavatar.com/kb/ontospecies/Species_2e8f9829-37ca-46ad-91bc-010f37835b4f
http://www.theworldavatar.com/kb/ontospecies/s00002306.owl/Species_7257908645153200,http://www.theworldavatar.com/kb/ontospecies/Species_8710f12f-3edc-4172-98f5-b4465c9b8dd0
http://www.theworldavatar.com/kb/ontospecies/s00002431.owl/Species_7257917534045400,http://www.theworldavatar.com/kb/ontospecies/Species_3769c137-40fa-40fa-a2b9-f321da3dc0c0
http://www.theworldavatar.com/kb/ontospecies/s00002432.owl/Species_7257917601808000,http://www.theworldavatar.com/kb/ontospecies/Species_8f579fe4-1a03-4f11-8811-d708db9638ea
http://www.theworldavatar.com/kb/ontospecies/s00002447.owl/Species_7257918575773700,http://www.theworldavatar.com/kb/ontospecies/Species_8e1ad157-2911-4740-a851-cd1b4735704c
http://www.theworldavatar.com/kb/ontospecies/s00002577.owl/Species_7257927677914900,http://www.theworldavatar.com/kb/ontospecies/Species_0021961d-cdf8-470a-b2d3-4c6faff43948
http://www.theworldavatar.com/kb/ontospecies/s00002578.owl/Species_7257927746224300,http://www.theworldavatar.com/kb/ontospecies/Species_f2ee9b6e-13f3-46c3-bdce-379ec972f8b7
http://www.theworldavatar.com/kb/ontospecies/s00002656.owl/Species_7257934833407400,http://www.theworldavatar.com/kb/ontospecies/Species_7bd49e3d-fb8b-4089-a8c7-2b13178773f9
http://www.theworldavatar.com/kb/ontospecies/s00002657.owl/Species_7257934894226600,http://www.theworldavatar.com/kb/ontospecies/Species_ac81baa1-aafd-4124-88d0-92a4df71d4b9
http://www.theworldavatar.com/kb/ontospecies/s00002658.owl/Species_7257934960453200,http://www.theworldavatar.com/kb/ontospecies/Species_5b5ac265-1a38-4dbf-9207-eb6b6739dd60
http://www.theworldavatar.com/kb/ontospecies/s00002703.owl/Species_7257938097872900,http://www.theworldavatar.com/kb/ontospecies/Species_5c91f127-7fc7-4a32-b4bf-b34476b379de
http://www.theworldavatar.com/kb/ontospecies/s00002784.owl/Species_7257944035703500,http://www.theworldavatar.com/kb/ontospecies/Species_b026cc7a-f7c6-4a16-97a1-a13f930d5e52
http://www.theworldavatar.com/kb/ontospecies/s00002836.owl/Species_7257947920812000,http://www.theworldavatar.com/kb/ontospecies/Species_63fefc5a-d49d-4841-a946-2cdb5f356983
http://www.theworldavatar.com/kb/ontospecies/s00002837.owl/Species_7257947993546900,http://www.theworldavatar.com/kb/ontospecies/Species_f046412c-1c10-40f4-943c-d53b24c7f318
http://www.theworldavatar.com/kb/ontospecies/s00003017.owl/Species_7257961438762300,http://www.theworldavatar.com/kb/ontospecies/Species_82216f39-6a17-4951-930f-8af65cdfa307
http://www.theworldavatar.com/kb/ontospecies/s00003199.owl/Species_7257974887071600,http://www.theworldavatar.com/kb/ontospecies/Species_f7ea6030-fdc6-4013-927a-5b3dcff4b85a
http://www.theworldavatar.com/kb/ontospecies/s00003201.owl/Species_7257974967190200,http://www.theworldavatar.com/kb/ontospecies/Species_b915a6d9-6013-4cab-80a4-56f1504e98fe
http://www.theworldavatar.com/kb/ontospecies/s00003202.owl/Species_7257975068714100,http://www.theworldavatar.com/kb/ontospecies/Species_2c0cd6f1-ecaa-4c70-801d-7f43d3be89bb
http://www.theworldavatar.com/kb/ontospecies/s00003252.owl/Species_7257979199201000,http://www.theworldavatar.com/kb/ontospecies/Species_268196b3-6d26-48ed-af35-53d744e2d24e
http://www.theworldavatar.com/kb/ontospecies/s00003254.owl/Species_7257979272538000,http://www.theworldavatar.com/kb/ontospecies/Species_7a754131-2633-4c95-bc64-2cba4db37d29
http://www.theworldavatar.com/kb/ontospecies/s00003339.owl/Species_7257986455516600,http://www.theworldavatar.com/kb/ontospecies/Species_d5024c74-8791-485a-a907-981390ae1bc6
http://www.theworldavatar.com/kb/ontospecies/s00003340.owl/Species_7257986542291600,http://www.theworldavatar.com/kb/ontospecies/Species_192e43f9-6662-42a8-b174-662a33eb1334
http://www.theworldavatar.com/kb/ontospecies/s00003341.owl/Species_7257986615995000,http://www.theworldavatar.com/kb/ontospecies/Species_6555b1a0-6e58-40f3-83e6-659589bee021
http://www.theworldavatar.com/kb/ontospecies/s00003410.owl/Species_7257992260656600,http://www.theworldavatar.com/kb/ontospecies/Species_2fb70cfe-6707-4d6c-b977-bae913c4878f
http://www.theworldavatar.com/kb/ontospecies/s00003434.owl/Species_7257994125264800,http://www.theworldavatar.com/kb/ontospecies/Species_1affa5ba-c003-49ac-8f35-8c2582945f99
http://www.theworldavatar.com/kb/ontospecies/s00003435.owl/Species_7257994197501200,http://www.theworldavatar.com/kb/ontospecies/Species_69f35e93-b66b-4136-8146-ebb2d03b080b
http://www.theworldavatar.com/kb/ontospecies/s00003545.owl/Species_7258003193366800,http://www.theworldavatar.com/kb/ontospecies/Species_8b7d26b6-1f33-4ca7-8d08-e5404fee4323
http://www.theworldavatar.com/kb/ontospecies/s00003546.owl/Species_7258003271804100,http://www.theworldavatar.com/kb/ontospecies/Species_f8650220-7b3d-4504-a2d7-b56c604b20f8
http://www.theworldavatar.com/kb/ontospecies/s00003547.owl/Species_7258003357199300,http://www.theworldavatar.com/kb/ontospecies/Species_050d6d0a-3c3e-4bbb-8e07-b156b3738b53
http://www.theworldavatar.com/kb/ontospecies/s00003548.owl/Species_7258003434625200,http://www.theworldavatar.com/kb/ontospecies/Species_733eb552-79ee-43cc-afd0-3ee4324d407f
http://www.theworldavatar.com/kb/ontospecies/s00003549.owl/Species_7258003508280400,http://www.theworldavatar.com/kb/ontospecies/Species_e9532098-f9b4-494b-bf38-da79382e2cce
http://www.theworldavatar.com/kb/ontospecies/s00003605.owl/Species_7258008088753400,http://www.theworldavatar.com/kb/ontospecies/Species_353d4667-e25d-476a-bd74-5c34723c8ea3
http://www.theworldavatar.com/kb/ontospecies/s00003606.owl/Species_7258008165441100,http://www.theworldavatar.com/kb/ontospecies/Species_81bbd0e3-2f04-4be6-881f-90471ddf7054
http://www.theworldavatar.com/kb/ontospecies/s00003607.owl/Species_7258008251288000,http://www.theworldavatar.com/kb/ontospecies/Species_d9f56185-3445-492b-9665-70edcf7541f1
http://www.theworldavatar.com/kb/ontospecies/s00003609.owl/Species_7258008398914600,http://www.theworldavatar.com/kb/ontospecies/Species_9c351a4b-a9c9-42a5-aed2-c799c2f2ed20
http://www.theworldavatar.com/kb/ontospecies/s00003610.owl/Species_7258008475593200,http://www.theworldavatar.com/kb/ontospecies/Species_c23597ce-5d31-425c-a4ae-ca1c8ba0e02f
http://www.theworldavatar.com/kb/ontospecies/s00003612.owl/Species_7258008659129900,http://www.theworldavatar.com/kb/ontospecies/Species_91313c2a-8fef-48ef-a6d5-7ef0396ebbea
http://www.theworldavatar.com/kb/ontospecies/s00003613.owl/Species_7258008734533600,http://www.theworldavatar.com/kb/ontospecies/Species_71a329c2-eebd-4af0-b588-0e1ea5ba3b1b
http://www.theworldavatar.com/kb/ontospecies/s00003658.owl/Species_7258012530718400,http://www.theworldavatar.com/kb/ontospecies/Species_c6384a33-227d-4eb5-bee5-d314a3b229aa
http://www.theworldavatar.com/kb/ontospecies/s00003659.owl/Species_7258012604981900,http://www.theworldavatar.com/kb/ontospecies/Species_48929d84-722b-4359-939d-f51d94083138
http://www.theworldavatar.com/kb/ontospecies/s00003749.owl/Species_7258019942593800,http://www.theworldavatar.com/kb/ontospecies/Species_3756e7eb-8648-4dfa-ac60-2242ea26a116
http://www.theworldavatar.com/kb/ontospecies/s00003764.owl/Species_7258021234953100,http://www.theworldavatar.com/kb/ontospecies/Species_6979a7f1-5c89-4b4b-b6d0-7d41ec56034a
http://www.theworldavatar.com/kb/ontospecies/s00003765.owl/Species_7258021306788800,http://www.theworldavatar.com/kb/ontospecies/Species_2caeb3cd-cc2d-4500-be2c-5cb5008cf144
http://www.theworldavatar.com/kb/ontospecies/s00003766.owl/Species_7258021374735100,http://www.theworldavatar.com/kb/ontospecies/Species_cc6e4765-ba77-4595-bb07-995fb420f826
http://www.theworldavatar.com/kb/ontospecies/s00003891.owl/Species_7258031798356200,http://www.theworldavatar.com/kb/ontospecies/Species_f0959f5c-85a6-4eaa-95c6-0d5fb036410f
http://www.theworldavatar.com/kb/ontospecies/s00003971.owl/Species_7258038284836000,http://www.theworldavatar.com/kb/ontospecies/Species_c74e26f9-75b8-4180-b793-f2cf4abaeccb
http://www.theworldavatar.com/kb/ontospecies/s00003972.owl/Species_7258038369550200,http://www.theworldavatar.com/kb/ontospecies/Species_0fd442ee-472d-43ed-afc2-e45febe6dfbf
http://www.theworldavatar.com/kb/ontospecies/s00004111.owl/Species_7258050363596100,http://www.theworldavatar.com/kb/ontospecies/Species_bc505883-de11-4f57-ad91-8762cfe68687
http://www.theworldavatar.com/kb/ontospecies/s00004172.owl/Species_7258055933034900,http://www.theworldavatar.com/kb/ontospecies/Species_e0ddbbd5-c735-4f72-b939-1a5f1bf25e41
