Bus1,Bus2,R,X,B,RateA,RateB,RateC,ratio,angle,status,angmin,angmax
1,2,0.0122,0.02,0.0856,525,525,525,0,0,1,-360,360
1,3,0.007,0.15,0.052,132,132,132,1,2,1,-360,360
1,2,0.0122,0.02,0.2844,525,525,525,0,0,1,-360,360
1,3,0.007,0.15,0.052,132,132,132,1,2,1,-360,360
2,4,0.0004,0.065,0.4454,760,760,760,0,0,1,-360,360
2,4,0.0004,0.065,0.5545,760,760,760,0,0,1,-360,360
4,7,0.00211,0.0135,0.1174,1090,1090,1090,0,0,1,-360,360
4,6,0.0013,0.023,0.1496,1500,1500,1500,0,0,1,-360,360
4,6,0.0013,0.023,0.1758,1120,1120,1120,0,0,1,-360,360
4,5,0.001,0.024,0.125,1000,1000,1000,0,0,1,-360,360
4,5,0.001,0.024,0.125,1000,1000,1000,0,0,1,-360,360
4,7,0.0021,0.0135,0.1538,1090,1090,1090,0,0,1,-360,360
5,6,0.00085,0.01051,0.38254,1390,1390,1390,0,0,1,-360,360
5,6,0.00151,0.01613,0.59296,1390,1390,1390,0,0,1,-360,360
6,9,0.00078,0.00852,0.0737,2100,2100,2100,0,0,1,-360,360
6,9,0.00078,0.00852,0.4635,2100,2100,2100,0,0,1,-360,360
7,8,0.0004,0.0001,0.728,2180,2180,2180,0,0,1,-360,360
7,8,0.0004,0.0001,1.2872,2500,2500,2500,0,0,1,-360,360
7,6,0.003,0.2,0.2939,950,950,950,0,0,1,-360,360
7,6,0.003,0.2,0.2939,950,950,950,0,0,1,-360,360
8,10,0.00083,0.0175,0.6624,3070,3070,3070,0,0,1,-360,360
8,10,0.00083,0.0175,0.6624,3070,3070,3070,0,0,1,-360,360
9,11,0.00164,0.0163,0.4868,1390,1390,1390,0,0,1,-360,360
9,11,0.00164,0.0163,0.4868,1390,1390,1390,0,0,1,-360,360
9,10,0.00352,0.02453,0.1898,855,855,855,0,0,1,-360,360
9,10,0.00492,0.0343,0.2502,775,775,775,0,0,1,-360,360
10,15,0.00053,0.00835,5.373,4840,4840,4840,0,0,1,-360,360
10,15,0.00052,0.0063,1.0636,4020,4020,4020,0,0,1,-360,360
11,15,0.0007,0.042,0.3907,2520,2520,2520,0,0,1,-360,360
11,15,0.00099,0.042,0.5738,2520,2520,2520,0,0,1,-360,360
11,13,0.0004,0.0052,0.2498,2170,2170,2170,0,0,1,-360,360
11,13,0.0004,0.0052,0.2664,2210,2210,2210,0,0,1,-360,360
11,12,0.0001,0.0085,0.0798,3320,3320,3320,0,0,1,-360,360
11,12,0.0001,0.0085,0.0798,3320,3320,3320,0,0,1,-360,360
12,13,0.00096,0.01078,0.385,3100,3100,3100,0,0,1,-360,360
12,18,0.00074,0.009,0.2911,2400,2400,2400,1,2,1,-360,360
12,18,0.00097,0.009,0.3835,2400,2400,2400,0,0,1,-360,360
12,13,0.00096,0.01078,0.385,3100,3100,3100,1,2,1,-360,360
13,18,0.00049,0.007,0.1943,2400,2400,2400,0,0,1,-360,360
13,18,0.00084,0.007,0.7759,2400,2400,2400,0,0,1,-360,360
13,15,0.00137,0.023,0.6643,1240,1240,1240,0,0,1,-360,360
13,15,0.00164,0.023,0.1104,955,955,955,0,0,1,-360,360
13,14,0.00107,0.01163,1.1745,1040,1040,1040,0,0,1,-360,360
13,14,0.00082,0.01201,1.2125,1040,1040,1040,0,0,1,-360,360
14,16,0.0005,0.016,0.2795,2580,2580,2580,0,0,1,-360,360
14,16,0.005,0.018,0.1466,625,625,625,0,0,1,-360,360
15,16,0.00033,0.0052,0.3534,2770,2770,2770,0,0,1,-360,360
15,16,0.00016,0.00172,0.3992,5540,5540,5540,0,0,1,-360,360
15,14,0.00019,0.00222,0.7592,5000,5000,5000,0,0,1,-360,360
15,14,0.00018,0.00222,0.5573,5000,5000,5000,0,0,1,-360,360
16,19,0.00056,0.0141,0.4496,2780,2780,2780,0,0,1,-360,360
16,19,0.00056,0.0141,0.4496,3820,3820,3820,0,0,1,-360,360
17,16,0.001,0.01072,0.2651,2150,2150,2150,0,0,1,-360,360
17,16,0.001,0.01072,0.4573,1890,1890,1890,0,0,1,-360,360
17,22,0.00068,0.0097,0.4566,2100,2100,2100,0,0,1,-360,360
17,22,0.00069,0.0097,0.4574,2100,2100,2100,0,0,1,-360,360
18,17,0.00042,0.0018,0.2349,3100,3100,3100,0,0,1,-360,360
18,17,0.00042,0.0018,0.2349,3460,3460,3460,0,0,1,-360,360
18,23,0.00138,0.0096,0.4829,1970,1970,1970,0,0,1,-360,360
18,23,0.00117,0.0096,0.4122,1970,1970,1970,0,0,1,-360,360
20,26,0.00035,0.0023,0.2249,2780,2780,2780,0,0,1,-360,360
20,26,0.00035,0.0023,0.2249,2780,2780,2780,0,0,1,-360,360
20,19,0.00178,0.0213,0.6682,1590,1590,1590,0,0,1,-360,360
20,19,0.00132,0.0143,0.3656,1590,1590,1590,0,0,1,-360,360
21,16,0.00145,0.01824,0.9169,2780,2780,2780,0,0,1,-360,360
21,16,0.00145,0.01824,0.9169,2780,2780,2780,0,0,1,-360,360
21,25,0.00025,0.01,0.1586,2780,2780,2780,0,0,1,-360,360
21,25,0.00025,0.01,0.1586,2780,2780,2780,0,0,1,-360,360
21,20,0.0012,0.0048,0.4446,2780,2780,2780,0,0,1,-360,360
21,20,0.0012,0.0048,0.7,2780,2780,2780,0,0,1,-360,360
21,19,0.00037,0.0059,0.294,3030,3030,3030,0,0,1,-360,360
21,19,0.00037,0.0059,0.2955,2780,2780,2780,0,0,1,-360,360
22,16,0.00178,0.0172,0.8403,2010,2010,2010,0,0,1,-360,360
22,16,0.00178,0.0172,0.627,2010,2010,2010,0,0,1,-360,360
22,25,0.00037,0.0041,0.4098,3275,3275,3275,0,0,1,-360,360
