Bus,Type,Pd,Gd,Gs,Bs,area,Vm,Va,basekV,zone,Vmax,Vmin,x-axis,y-axis
1,2,0,0,0,0,1,1,0,275,1,1.1,0.9,-4.4906735,57.4698798
2,2,0,0,0,0,1,1,0,275,1,1.1,0.9,-1.7998211,57.4745293
3,2,0,0,0,0,1,1,0,132,1,1.1,0.9,-4.0107947,56.7070037
4,2,0,0,0,0,1,1,0,275,1,1.1,0.9,-3.8890767,56.0386335
5,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-4.4768292,55.8095298
6,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-4.0805189,55.7509421
7,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-2.4082467,55.966361
8,1,0,0,0,0,1,1,0,400,1,1.1,0.9,-2.3299805,55.6684972
9,1,0,0,0,0,1,1,0,400,1,1.1,0.9,-2.9618091,54.9419311
10,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-1.7329921,54.9744212
11,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-2.7549931,53.7443568
12,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-3.0317476,53.2292472
13,1,0,0,0,0,1,1,0,400,1,1.1,0.9,-2.3787821,53.4269672
14,1,0,0,0,0,1,1,0,400,1,1.1,0.9,-1.6016288,53.4877894
15,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-0.8235841,53.9002325
16,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-0.755805,53.5973069
17,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-1.257635,52.862919
18,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-1.9735155,52.2512438
19,2,0,0,0,0,1,1,0,400,1,1.1,0.9,0.1981251,52.7269277
20,2,0,0,0,0,1,1,0,400,1,1.1,0.9,1.0631638,52.0716528
21,2,0,0,0,0,1,1,0,400,1,1.1,0.9,0.1167908,51.9351319
22,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-0.9099366,51.9270632
23,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-2.1441581,51.3749726
24,1,0,0,0,0,1,1,0,400,1,1.1,0.9,-1.0775578,51.3358918
25,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-0.1271547,51.5077431
26,2,0,0,0,0,1,1,0,400,1,1.1,0.9,0.7414151,51.3684603
27,3,0,0,0,0,1,1,0,400,1,1.1,0.9,0.9761146,51.1050295
28,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-1.0383188,50.9163709
29,2,0,0,0,0,1,1,0,400,1,1.1,0.9,-3.4061633,50.7674626
