FromBus,ToBus,BranchNodeIRI,400,275
1,2,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_51ce3510-2b84-4a17-bde9-e4f7c3789019,3,0
1,3,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_ba90d376-a3f6-4b1e-8726-b2adcc264bfa,4,0
3,4,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_0b0105c2-e7a0-4630-aa3b-c6f2d6833a6e,3,0
3,5,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_41bed2d3-52b6-4130-bad1-c28dbccb3f61,3,0
4,5,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_7ec8925e-5551-4212-a258-cbf690bffb14,2,0
2,6,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_1f0608f4-dbfd-49bc-87a7-aedf1732a655,2,0
5,6,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_3866f45d-7334-4b4d-aca8-2f63d965b6ba,2,1
6,7,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_19a7da18-3f0b-49e5-a370-0bc73ba44b7a,3,0
5,8,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_79645e4a-3a73-46dc-a7a4-fd22505894f3,4,0
7,8,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_9f35506b-9b15-43e1-a878-1b496a1c7830,2,2
2,9,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_915d1978-680f-4c2a-b8de-ba2f1300d51e,1,1
6,9,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_84df012e-3187-421b-9439-69e14244de37,2,0
7,10,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_27f43784-fdb5-4e15-b0d5-448240f07246,1,0
8,10,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_f5acd78b-b29b-4226-a85b-664a742541e8,2,0
