FromBus,ToBus,BranchNodeIRI
1,2,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_2914da5f-654a-481c-a187-0dc8c8b316b6
1,3,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_606886b2-3d7a-47ce-9d0d-fdd118140d67
1,2,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_abd84923-b8aa-467a-a3b1-04f27afe9441
1,3,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_ed0fa387-b5b7-418d-a963-46180cb47414
2,4,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_a2747622-4b4b-4a7b-8490-aad73740384d
2,4,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_11b0753e-497c-4955-99a1-3be12b6ea52f
4,7,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_2ac9a385-54e7-4945-870f-da8ead95d70e
4,6,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_41b8189b-66e3-4882-ac6f-76e1cd980622
4,6,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_bb8d83d7-cfc4-4afd-add1-4bc385730198
4,5,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_ba6a8168-14e5-4142-9aed-8dd834255ebc
4,5,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_3f205e42-9563-42c5-b9b1-0de16a41c86a
4,7,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_8d58b63b-c88d-4a7c-ba4a-8bbb7c1419e7
5,6,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_c3e4e40e-6468-4f60-9c3e-7677fd2e44b8
5,6,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_597c9c20-e495-4307-94c5-e2d6ed303486
6,9,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_eed9487b-c2f0-4b81-841f-b3cc24dc7ccf
6,9,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_1373ba34-315c-462c-8937-e62996ef938f
7,8,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_dab631b8-25f3-4751-90dd-6f98ff7a3af7
7,8,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_7da40075-0efd-4bbb-b983-9b41458b5158
7,6,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_c64d03ce-11bb-4660-b67b-a54d0a1f1caa
7,6,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_1ee6faa6-6485-439d-93bf-58c28dec678d
8,10,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_61f17713-8f00-4b79-ba95-3af3503f7f89
8,10,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_dba92b97-ef73-4add-bb0d-f1b6ff478f11
9,11,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_99b28299-5210-4901-b60a-51cfd6f59d6e
9,11,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_032cb4a9-7cf8-4267-94bd-3d0b57c82e71
9,10,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_c98929cd-ed47-4006-85ec-bba28e2f7e80
9,10,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_960fb6d0-dab7-4f64-9919-0033199153d1
10,15,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_269ea638-c4dc-4e8b-ac24-29a0337c0c7c
10,15,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_1bec991a-5590-4f58-9915-31dd4be41789
11,15,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_59dd4de0-1978-4c3d-b9f3-d34e6b9ec09f
11,15,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_2f00204c-c3f8-48c7-9b43-ea549af15835
11,13,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_99b7bccd-886e-49ab-b28b-da0f8f4af91c
11,13,http://www.theworldavatar.com/kb/ontopowsys/OverheadLine_119be719-f028-42e2-a4ea-b52b80e952b9
