BusNumber,Region,LocalAuthority,x-axis,y-axis,Aggregated
1,Scotland,Highland,-4.4906735,57.4698798,None
2,Scotland,Peterhead,-1.7998211,57.4745293,None
3,Scotland,Perth_and_Kinross,-4.0107947,56.7070037,None
4,Scotland,Falkirk,-3.8890767,56.0386335,None
5,Scotland,East_Renfrewshire,-4.4768292,55.8095298,None
6,Scotland,South_Lanarkshire,-4.0805189,55.7509421,None
7,Scotland,East_Lothian,-2.4082467,55.966361,None
8,Scotland,Scottish_Borders,-2.3299805,55.6684972,None
9,North_West_England,Harker,-2.9618091,54.9419311,None
10,North_East_England,Stella,-1.7329921,54.9744212,None
11,North_West_England,Penwortham,-2.7549931,53.7443568,None
12,Wales,Deeside,-3.0317476,53.2292472,None
13,North_West_England,Carrington,-2.3787821,53.4269672,None
14,Yorkshire_and_the_Humber,Stocksbridge,-1.6016288,53.4877894,None
15,Yorkshire_and_the_Humber,Thornton,-0.8235841,53.9002325,None
16,East_Midlands,Keadby,-0.755805,53.5973069,None
17,East_Midlands,Ratcliffe,-1.257635,52.862919,None
18,West_Midlands_(county),Feckenham,-1.9735155,52.2512438,None
19,East_of_England,Walpole|_Norfolk,0.1981251,52.7269277,None
20,East_of_England,Bramford,1.0631638,52.0716528,None
21,East_of_England,Furneux_Pelham,0.1167908,51.9351319,None
22,South_East_England,East_Claydon,-0.9099366,51.9270632,None
23,South_West_England,Melksham,-2.1441581,51.3749726,None
24,South_East_England,Bramley|_Hampshire,-1.0775578,51.3358918,None
25,London,London,-0.1271547,51.5077431,None
26,South_East_England,Kemsley,0.7414151,51.3684603,None
27,South_East_England,Aldington|_Kent,0.9761146,51.1050295,None
28,South_East_England,Catherington,-1.0383188,50.9163709,None
29,South_West_England,Broadclyst,-3.4061633,50.7674626,None
