BusNumber,Region,LargestCity,x-axis,y-axis,Agrregated
1,South_East_England,https://dbpedia.org/page/Brighton_and_Hove,50.8223711,-0.1373639,None
2,South_West_England,https://dbpedia.org/page/Bristol,51.4545085,-2.5879675,None
3,London,https://dbpedia.org/page/London,51.5073321,-0.1278966,None
4,East_of_England,https://dbpedia.org/page/Norwich,52.6308914,1.2972594,None
5,East_Midlands,https://dbpedia.org/page/Leicester,52.6365868,-1.1395656,None
6,West_Midlands_(county),https://dbpedia.org/page/Birmingham,52.4862263,-1.8905143,None
7,North_West_England,https://dbpedia.org/page/Manchester,53.4807532,-2.2427672,None
8,Yorkshire_and_the_Humber,https://dbpedia.org/page/Leeds,53.8007312,-1.5492442,North_East_England
9,Wales,https://dbpedia.org/page/Cardiff,51.4815857,-3.1791789,None
10,Scotland,https://dbpedia.org/page/Glasgow,55.8642343,-4.2519078,None
