
BMRSEICDUKESMap Function Started: 'Data Error's below if found (not fatal): 
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN00000PEHEU
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN00000PEHEU
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN0000ABTHBN
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN0000ABTHBN
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN0000WBURB5
Data Error: Multiple instances of EIC in BMRS Data: 48W000000PEHE-15
Data Error: Multiple instances of EIC in BMRS Data: 48W000000PEHE-15
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN00000KEAD4
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN00000DAMCL
Data Error: Multiple instances of EIC in BMRS Data: 48W000000DAMC-1M
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN00000DAMCL
Data Error: Multiple instances of EIC in BMRS Data: 48W000000DAMC-1M
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN00000KEAD4
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN0000RYHPSI
Data Error: Multiple instances of EIC in BMRS Data: 48W00000RYHPS-1J
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN0000RYHPSI
Data Error: Multiple instances of EIC in BMRS Data: 48W00000RYHPS-1J
Data Error: Multiple instances of EIC in BMRS Data: 48W000000PEHE-23
Data Error: Multiple instances of EIC in BMRS Data: 48W000000PEHE-23
Data Error: Multiple instances of EIC in BMRS Data: 48W0000000ABTH7Y
Data Error: Multiple instances of EIC in BMRS Data: 48W0000000ABTH8W
Data Error: Multiple instances of EIC in BMRS Data: 48W0000000ABTH9U
Data Error: Multiple instances of EIC in BMRS Data: 48W0000000ABTH7Y
Data Error: Multiple instances of EIC in BMRS Data: 48W0000000ABTH8W
Data Error: Multiple instances of EIC in BMRS Data: 48W0000000ABTH9U
Data Error: Multiple instances of EIC in BMRS Data: 48W00000WBURB-27
Data Error: Multiple instances of EIC in BMRS Data: 48W00000WBURB-19
Data Error: Multiple instances of EIC in BMRS Data: 48W00000WBURB-35
Data Error: Multiple instances of EIC in BMRS Data: 48W00000WBURB-27
Data Error: Multiple instances of EIC in BMRS Data: 48W00000WBURB-19
Data Error: Multiple instances of EIC in BMRS Data: 48W00000WBURB-35
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN00000SHOSS
Data Error: Multiple instances of EIC in BMRS Data: 48W000000SHOS-1N
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN00000SHOSS
Data Error: Multiple instances of EIC in BMRS Data: 48W000000SHOS-1N
Data Error: Multiple instances of EIC in BMRS Data: 48W0000KLYN-A-1G
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN000KLYN-A4
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN0000WBURB5
Data Error: Multiple instances of EIC in BMRS Data: 48W0000KLYN-A-1G
Data Error: Multiple instances of EIC in BMRS Data: 48WSTN000KLYN-A4
Data Error: Multiple instances of EIC in EIC Station Data: 48WSTN00000KEAD4
Data Error: Multiple instances of EIC in EIC Station Data: 48WSTN00000KEAD4
Data Error: Multiple instances of EIC in EIC Unit Data: 48W00000WLNYW-1A
Data Error: Multiple instances of EIC in EIC Unit Data: 48W00000WLNYO-23
Data Error: Multiple instances of EIC in EIC Station Data: 48WSTN0000CRYRWO

BMRSEICDUKESMap BMRS->EIC->DUKES mapping complete, results as follows: 
Match Result For, DUKES Station Name: Abbots Ripton, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Aberdeen, EIC: 48WSTN0000ABRBON, Name Match: First EIC Word Matches Whole DUKES Name (-4), Capacity Difference (if known, and at the error threshold if unknown) (%): 2, Start Year: Within a Year (-1), Generation Type: Same Generation Type Match (-5), Match: Matched (1). 
Match Result For, DUKES Station Name: Abergelli, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Aberthaw B, EIC: 48WSTN0000ABTHBN, Name Match: Simplified Name with Roman Numeral / Decimal Writing Difference or Name Extension Convention Difference (-7), Capacity Difference (if known, and at the error threshold if unknown) (%): 2, Start Year: Startup Differences (1), Generation Type: Same Generation Type Match (-5), Match: Matched (1). 
Match Result For, DUKES Station Name: Aberthaw GT, EIC: 48WSTN000ABTHGTK, Name Match: Simplified Name with Roman Numeral / Decimal Writing Difference or Name Extension Convention Difference (-7), Capacity Difference (if known, and at the error threshold if unknown) (%): 0, Start Year: Startup Differences (1), Generation Type: Same Generation Type Match (-5), Match: Matched (1). 
Match Result For, DUKES Station Name: Achanalt, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Achany Windfarm, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Acharin, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: A'Chruach, EIC: 48WSTN0000ACHRWV, Name Match: First EIC Word Matches Whole DUKES Name (-4), Capacity Difference (if known, and at the error threshold if unknown) (%): 1, Start Year: Startup Differences (1), Generation Type: Same Generation Type Match (-5), Match: Matched (1). 
Match Result For, DUKES Station Name: Acrefair, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Aigas, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Ainderby, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Airfield Poddington, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Airies, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Allt Fionn, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Allt-na-Lairige, EIC: 48WSTN00000LAIGM, Name Match: Simplified Names Match (-8), Capacity Difference (if known, and at the error threshold if unknown) (%): 99, Start Year: Startup Differences (1), Generation Type: Ambiguous Generation Type (-2), Match: Not Matched. 
Match Result For, DUKES Station Name: Alltwalis, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
Match Result For, DUKES Station Name: Altahullion, EIC: None, Name Match: None, Capacity Difference (if known, and at the error threshold if unknown) (%): None, Start Year: None, Generation Type: None, Match: Not Matched. 
