generatoreic,time,power,*
48W100000HUMR-1N,1,300.204,*
48W100000HUMR-1N,2,313.534,*
48W100000HUMR-1N,3,314.982,*
48W100000HUMR-1N,4,300.466,*
48W100000HUMR-1N,5,300.036,*
48W100000HUMR-1N,6,300.11,*
48W100000HUMR-1N,7,300.17,*
48W100000HUMR-1N,8,300.132,*
48W100000HUMR-1N,9,300.062,*
48W100000HUMR-1N,10,300.138,*
48W100000HUMR-1N,11,300.24,*
48W100000HUMR-1N,12,300.188,*
48W100000HUMR-1N,13,314.822,*
48W100000HUMR-1N,14,315.06,*
48W100000HUMR-1N,15,315.002,*
48W100000HUMR-1N,16,314.862,*
48W100000HUMR-1N,17,314.94,*
48W100000HUMR-1N,18,315.05,*
48W100000HUMR-1N,19,314.71,*
48W100000HUMR-1N,20,314.992,*
48W100000HUMR-1N,21,314.92,*
48W100000HUMR-1N,22,315.052,*
48W100000HUMR-1N,23,307.428,*
48W100000HUMR-1N,24,307.264,*
48W100000HUMR-1N,25,307.43,*
48W100000HUMR-1N,26,307.31,*
48W100000HUMR-1N,27,307.24,*
48W100000HUMR-1N,28,307.294,*
48W100000HUMR-1N,29,307.32,*
48W100000HUMR-1N,30,307.338,*
48W100000HUMR-1N,31,307.308,*
48W100000HUMR-1N,32,307.36,*
48W100000HUMR-1N,33,310.15,*
48W100000HUMR-1N,34,310.098,*
48W100000HUMR-1N,35,309.966,*
48W100000HUMR-1N,36,310.23,*
48W100000HUMR-1N,37,312.04,*
48W100000HUMR-1N,38,312.144,*
48W100000HUMR-1N,39,320.79,*
48W100000HUMR-1N,40,342.508,*
48W100000HUMR-1N,41,356.1,*
48W100000HUMR-1N,42,376.8,*
48W100000HUMR-1N,43,466.014,*
48W100000HUMR-1N,44,679.96,*
48W100000HUMR-1N,45,518.64,*
48W100000HUMR-1N,46,430.14,*
48W100000HUMR-1N,47,471.14,*
48W100000HUMR-1N,48,431.28,*
48W000000PEHE-15,1,0.0,*
48W000000PEHE-15,2,0.0,*
48W000000PEHE-15,3,0.0,*
48W000000PEHE-15,4,0.0,*
48W000000PEHE-15,5,0.0,*
48W000000PEHE-15,6,0.0,*
48W000000PEHE-15,7,0.0,*
48W000000PEHE-15,8,0.0,*
48W000000PEHE-15,9,0.0,*
48W000000PEHE-15,10,0.0,*
48W000000PEHE-15,11,0.0,*
48W000000PEHE-15,12,0.0,*
48W000000PEHE-15,13,0.0,*
48W000000PEHE-15,14,0.0,*
48W000000PEHE-15,15,0.0,*
48W000000PEHE-15,16,0.0,*
48W000000PEHE-15,17,0.0,*
48W000000PEHE-15,18,0.0,*
48W000000PEHE-15,19,0.0,*
48W000000PEHE-15,20,0.0,*
48W000000PEHE-15,21,0.0,*
48W000000PEHE-15,22,0.0,*
48W000000PEHE-15,23,0.0,*
48W000000PEHE-15,24,0.0,*
48W000000PEHE-15,25,0.0,*
48W000000PEHE-15,26,0.0,*
48W000000PEHE-15,27,0.0,*
48W000000PEHE-15,28,11.758,*
48W000000PEHE-15,29,36.5,*
48W000000PEHE-15,30,76.46,*
48W000000PEHE-15,31,94.68,*
48W000000PEHE-15,32,95.78,*
48W000000PEHE-15,33,96.34,*
48W000000PEHE-15,34,96.3,*
48W000000PEHE-15,35,96.4,*
48W000000PEHE-15,36,114.448,*
48W000000PEHE-15,37,124.418,*
48W000000PEHE-15,38,182.312,*
48W000000PEHE-15,39,185.91,*
48W000000PEHE-15,40,186.728,*
48W000000PEHE-15,41,213.31,*
48W000000PEHE-15,42,348.016,*
48W000000PEHE-15,43,351.788,*
48W000000PEHE-15,44,353.51,*
48W000000PEHE-15,45,272.802,*
48W000000PEHE-15,46,239.484,*
48W000000PEHE-15,47,237.42,*
48W000000PEHE-15,48,217.626,*
48W000000PEHE-15,1,0.0,*
48W000000PEHE-15,2,0.0,*
48W000000PEHE-15,3,0.0,*
48W000000PEHE-15,4,0.0,*
48W000000PEHE-15,5,0.0,*
48W000000PEHE-15,6,0.0,*
48W000000PEHE-15,7,0.0,*
48W000000PEHE-15,8,0.0,*
48W000000PEHE-15,9,0.0,*
48W000000PEHE-15,10,0.0,*
48W000000PEHE-15,11,0.0,*
48W000000PEHE-15,12,0.0,*
48W000000PEHE-15,13,0.0,*
48W000000PEHE-15,14,0.0,*
48W000000PEHE-15,15,0.0,*
48W000000PEHE-15,16,0.0,*
48W000000PEHE-15,17,0.0,*
48W000000PEHE-15,18,0.0,*
48W000000PEHE-15,19,0.0,*
48W000000PEHE-15,20,0.0,*
48W000000PEHE-15,21,0.0,*
48W000000PEHE-15,22,0.0,*
48W000000PEHE-15,23,0.0,*
48W000000PEHE-15,24,0.0,*
48W000000PEHE-15,25,0.0,*
48W000000PEHE-15,26,0.0,*
48W000000PEHE-15,27,0.0,*
48W000000PEHE-15,28,11.758,*
48W000000PEHE-15,29,36.5,*
48W000000PEHE-15,30,76.46,*
48W000000PEHE-15,31,94.68,*
48W000000PEHE-15,32,95.78,*
48W000000PEHE-15,33,96.34,*
48W000000PEHE-15,34,96.3,*
48W000000PEHE-15,35,96.4,*
48W000000PEHE-15,36,114.448,*
48W000000PEHE-15,37,124.418,*
48W000000PEHE-15,38,182.312,*
48W000000PEHE-15,39,185.91,*
48W000000PEHE-15,40,186.728,*
48W000000PEHE-15,41,213.31,*
48W000000PEHE-15,42,348.016,*
48W000000PEHE-15,43,351.788,*
48W000000PEHE-15,44,353.51,*
48W000000PEHE-15,45,272.802,*
48W000000PEHE-15,46,239.484,*
48W000000PEHE-15,47,237.42,*
48W000000PEHE-15,48,217.626,*
48W000000MRWD-1P,1,841.8,*
48W000000MRWD-1P,2,865.8,*
48W000000MRWD-1P,3,866.4,*
48W000000MRWD-1P,4,867.4,*
48W000000MRWD-1P,5,694.8,*
48W000000MRWD-1P,6,679.4,*
48W000000MRWD-1P,7,687.6,*
48W000000MRWD-1P,8,505.4,*
48W000000MRWD-1P,9,592.0,*
48W000000MRWD-1P,10,499.2,*
48W000000MRWD-1P,11,853.4,*
48W000000MRWD-1P,12,747.8,*
48W000000MRWD-1P,13,584.2,*
48W000000MRWD-1P,14,544.0,*
48W000000MRWD-1P,15,605.0,*
48W000000MRWD-1P,16,797.6,*
48W000000MRWD-1P,17,801.2,*
48W000000MRWD-1P,18,792.6,*
48W000000MRWD-1P,19,868.6,*
48W000000MRWD-1P,20,868.2,*
48W000000MRWD-1P,21,868.0,*
48W000000MRWD-1P,22,686.0,*
48W000000MRWD-1P,23,583.8,*
48W000000MRWD-1P,24,863.2,*
48W000000MRWD-1P,25,865.0,*
48W000000MRWD-1P,26,866.2,*
48W000000MRWD-1P,27,840.8,*
48W000000MRWD-1P,28,699.4,*
48W000000MRWD-1P,29,468.2,*
48W000000MRWD-1P,30,648.6,*
48W000000MRWD-1P,31,862.8,*
48W000000MRWD-1P,32,864.6,*
