powerplanteic,time,power,*
48WSTN00000RATS9,1,0.0,*
48WSTN00000RATS9,2,0.0,*
48WSTN00000RATS9,3,0.0,*
48WSTN00000RATS9,4,0.0,*
48WSTN00000RATS9,5,0.0,*
48WSTN00000RATS9,6,0.0,*
48WSTN00000RATS9,7,0.0,*
48WSTN00000RATS9,8,0.0,*
48WSTN00000RATS9,9,0.0,*
48WSTN00000RATS9,10,0.0,*
48WSTN00000RATS9,11,25.856,*
48WSTN00000RATS9,12,236.026,*
48WSTN00000RATS9,13,323.3,*
48WSTN00000RATS9,14,477.01,*
48WSTN00000RATS9,15,490.18,*
48WSTN00000RATS9,16,530.726,*
48WSTN00000RATS9,17,605.454,*
48WSTN00000RATS9,18,615.826,*
48WSTN00000RATS9,19,714.524,*
48WSTN00000RATS9,20,926.232,*
48WSTN00000RATS9,21,1300.886,*
48WSTN00000RATS9,22,1481.856,*
48WSTN00000RATS9,23,1493.882,*
48WSTN00000RATS9,24,1466.5120000000002,*
48WSTN00000RATS9,25,1445.898,*
48WSTN00000RATS9,26,1488.2,*
48WSTN00000RATS9,27,1495.56,*
48WSTN00000RATS9,28,1492.8,*
48WSTN00000RATS9,29,1233.868,*
48WSTN00000RATS9,30,1099.7820000000002,*
48WSTN00000RATS9,31,1198.1460000000002,*
48WSTN00000RATS9,32,1264.922,*
48WSTN00000RATS9,33,1462.882,*
48WSTN00000RATS9,34,1498.49,*
48WSTN00000RATS9,35,1376.642,*
48WSTN00000RATS9,36,1120.444,*
48WSTN00000RATS9,37,1199.126,*
48WSTN00000RATS9,38,1213.716,*
48WSTN00000RATS9,39,1385.1280000000002,*
48WSTN00000RATS9,40,1313.288,*
48WSTN00000RATS9,41,1395.0320000000002,*
48WSTN00000RATS9,42,1434.348,*
48WSTN00000RATS9,43,1497.656,*
48WSTN00000RATS9,44,1367.932,*
48WSTN00000RATS9,45,1060.34,*
48WSTN00000RATS9,46,823.3299999999999,*
48WSTN00000RATS9,47,1065.16,*
48WSTN00000RATS9,48,1155.294,*
48WSTN10000DINOQ,1,0.0,*
48WSTN10000DINOQ,2,0.0,*
48WSTN10000DINOQ,3,0.0,*
48WSTN10000DINOQ,4,0.0,*
48WSTN10000DINOQ,5,0.0,*
48WSTN10000DINOQ,6,0.0,*
48WSTN10000DINOQ,7,0.0,*
48WSTN10000DINOQ,8,0.0,*
48WSTN10000DINOQ,9,0.0,*
48WSTN10000DINOQ,10,0.0,*
48WSTN10000DINOQ,11,0.0,*
48WSTN10000DINOQ,12,0.0,*
48WSTN10000DINOQ,13,0.0,*
48WSTN10000DINOQ,14,0.0,*
48WSTN10000DINOQ,15,29.0,*
48WSTN10000DINOQ,16,8.4,*
48WSTN10000DINOQ,17,76.2,*
48WSTN10000DINOQ,18,0.0,*
48WSTN10000DINOQ,19,0.0,*
48WSTN10000DINOQ,20,33.1,*
48WSTN10000DINOQ,21,0.0,*
48WSTN10000DINOQ,22,0.0,*
48WSTN10000DINOQ,23,134.3,*
48WSTN10000DINOQ,24,0.0,*
48WSTN10000DINOQ,25,177.3,*
48WSTN10000DINOQ,26,0.0,*
48WSTN10000DINOQ,27,0.0,*
48WSTN10000DINOQ,28,0.0,*
48WSTN10000DINOQ,29,0.0,*
48WSTN10000DINOQ,30,0.0,*
48WSTN10000DINOQ,31,0.0,*
48WSTN10000DINOQ,32,10.4,*
48WSTN10000DINOQ,33,410.4,*
48WSTN10000DINOQ,34,882.7,*
48WSTN10000DINOQ,35,1180.6999999999998,*
48WSTN10000DINOQ,36,1198.7,*
48WSTN10000DINOQ,37,1192.3,*
48WSTN10000DINOQ,38,805.1,*
48WSTN10000DINOQ,39,151.6,*
48WSTN10000DINOQ,40,0.0,*
48WSTN10000DINOQ,41,28.6,*
48WSTN10000DINOQ,42,44.8,*
48WSTN10000DINOQ,43,48.9,*
48WSTN10000DINOQ,44,59.5,*
48WSTN10000DINOQ,45,0.0,*
48WSTN10000DINOQ,46,0.0,*
48WSTN10000DINOQ,47,0.0,*
48WSTN10000DINOQ,48,0.0,*
48WSTN00000PEHEU,1,0.0,*
48WSTN00000PEHEU,2,0.0,*
48WSTN00000PEHEU,3,0.0,*
48WSTN00000PEHEU,4,0.0,*
48WSTN00000PEHEU,5,0.0,*
48WSTN00000PEHEU,6,0.0,*
48WSTN00000PEHEU,7,0.0,*
48WSTN00000PEHEU,8,0.0,*
48WSTN00000PEHEU,9,0.0,*
48WSTN00000PEHEU,10,0.0,*
48WSTN00000PEHEU,11,0.0,*
48WSTN00000PEHEU,12,0.0,*
48WSTN00000PEHEU,13,0.0,*
48WSTN00000PEHEU,14,0.0,*
48WSTN00000PEHEU,15,0.0,*
48WSTN00000PEHEU,16,0.0,*
48WSTN00000PEHEU,17,0.0,*
48WSTN00000PEHEU,18,0.0,*
48WSTN00000PEHEU,19,0.0,*
48WSTN00000PEHEU,20,0.0,*
48WSTN00000PEHEU,21,0.0,*
48WSTN00000PEHEU,22,0.0,*
48WSTN00000PEHEU,23,0.0,*
48WSTN00000PEHEU,24,0.0,*
48WSTN00000PEHEU,25,0.0,*
48WSTN00000PEHEU,26,0.0,*
48WSTN00000PEHEU,27,0.0,*
48WSTN00000PEHEU,28,11.758,*
48WSTN00000PEHEU,29,36.5,*
48WSTN00000PEHEU,30,76.46,*
48WSTN00000PEHEU,31,94.68,*
48WSTN00000PEHEU,32,95.78,*
48WSTN00000PEHEU,33,96.34,*
48WSTN00000PEHEU,34,96.3,*
48WSTN00000PEHEU,35,96.4,*
48WSTN00000PEHEU,36,114.448,*
48WSTN00000PEHEU,37,124.418,*
48WSTN00000PEHEU,38,182.312,*
48WSTN00000PEHEU,39,185.91,*
48WSTN00000PEHEU,40,186.728,*
48WSTN00000PEHEU,41,213.31,*
