Reboilers,,,,
Value,Variable Name,Container,Name,
350045,Feeds,T-350004.E-350203,E-350203.Feeds.350045,
350048,Liquid Product Stream,T-350004.E-350203,E-350203.Liquid Product Stream,
350047,Boilup Stream,T-350004.E-350203,E-350203.Boilup Stream,
4296.00099,Duty,T-350004.E-350203,E-350203.Duty,
256809.2921,Duty,T-350002.E-350202,E-350202.Duty,
350030,Feeds,T-350002.E-350202,E-350202.Feeds.350030,
350033,Liquid Product Stream,T-350002.E-350202,E-350202.Liquid Product Stream,
350032,Boilup Stream,T-350002.E-350202,E-350202.Boilup Stream,
350017,Feeds,T-350001.E-350201,E-350201.Feeds.350017,
350020,Liquid Product Stream,T-350001.E-350201,E-350201.Liquid Product Stream,
350019,Boilup Stream,T-350001.E-350201,E-350201.Boilup Stream,
243820.4615,Duty,T-350001.E-350201,E-350201.Duty,
350307,Tube Side Feed Stream,E-350203,E-350203.Tube Side Feed Stream,
350308,Tube Side Product Stream,E-350203,E-350203.Tube Side Product Stream,
350303,Tube Side Feed Stream,E-350202,E-350202.Tube Side Feed Stream,
350304,Tube Side Product Stream,E-350202,E-350202.Tube Side Product Stream,
350301,Tube Side Feed Stream,E-350201,E-350201.Tube Side Feed Stream,
350302,Tube Side Product Stream,E-350201,E-350201.Tube Side Product Stream,
,,,,
,,,,
,,,,
Condensers,,,,
Value,Variable Name,Container,Name,
3339.756698,Duty,E-350103,E-350103.Duty,
350213,Shell Side Feed Stream,E-350103,E-350103.Shell Side Feed Stream,
350214,Shell Side Product Stream,E-350103,E-350103.Shell Side Product Stream,
-30.26256224,Tube Side Delta T,E-350103,E-350103.Tube Side Delta T,
350040,Tube Side Feed Stream,E-350103,E-350103.Tube Side Feed Stream,
350041,Tube Side Product Stream,E-350103,E-350103.Tube Side Product Stream,
230404.7713,Duty,E-350102,E-350102.Duty,
350211,Shell Side Feed Stream,E-350102,E-350102.Shell Side Feed Stream,
350212,Shell Side Product Stream,E-350102,E-350102.Shell Side Product Stream,
-17.36326979,Tube Side Delta T,E-350102,E-350102.Tube Side Delta T,
350025,Tube Side Feed Stream,E-350102,E-350102.Tube Side Feed Stream,
350026,Tube Side Product Stream,E-350102,E-350102.Tube Side Product Stream,
226593.0393,Duty,E-350101,E-350101.Duty,
350207,Shell Side Feed Stream,E-350101,E-350101.Shell Side Feed Stream,
350208,Shell Side Product Stream,E-350101,E-350101.Shell Side Product Stream,
-15.84141906,Tube Side Delta T,E-350101,E-350101.Tube Side Delta T,
350012,Tube Side Feed Stream,E-350101,E-350101.Tube Side Feed Stream,
350013,Tube Side Product Stream,E-350101,E-350101.Tube Side Product Stream,
,,,,
,,,,
,,,,
Process Heat Exchangers,,,,
Value,Variable Name,Container,Name,
32582.05115,Duty,E-350001,E-350001.Duty,
-36.2253912,Tube Side Delta T,E-350001,E-350001.Tube Side Delta T,
350201,Shell Side Feed Stream,E-350001,E-350001.Shell Side Feed Stream,
350202,Shell Side Product Stream,E-350001,E-350001.Shell Side Product Stream,
350004,Tube Side Product Stream,E-350001,E-350001.Tube Side Product Stream,
350003,Tube Side Feed Stream,E-350001,E-350001.Tube Side Feed Stream,
-16.09843336,Tube Side Delta T,E-350002,E-350002.Tube Side Delta T,
350008,Tube Side Product Stream,E-350002,E-350002.Tube Side Product Stream,
350007,Tube Side Feed Stream,E-350002,E-350002.Tube Side Feed Stream,
350204,Shell Side Product Stream,E-350002,E-350002.Shell Side Product Stream,
350203,Shell Side Feed Stream,E-350002,E-350002.Shell Side Feed Stream,
4882.993026,Duty,E-350002,E-350002.Duty,
350210,Shell Side Product Stream,E-350003,E-350003.Shell Side Product Stream,
350022,Tube Side Product Stream,E-350003,E-350003.Tube Side Product Stream,
350021,Tube Side Feed Stream,E-350003,E-350003.Tube Side Feed Stream,
-30.70942044,Tube Side Delta T,E-350003,E-350003.Tube Side Delta T,
350209,Shell Side Feed Stream,E-350003,E-350003.Shell Side Feed Stream,
5115.450734,Duty,E-350003,E-350003.Duty,
350036,Tube Side Product Stream,E-350004,E-350004.Tube Side Product Stream,
350035,Tube Side Feed Stream,E-350004,E-350004.Tube Side Feed Stream,
5.816799953,Tube Side Delta T,E-350004,E-350004.Tube Side Delta T,
350306,Shell Side Product Stream,E-350004,E-350004.Shell Side Product Stream,
350305,Shell Side Feed Stream,E-350004,E-350004.Shell Side Feed Stream,
633.6857094,Duty,E-350004,E-350004.Duty,
350052,Tube Side Product Stream,E-350005,E-350005.Tube Side Product Stream,
12.34030709,Tube Side Delta T,E-350005,E-350005.Tube Side Delta T,
350051,Tube Side Feed Stream,E-350005,E-350005.Tube Side Feed Stream,
350310,Shell Side Product Stream,E-350005,E-350005.Shell Side Product Stream,
350309,Shell Side Feed Stream,E-350005,E-350005.Shell Side Feed Stream,
323.6801771,Duty,E-350005,E-350005.Duty,
,,,,
,,,,
,,,,
Compressors,,,,
Value,Variable Name,Container,Name,
350002,Feed Stream,C-350002,C-350002.Feed Stream,
4247.236798,Power,C-350002,C-350002.Power,
350003,Product Stream,C-350002,C-350002.Product Stream,
12.10342139,Product Pressure,C-350002,C-350002.Product Pressure,
350001,Feed Stream,C-350001,C-350001.Feed Stream,
350002,Product Stream,C-350001,C-350001.Product Stream,
9459.046897,Power,C-350001,C-350001.Power,
6.051710693,Product Pressure,C-350001,C-350001.Product Pressure,
,,,,
,,,,
,,,,
Pumps,,,,
Value,Variable Name,Container,Name,
350042,Inlet Stream,P-350103,P-350103.Inlet Stream,
350043,Outlet Stream,P-350103,P-350103.Outlet Stream,
0.049121901,Power,P-350103,P-350103.Power,
3.3,Product Pressure,P-350103,P-350103.Product Pressure,
1.665195694,Total Head (height),P-350103,P-350103.Total Head (height),
350027,Inlet Stream,P-350102,P-350102.Inlet Stream,
350028,Outlet Stream,P-350102,P-350102.Outlet Stream,
12.86549467,Power,P-350102,P-350102.Power,
9.8034,Product Pressure,P-350102,P-350102.Product Pressure,
2.385012784,Total Head (height),P-350102,P-350102.Total Head (height),
350014,Inlet Stream,P-350101,P-350101.Inlet Stream,
350015,Outlet Stream,P-350101,P-350101.Outlet Stream,
13.15713928,Power,P-350101,P-350101.Power,
10.5,Product Pressure,P-350101,P-350101.Product Pressure,
0.828047635,Total Head (height),P-350101,P-350101.Total Head (height),
350044',Inlet Stream,P-350004,P-350004.Inlet Stream,
350049,Outlet Stream,P-350004,P-350004.Outlet Stream,
10.4,Product Pressure,P-350004,P-350004.Product Pressure,
6.598192322,Power,P-350004,P-350004.Power,
119.8934012,Total Head (height),P-350004,P-350004.Total Head (height),
350033,Inlet Stream,P-350003,P-350003.Inlet Stream,
350034,Outlet Stream,P-350003,P-350003.Outlet Stream,
0.758526402,Power,P-350003,P-350003.Power,
10.93226205,Product Pressure,P-350003,P-350003.Product Pressure,
14.46696678,Total Head (height),P-350003,P-350003.Total Head (height),
350038,Inlet Stream,P-350002,P-350002.Inlet Stream,
3.240055839,Power,P-350002,P-350002.Power,
350039,Outlet Stream,P-350002,P-350002.Outlet Stream,
30.96259062,Total Head (height),P-350002,P-350002.Total Head (height),
3.5,Product Pressure,P-350002,P-350002.Product Pressure,
350005,Inlet Stream,P-350001,P-350001.Inlet Stream,
350006,Outlet Stream,P-350001,P-350001.Outlet Stream,
142.5313417,Total Head (height),P-350001,P-350001.Total Head (height),
43.90298464,Power,P-350001,P-350001.Power,
12,Product Pressure,P-350001,P-350001.Product Pressure,
,,,,
,,,,
,,,,
,,,,
Equilibrium Reactors,,,,
Value,Variable Name,Container,Name,
59.61158917,Vessel Temperature,R-350003,R-350003.Vessel Temperature,
0,Vessel Pressure Drop,R-350003,R-350003.Vessel Pressure Drop,
10x,Vapour Product,R-350003,R-350003.Vapour Product,
Set-1,Reaction Set,R-350003,R-350003.Reaction Set,
Rxn-1,Reaction Set,..Set-1,R-350003.Reaction Set.Active Reactions.Rxn-1,
i-Butene,Reaction Set,..Rxn-1,R-350003.Reaction Set.Active Reactions.Rxn-1.Reactants.i-Butene,Reactants
Methanol,Reaction Set,..Rxn-1,R-350003.Reaction Set.Active Reactions.Rxn-1.Reactants.Methanol,Reactants
MTBE,Reaction Set,..Rxn-1,R-350003.Reaction Set.Active Reactions.Rxn-1.Reactants.MTBE,Products
350023,Liquid Product,R-350003,R-350003.Liquid Product,
350022,Feed Stream,R-350003,R-350003.Feed Stream.350022,
