Year      Month     Day      Hour      X(m)      Y(m)      Z(m)      O3        NO        NO2       H2O2      N2O5      HNO3      HONO      SO2       Sulphate  CO        C2H6      HCHO      CH3CHO    C2H4      PAN       nC4H10    CH3COC2H5 C3H6      oXylene   isoprene  PM2.5     PM10      
2020  5  6 12  364628.312  131794.703      10.000   0.1626504E-01   0.3739487E+00   0.2668314E-02   0.1226569E-07   0.6046470E-13   0.4329378E-05   0.2502433E-03   0.1722388E-01   0.9765237E-06   0.2809385E-01   0.2995987E-02   0.2386181E-02   0.2620269E-02   0.5224992E-02   0.1340647E-07   0.3763216E-01   0.1614914E-03   0.8280601E-02   0.1977219E-01   0.0000000E+00   0.1700776E-04   0.1692873E-04
2020  5  6 12  364628.312  133794.703      10.000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
2020  5  6 12  364628.312  135794.703      10.000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.3700743E-18   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
2020  5  6 12  364628.312  137794.703      10.000   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.1764652E-24   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
2020  5  6 12  364628.312  139794.703      10.000   0.2417966E+00   0.9704961E+02   0.4863102E+01   0.1115271E-05   0.2413200E-07   0.9695503E-04   0.1260473E-01   0.4590996E+01   0.8848856E-05   0.7480997E+01   0.7990031E+00   0.6450174E+00   0.6970903E+00   0.1393957E+01   0.4647655E-06   0.1003193E+02   0.4251890E-01   0.2210150E+01   0.5271551E+01   0.0000000E+00   0.4163494E-02   0.4310739E-02
2020  5  6 12  364628.312  141794.703      10.000   0.2758833E+00   0.1406097E+03   0.7107147E+01   0.4474515E-05   0.4416829E-07   0.5808465E-03   0.3985779E-01   0.6652910E+01   0.5081578E-04   0.1084542E+02   0.1158063E+01   0.9330897E+00   0.1010473E+01   0.2020354E+01   0.2481461E-05   0.1453769E+02   0.6169020E-01   0.3202689E+01   0.7638093E+01   0.0000000E+00   0.6069038E-02   0.6242095E-02
2020  5  6 12  364628.312  143794.703      10.000   0.1957379E+00   0.2088186E+02   0.8817874E+00   0.1066776E-05   0.3988012E-08   0.1623321E-03   0.8692904E-02   0.9847102E+00   0.1580246E-04   0.1602557E+01   0.1710920E+00   0.1374000E+00   0.1494860E+00   0.2984112E+00   0.6891628E-06   0.2151306E+01   0.9149844E-02   0.4735094E+00   0.1131378E+01   0.0000000E+00   0.9592845E-03   0.9801075E-03
2020  5  6 12  364628.312  145794.703      10.000   0.6006596E-01   0.7474158E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.3435256E-05   0.4707327E-03   0.3445691E-01   0.1864470E-05   0.5593604E-01   0.5970729E-02   0.4776044E-02   0.5229282E-02   0.1040955E-01   0.1726632E-07   0.7525491E-01   0.3219628E-03   0.1653976E-01   0.3962921E-01   0.0000000E+00   0.3731745E-04   0.3769438E-04
2020  5  6 12  364628.312  147794.703      10.000   0.3573662E-01   0.4887061E+00   0.5984207E-02   0.0000000E+00   0.3134885E-11   0.4092503E-05   0.2471874E-03   0.2243149E-01   0.1695970E-05   0.3651942E-01   0.3895714E-02   0.3109002E-02   0.3411868E-02   0.6792705E-02   0.9178126E-08   0.4900132E-01   0.2108997E-03   0.1077420E-01   0.2576731E-01   0.0000000E+00   0.2229992E-04   0.2249722E-04
2020  5  6 12  364628.312  149794.703      10.000   0.2992948E-01   0.6282655E+00   0.6863279E-02   0.1659843E-07   0.2349567E-11   0.6405473E-05   0.3711100E-03   0.2901142E-01   0.1934709E-05   0.4722422E-01   0.5036182E-02   0.4003439E-02   0.4410212E-02   0.8780776E-02   0.1829118E-07   0.6337207E-01   0.2724094E-03   0.1393110E-01   0.3333239E-01   0.0000000E+00   0.2893792E-04   0.2885021E-04
