primary_fuel,generation_technology,capacity_MW,amortization_rate,CO2_emission_rate_ton_hr,generation_cost_MWh,CO2_emission_annual
coal,IGCC,500,3,260,73.896,1708200
coal,IGCC,500,7,260,73.512,1708200
coal,IGCC,500,10,260,73.232,1708200
coal,IGCC,500,13,260,72.944,1708200
coal,IGCC,500,17,260,72.568,1708200
coal,IGCC,500,20,260,72.28,1708200
coal,IGCC,500,23,260,72,1708200
coal,IGCC,500,27,260,71.616,1708200
coal,IGCC,500,30,260,71.336,1708200
coal,IGCC,500,33,260,71.048,1708200
coal,IGCC,500,37,260,70.672,1708200
coal,IGCC,500,40,260,70.384,1708200
coal,IGCC,500,43,260,70.104,1708200
coal,IGCC,500,47,260,69.72,1708200
coal,IGCC,500,50,260,69.44,1708200
coal,IGCC,500,53,260,69.152,1708200
coal,IGCC,500,57,260,68.776,1708200
coal,IGCC,500,60,260,68.488,1708200
coal,IGCC,500,63,260,68.208,1708200
coal,IGCC,500,67,260,67.824,1708200
coal,IGCC,500,70,260,67.544,1708200
coal,IGCC,500,73,260,67.256,1708200
coal,IGCC,500,77,260,66.88,1708200
coal,IGCC,500,80,260,66.592,1708200
coal,IGCC,500,83,260,66.312,1708200
coal,IGCC,500,87,260,65.928,1708200
coal,IGCC,500,90,260,65.648,1708200
coal,IGCC,500,93,260,65.36,1708200
coal,IGCC,500,97,260,64.984,1708200
coal,IGCC,500,100,260,64.696,1708200
coal,IGCC,1000,3,214,61.08,1405980
coal,IGCC,1000,7,214,60.72,1405980
coal,IGCC,1000,10,214,60.448,1405980
coal,IGCC,1000,13,214,60.184,1405980
coal,IGCC,1000,17,214,59.824,1405980
coal,IGCC,1000,20,214,59.552,1405980
coal,IGCC,1000,23,214,59.28,1405980
coal,IGCC,1000,27,214,58.928,1405980
coal,IGCC,1000,30,214,58.656,1405980
coal,IGCC,1000,33,214,58.384,1405980
coal,IGCC,1000,37,214,58.024,1405980
coal,IGCC,1000,40,214,57.76,1405980
coal,IGCC,1000,43,214,57.488,1405980
coal,IGCC,1000,47,214,57.128,1405980
coal,IGCC,1000,50,214,56.864,1405980
coal,IGCC,1000,53,214,56.592,1405980
coal,IGCC,1000,57,214,56.232,1405980
coal,IGCC,1000,60,214,55.968,1405980
coal,IGCC,1000,63,214,55.696,1405980
coal,IGCC,1000,67,214,55.336,1405980
coal,IGCC,1000,70,214,55.064,1405980
coal,IGCC,1000,73,214,54.8,1405980
coal,IGCC,1000,77,214,54.44,1405980
coal,IGCC,1000,80,214,54.168,1405980
coal,IGCC,1000,83,214,53.904,1405980
coal,IGCC,1000,87,214,53.544,1405980
coal,IGCC,1000,90,214,53.272,1405980
coal,IGCC,1000,93,214,53.008,1405980
coal,IGCC,1000,97,214,52.648,1405980
coal,IGCC,1000,100,214,52.376,1405980
coal,IGCC,1500,3,322,56.048,2115540
coal,IGCC,1500,7,322,55.696,2115540
coal,IGCC,1500,10,322,55.44,2115540
coal,IGCC,1500,13,322,55.176,2115540
coal,IGCC,1500,17,322,54.824,2115540
coal,IGCC,1500,20,322,54.56,2115540
coal,IGCC,1500,23,322,54.304,2115540
coal,IGCC,1500,27,322,53.952,2115540
coal,IGCC,1500,30,322,53.688,2115540
coal,IGCC,1500,33,322,53.424,2115540
coal,IGCC,1500,37,322,53.08,2115540
coal,IGCC,1500,40,322,52.816,2115540
coal,IGCC,1500,43,322,52.552,2115540
coal,IGCC,1500,47,322,52.208,2115540
coal,IGCC,1500,50,322,51.944,2115540
coal,IGCC,1500,53,322,51.68,2115540
coal,IGCC,1500,57,322,51.336,2115540
coal,IGCC,1500,60,322,51.072,2115540
coal,IGCC,1500,63,322,50.808,2115540
coal,IGCC,1500,67,322,50.456,2115540
coal,IGCC,1500,70,322,50.2,2115540
coal,IGCC,1500,73,322,49.936,2115540
coal,IGCC,1500,77,322,49.584,2115540
coal,IGCC,1500,80,322,49.32,2115540
coal,IGCC,1500,83,322,49.064,2115540
coal,IGCC,1500,87,322,48.712,2115540
coal,IGCC,1500,90,322,48.448,2115540
coal,IGCC,1500,93,322,48.192,2115540
coal,IGCC,1500,97,322,47.84,2115540
coal,IGCC,1500,100,322,47.576,2115540
coal,IGCC,2000,3,429,53.544,2818530
coal,IGCC,2000,7,429,53.2,2818530
coal,IGCC,2000,10,429,52.944,2818530
coal,IGCC,2000,13,429,52.688,2818530
coal,IGCC,2000,17,429,52.344,2818530
coal,IGCC,2000,20,429,52.088,2818530
coal,IGCC,2000,23,429,51.824,2818530
coal,IGCC,2000,27,429,51.488,2818530
coal,IGCC,2000,30,429,51.224,2818530
coal,IGCC,2000,33,429,50.968,2818530
coal,IGCC,2000,37,429,50.624,2818530
coal,IGCC,2000,40,429,50.368,2818530
coal,IGCC,2000,43,429,50.112,2818530
coal,IGCC,2000,47,429,49.768,2818530
coal,IGCC,2000,50,429,49.512,2818530
coal,IGCC,2000,53,429,49.248,2818530
coal,IGCC,2000,57,429,48.912,2818530
coal,IGCC,2000,60,429,48.648,2818530
coal,IGCC,2000,63,429,48.392,2818530
coal,IGCC,2000,67,429,48.048,2818530
coal,IGCC,2000,70,429,47.792,2818530
coal,IGCC,2000,73,429,47.536,2818530
coal,IGCC,2000,77,429,47.192,2818530
coal,IGCC,2000,80,429,46.936,2818530
coal,IGCC,2000,83,429,46.68,2818530
coal,IGCC,2000,87,429,46.336,2818530
coal,IGCC,2000,90,429,46.072,2818530
coal,IGCC,2000,93,429,45.816,2818530
coal,IGCC,2000,97,429,45.472,2818530
coal,IGCC,2000,100,429,45.216,2818530
coal,IGCC,2600,3,536,51.045,3521520
coal,IGCC,2600,7,536,50.71384615,3521520
coal,IGCC,2600,10,536,50.46153846,3521520
coal,IGCC,2600,13,536,50.20923077,3521520
coal,IGCC,2600,17,536,49.87807692,3521520
coal,IGCC,2600,20,536,49.62576923,3521520
coal,IGCC,2600,23,536,49.37346154,3521520
coal,IGCC,2600,27,536,49.04230769,3521520
coal,IGCC,2600,30,536,48.79,3521520
coal,IGCC,2600,33,536,48.53769231,3521520
coal,IGCC,2600,37,536,48.20653846,3521520
