primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,emission_rate_ton_h,age
coal_biomass,subcritical,3,100,85.12,104.7,447731.20,68.096,1
coal_biomass,subcritical,3,200,170.2,80.42,895252.00,136.16,1
coal_biomass,subcritical,3,300,255.2,70.78,1342352.00,204.16,1
coal_biomass,subcritical,3,400,340.3,65.3,1789978.00,272.24,1
coal_biomass,subcritical,3,500,425.3,61.64,2237078.00,340.24,1
coal_biomass,subcritical,3,600,510.4,58.97,2684704.00,408.32,1
coal_biomass,subcritical,3,700,595.4,56.9,3131804.00,476.32,1
coal_biomass,subcritical,3,800,680.5,55.24,3579430.00,544.4,1
coal_biomass,subcritical,3,900,765.5,53.86,4026530.00,612.4,1
coal_biomass,subcritical,3,1000,850.6,52.69,4474156.00,680.48,1
coal_biomass,subcritical,3,1100,935.6,51.67,4921256.00,748.48,1
coal_biomass,subcritical,3,1200,1021,50.77,5370460.00,816.8,1
coal_biomass,subcritical,3,1300,1106,49.97,5817560.00,884.8,1
coal_biomass,subcritical,3,1400,1191,49.32,6264660.00,952.8,1
coal_biomass,subcritical,3,1500,1276,48.82,6711760.00,1020.8,1
coal_biomass,subcritical,3,1600,1361,48.38,7158860.00,1088.8,1
coal_biomass,subcritical,3,1700,1446,47.99,7605960.00,1156.8,1
coal_biomass,subcritical,3,1800,1531,47.64,8053060.00,1224.8,1
coal_biomass,subcritical,3,1900,1616,47.33,8500160.00,1292.8,1
coal_biomass,subcritical,3,2000,1701,47.05,8947260.00,1360.8,1
coal_biomass,subcritical,3,2100,1786,46.8,9394360.00,1428.8,1
coal_biomass,subcritical,3,2200,1871,46.57,9841460.00,1496.8,1
coal_biomass,subcritical,3,2300,1956,46.36,10288560.00,1564.8,1
coal_biomass,subcritical,3,2400,2041,46.17,10735660.00,1632.8,1
coal_biomass,subcritical,3,2500,2126,46,11182760.00,1700.8,1
coal_biomass,subcritical,7,100,85.12,103.2,447731.20,68.096,2
coal_biomass,subcritical,7,200,170.2,79.2,895252.00,136.16,2
coal_biomass,subcritical,7,300,255.2,69.68,1342352.00,204.16,2
coal_biomass,subcritical,7,400,340.3,64.26,1789978.00,272.24,2
coal_biomass,subcritical,7,500,425.3,60.65,2237078.00,340.24,2
coal_biomass,subcritical,7,600,510.4,58.02,2684704.00,408.32,2
coal_biomass,subcritical,7,700,595.4,55.99,3131804.00,476.32,2
coal_biomass,subcritical,7,800,680.5,54.36,3579430.00,544.4,2
coal_biomass,subcritical,7,900,765.5,53,4026530.00,612.4,2
coal_biomass,subcritical,7,1000,850.6,51.84,4474156.00,680.48,2
