primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
subbituminous,subcritical,3,100,88.74,106.7,583465.50,1
subbituminous,subcritical,3,200,177.4,82.9,1166405.00,1
subbituminous,subcritical,3,300,266.1,73.38,1749607.50,1
subbituminous,subcritical,3,400,354.7,67.94,2332152.50,1
subbituminous,subcritical,3,500,443.4,64.3,2915355.00,1
subbituminous,subcritical,3,600,532,61.65,3497900.00,1
subbituminous,subcritical,3,700,620.7,59.59,4081102.50,1
subbituminous,subcritical,3,800,709.3,57.93,4663647.50,1
subbituminous,subcritical,3,900,798,56.55,5246850.00,1
subbituminous,subcritical,3,1000,886.7,55.37,5830052.50,1
subbituminous,subcritical,3,1100,975.3,54.35,6412597.50,1
subbituminous,subcritical,3,1200,1064,53.45,6995800.00,1
subbituminous,subcritical,3,1300,1153,52.65,7580975.00,1
subbituminous,subcritical,3,1400,1241,51.99,8159575.00,1
subbituminous,subcritical,3,1500,1330,51.49,8744750.00,1
subbituminous,subcritical,3,1600,1419,51.04,9329925.00,1
subbituminous,subcritical,3,1700,1507,50.65,9908525.00,1
subbituminous,subcritical,3,1800,1596,50.3,10493700.00,1
subbituminous,subcritical,3,1900,1685,49.98,11078875.00,1
subbituminous,subcritical,3,2000,1773,49.7,11657475.00,1
subbituminous,subcritical,3,2100,1862,49.45,12242650.00,1
subbituminous,subcritical,3,2200,1951,49.22,12827825.00,1
subbituminous,subcritical,3,2300,2039,49.01,13406425.00,1
subbituminous,subcritical,3,2400,2128,48.82,13991600.00,1
subbituminous,subcritical,3,2500,2217,48.64,14576775.00,1
subbituminous,subcritical,7,100,88.74,105.2,583465.50,2
subbituminous,subcritical,7,200,177.4,81.63,1166405.00,2
subbituminous,subcritical,7,300,266.1,72.22,1749607.50,2
subbituminous,subcritical,7,400,354.7,66.86,2332152.50,2
subbituminous,subcritical,7,500,443.4,63.28,2915355.00,2
subbituminous,subcritical,7,600,532,60.67,3497900.00,2
subbituminous,subcritical,7,700,620.7,58.64,4081102.50,2
subbituminous,subcritical,7,800,709.3,57.01,4663647.50,2
subbituminous,subcritical,7,900,798,55.65,5246850.00,2
subbituminous,subcritical,7,1000,886.7,54.49,5830052.50,2
subbituminous,subcritical,7,1100,975.3,53.49,6412597.50,2
subbituminous,subcritical,7,1200,1064,52.61,6995800.00,2
subbituminous,subcritical,7,1300,1153,51.82,7580975.00,2
subbituminous,subcritical,7,1400,1241,51.17,8159575.00,2
subbituminous,subcritical,7,1500,1330,50.67,8744750.00,2
subbituminous,subcritical,7,1600,1419,50.24,9329925.00,2
subbituminous,subcritical,7,1700,1507,49.85,9908525.00,2
subbituminous,subcritical,7,1800,1596,49.51,10493700.00,2
subbituminous,subcritical,7,1900,1685,49.2,11078875.00,2
subbituminous,subcritical,7,2000,1773,48.92,11657475.00,2
subbituminous,subcritical,7,2100,1862,48.67,12242650.00,2
subbituminous,subcritical,7,2200,1951,48.44,12827825.00,2
subbituminous,subcritical,7,2300,2039,48.24,13406425.00,2
subbituminous,subcritical,7,2400,2128,48.05,13991600.00,2
subbituminous,subcritical,7,2500,2217,47.87,14576775.00,2
subbituminous,subcritical,10,100,88.74,104.1,583465.50,3
subbituminous,subcritical,10,200,177.4,80.68,1166405.00,3
subbituminous,subcritical,10,300,266.1,71.36,1749607.50,3
subbituminous,subcritical,10,400,354.7,66.05,2332152.50,3
subbituminous,subcritical,10,500,443.4,62.51,2915355.00,3
subbituminous,subcritical,10,600,532,59.93,3497900.00,3
subbituminous,subcritical,10,700,620.7,57.93,4081102.50,3
subbituminous,subcritical,10,800,709.3,56.32,4663647.50,3
subbituminous,subcritical,10,900,798,54.98,5246850.00,3
subbituminous,subcritical,10,1000,886.7,53.84,5830052.50,3
subbituminous,subcritical,10,1100,975.3,52.85,6412597.50,3
subbituminous,subcritical,10,1200,1064,51.97,6995800.00,3
subbituminous,subcritical,10,1300,1153,51.19,7580975.00,3
subbituminous,subcritical,10,1400,1241,50.55,8159575.00,3
subbituminous,subcritical,10,1500,1330,50.07,8744750.00,3
subbituminous,subcritical,10,1600,1419,49.64,9329925.00,3
subbituminous,subcritical,10,1700,1507,49.25,9908525.00,3
subbituminous,subcritical,10,1800,1596,48.91,10493700.00,3
subbituminous,subcritical,10,1900,1685,48.61,11078875.00,3
subbituminous,subcritical,10,2000,1773,48.34,11657475.00,3
subbituminous,subcritical,10,2100,1862,48.09,12242650.00,3
subbituminous,subcritical,10,2200,1951,47.86,12827825.00,3
subbituminous,subcritical,10,2300,2039,47.66,13406425.00,3
subbituminous,subcritical,10,2400,2128,47.47,13991600.00,3
subbituminous,subcritical,10,2500,2217,47.29,14576775.00,3
subbituminous,subcritical,13,100,88.74,103,583465.50,4
subbituminous,subcritical,13,200,177.4,79.73,1166405.00,4
subbituminous,subcritical,13,300,266.1,70.5,1749607.50,4
subbituminous,subcritical,13,400,354.7,65.25,2332152.50,4
subbituminous,subcritical,13,500,443.4,61.75,2915355.00,4
subbituminous,subcritical,13,600,532,59.2,3497900.00,4
subbituminous,subcritical,13,700,620.7,57.22,4081102.50,4
subbituminous,subcritical,13,800,709.3,55.63,4663647.50,4
subbituminous,subcritical,13,900,798,54.31,5246850.00,4
subbituminous,subcritical,13,1000,886.7,53.18,5830052.50,4
subbituminous,subcritical,13,1100,975.3,52.2,6412597.50,4
subbituminous,subcritical,13,1200,1064,51.34,6995800.00,4
subbituminous,subcritical,13,1300,1153,50.57,7580975.00,4
