station_name,x,y,z,temperature(degree Celsius),pressure(hPa),humidity(percent),wind_speed(km/hour),wind_direction(degree)
Chek Lap Kok,22.30944444,113.9219444,6.0,17.0,1000.0,65.0,5.020968253694831,225.0
Cheung Chau,22.20111111,114.0266667,72.0,17.0,1003.0,61.0,1.8428374488492585,225.0
Cheung Chau Beach,22.21083333,114.0291667,27.0,16.0,1004.0,60.0,4.12600247757663,225.0
Green Island,22.285,114.1127778,88.0,16.0,1003.0,65.0,5.692738871239566,270.0
Happy Valley,22.27055556,114.1836111,5.0,17.0,1004.0,62.0,1.2067691744252316,225.0
HK Observatory,22.30194444,114.1741667,32.0,16.0,1002.0,68.0,5.6491868131179865,270.0
HK Park,22.27833333,114.1622222,26.0,17.0,1004.0,69.0,1.4193883319647647,225.0
Kai Tak,22.30972222,114.2133333,10.0,17.0,1001.0,61.0,5.74490062510171,225.0
Kai Tak Runway Park,22.304832,114.21621,10.0,16.0,1004.0,63.0,2.4479501814554645,225.0
Kau Sai Chau,22.37027778,114.3125,39.0,17.0,1004.0,63.0,4.765929720305955,225.0
King's Park,22.31194444,114.1727778,65.0,17.0,1000.0,62.0,2.1005574994119476,225.0
Kowloon City,22.335,114.1847222,92.0,16.0,1001.0,65.0,4.779312723219963,225.0
Kwun Tong,22.31861111,114.2247222,90.0,16.0,1002.0,65.0,1.530490705027324,270.0
Lau Fau Shan,22.46888889,113.9836111,31.0,16.0,1003.0,69.0,1.9628610725001447,270.0
Ngong Ping,22.25861111,113.9127778,593.0,16.0,1004.0,60.0,5.459372028524242,225.0
Pak Tam Chung,22.40277778,114.3230556,5.0,17.0,1001.0,68.0,3.7785848046399413,270.0
Peng Chau,22.29111111,114.0433333,34.0,16.0,1004.0,68.0,5.74959065837854,270.0
Sai Kung,22.37555556,114.2744444,4.0,17.0,1001.0,69.0,3.256485920554412,270.0
Sha Chau,22.34583333,113.8911111,31.0,16.0,1004.0,63.0,1.0371442513640852,270.0
Sha Tin,22.4025,114.21,6.0,17.0,1002.0,67.0,2.3054364466071395,270.0
Sham Shui Po,22.33583333,114.1369444,11.0,17.0,1001.0,60.0,3.6918357543604254,270.0
Shau Kei Wan,22.28166667,114.2361111,53.0,16.0,1000.0,68.0,1.7085531551530029,225.0
Shek Kong,22.43611111,114.0847222,16.0,17.0,1003.0,61.0,5.699433946896203,270.0
Sheung Shui,22.50194444,114.1111111,10.0,16.0,1001.0,68.0,2.9922056232818015,270.0
Stanley,22.21416667,114.2186111,31.0,17.0,1004.0,66.0,3.499682391665415,225.0
Star Ferry,22.29305556,114.1686111,18.0,16.0,1003.0,66.0,1.7615317493854534,225.0
Ta Kwu Ling,22.52861111,114.1566667,15.0,16.0,1003.0,60.0,4.106652800317005,225.0
Tai Mei Tuk,22.47527778,114.2375,51.0,16.0,1000.0,62.0,2.644232601476292,225.0
Tai Mo Shan,22.41055556,114.1244444,955.0,17.0,1001.0,65.0,1.5022408613387148,270.0
Tai Po,22.44611111,114.1788889,15.0,16.0,1003.0,66.0,3.3823610499636194,270.0
Tai Po Kau,22.4425,114.1841667,11.0,16.0,1002.0,66.0,3.3531113216563706,225.0
Tap Mun,22.47138889,114.3605556,15.0,16.0,1004.0,62.0,5.547547312943962,225.0
Tate's Cairn,22.35777778,114.2177778,575.0,17.0,1003.0,67.0,4.1956421718035335,225.0
The Peak,22.26416667,114.155,406.0,17.0,1004.0,66.0,3.6577754633039525,225.0
Tseung Kwan O,22.31583333,114.2555556,38.0,17.0,1004.0,64.0,2.437257057820353,225.0
Tsing Yi,22.34805556,114.1091667,122.0,16.0,1004.0,62.0,3.7718595011642724,270.0
Tsuen Wan Ho Koon,22.38361111,114.1077778,142.0,17.0,1002.0,60.0,1.784194416138532,225.0
Tsuen Wan Shing Mun Valley,22.37555556,114.1238889,35.0,17.0,1002.0,68.0,3.4995866255071353,270.0
Tuen Mun,22.39055556,113.9766667,69.0,17.0,1003.0,60.0,2.7579358083046306,225.0
Waglan Island,22.18222222,114.3033333,56.0,16.0,1003.0,68.0,3.5601350860108347,270.0
Wetland Park,22.46666667,114.0088889,4.0,17.0,1001.0,62.0,3.0376274538508103,270.0
Wong Chuk Hang,22.24777778,114.1736111,5.0,17.0,1000.0,65.0,4.521311549816175,270.0
Wong Tai Sin,22.33944444,114.2052778,21.0,16.0,1001.0,61.0,3.423002719655744,225.0
Yuen Long Park,22.41888889,113.9961111,102.0,17.0,1003.0,61.0,1.986699521768157,270.0
