subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSANGLE_1
mOrder,mOrder2,Iter,RSquared
0,0,0,0
1,0,0,0.00208578675230497
0,0,1,0.00208579041940804
1,0,1,0.00208588688041944
0,0,2,0.00208588688041611
1,0,2,0.00208588688714439
0,0,3,0.00208588688713895
1,0,3,0.00208588688714229
2,0,0,0.00419091314887443
0,2,0,0.00736293521663001
0,3,1,0.00736294142196792
1,0,1,0.00736358192605246
2,0,1,0.007363860271001
0,2,1,0.00736557610751132
0,3,2,0.00736557610963162
1,0,2,0.0073655762985273
2,0,2,0.00736557687172468
0,2,2,0.00736557842535512
0,3,3,0.0073655784253609
1,0,3,0.00736557842548313
2,0,3,0.00736557842621899
0,2,3,0.00736557842781183
0,3,4,0.00736557842780772
1,0,4,0.00736557842781083
2,0,4,0.00736557842780938
0,2,4,0.00736557842780983
3,0,0,0.00899546486545699
0,3,0,0.0184539713267008
0,4,1,0.0184542696564455
1,0,1,0.0184558347884934
2,0,1,0.0184576568080924
3,0,1,0.0184592039497354
0,2,1,0.0184726184374574
0,3,1,0.0185199566424196
0,4,2,0.0185199567998983
1,0,2,0.0185199733479073
2,0,2,0.0185199822594943
3,0,2,0.0185200081249609
0,2,2,0.0185201239466225
0,3,2,0.0185209788606788
0,4,3,0.018520978860858
1,0,3,0.0185209792569432
2,0,3,0.0185209795031149
3,0,3,0.0185209799411374
0,2,3,0.0185209810311971
0,3,3,0.0185210017954852
0,4,4,0.018521001795568
1,0,4,0.0185210018000594
2,0,4,0.0185210018016735
3,0,4,0.0185210018095077
0,2,4,0.018521001828
0,3,4,0.0185210023809851
0,4,5,0.0185210023809745
1,0,5,0.0185210023813386
2,0,5,0.0185210023814421
3,0,5,0.0185210023817133
0,2,5,0.0185210023822043
0,3,5,0.0185210023975756
0,4,6,0.0185210023975789
1,0,6,0.0185210023975791
2,0,6,0.0185210023975827
3,0,6,0.018521002397577
0,2,6,0.0185210023976023
0,3,6,0.0185210023980336
0,4,7,0.0185210023980321
1,0,7,0.0185210023980313
2,0,7,0.0185210023980348
3,0,7,0.0185210023980319
0,2,7,0.0185210023980261
0,3,7,0.0185210023980421
0,4,8,0.0185210023980423
1,0,8,0.0185210023980396
2,0,8,0.0185210023980388
3,0,8,0.0185210023980419
0,2,8,0.018521002398041
0,3,8,0.0185210023980414
