nRun,SumOfSquares,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSANGLE,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_PWBUSKVVOLT,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMW,subtype_CaseGroup1_Bus93_ExxonMobil_Chemical_LineMVR,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSANGLE,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_PWBUSKVVOLT,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMW,subtype_CaseGroup1_Bus94_ExxonMobil_Refinery_LineMVR,subtype_CaseGroup1_Bus95_Petrofac_PWBUSANGLE,subtype_CaseGroup1_Bus95_Petrofac_PWBUSKVVOLT,subtype_CaseGroup1_Bus95_Petrofac_LineMW,subtype_CaseGroup1_Bus95_Petrofac_LineMVR
1,378395.39218491776,5292.4419728511975,1116.2731792317259,116613.99155608776,204937.50137473849,5305.8880352961014,1119.0036102611186,24847.405599231264,12711.109532268692,5306.002449555961,1119.0268036521641,17.838095511407644,8.9099762318363886
2,75297.878559403645,3157.9471699542955,318.77717973630348,37592.841858488879,4966.5794637443278,3187.6773241038341,318.59964384190721,21109.137116145943,1123.616651676535,3187.9329451852673,318.59814378347869,15.319708730196002,0.85135401267094091
3,75298.339885919384,3158.9436383916873,318.68261056781205,37591.334885026139,4965.6293397543286,3188.6874987989304,318.50508138175763,21109.303389070126,1123.6346334273358,3188.9432507326592,318.50358118902608,15.320630265619828,0.85134731396582553
4,75294.380110898259,3157.6720253569324,318.76795446957971,37591.066773778846,4965.499975461873,3187.4019611663125,318.59042864108659,21109.324171415563,1123.6382301970111,3187.6575937907364,318.58892860435219,15.320717786310322,0.85135022965241647
5,75292.831821378582,3157.212694389676,318.79779825256492,37590.895741002139,4965.4159729363528,3186.9376919790702,318.62027410888754,21109.327638046605,1123.6400282487996,3187.1932800163704,318.61877400189303,15.320577815951943,0.85135058027329202
6,75294.963570788255,3158.1192050580012,318.72992499817826,37590.650746058767,4965.2412505230232,3187.8548285284919,318.55239940915698,21109.341492950382,1123.6404278160592,3188.1105075437777,318.55089946195284,15.320539926993975,0.85134851345654006
7,75298.794232319779,3159.6956687440488,318.61301350961241,37590.285568154599,4964.9833736485816,3189.4496788773522,318.4354876523214,21109.376133135538,1123.6438248110496,3189.7055167222861,318.43398726660149,15.320650697529677,0.85132910026450082
8,75294.589302876571,3158.3181685668824,318.70629305136208,37590.054441606604,4964.87081726834,3188.0570030926492,318.52876976124793,21109.396915516783,1123.644823731019,3188.3127116720134,318.52726951273002,15.320761546749313,0.85132755017125683
9,75294.149033020745,3158.3223374038535,318.70133475979395,37589.763224331102,4964.6919049959415,3188.061688384289,318.52381249384734,21109.424628280172,1123.648220062237,3188.317401668764,318.52231225700348,15.32082863577266,0.85133974796694756
10,75393.341112573253,3180.3890669887055,317.53470142261153,37612.675720108033,4979.5391213019184,3210.3396649613742,317.35719123816051,21107.706517840128,1123.6771909895631,3210.5971710546301,317.35568983202882,15.317959126014275,0.8511177100993681
11,75300.20766477198,3157.6252278607858,318.83289875714553,37594.875860272608,4967.8632426142458,3187.3484581445991,318.65535769906251,21108.981237871987,1123.5968720509197,3187.6040163562066,318.65385643842842,15.31944923044624,0.85118747554716845
12,75297.274867067463,3156.6993572148176,318.89474885432293,37594.658590747189,4967.7489732979548,3186.4124729400614,318.71720878387038,21108.991631869925,1123.5974713903258,3186.6679462080288,318.71570773459786,15.319542540510438,0.85121548585956008
13,75299.163119437551,3157.5549277494201,318.82925902239583,37594.358110835667,4967.5229575863505,3187.2782107048729,318.6517175497786,21109.015877761551,1123.5972716105064,3187.5337717461639,318.65021629771934,15.319571739104003,0.85122683404220245
14,75301.314658794377,3158.4394020320287,318.76364129699954,37594.159332357907,4967.374244513906,3188.1729947161607,318.58609846374725,21109.036662871244,1123.5982705097824,3188.4286435756967,318.58459736627066,15.319542540510438,0.8512285501154303
15,75301.373749197417,3158.5948801066634,318.74887874826373,37593.928193901156,4967.2221732509797,3188.3306111484144,318.57133610011954,21109.05051767953,1123.6002683096676,3188.5862776206245,318.56983539439199,15.319533773109761,0.85124316448656001
16,75303.215728920812,3159.3412931091257,318.69385044400229,37593.775644072281,4967.112111780345,3189.0856918316131,318.51630777555403,21109.060908788731,1123.6028661225773,3189.3414337551067,318.51480684250464,15.319542540510438,0.85127185847160247
17,75302.657960445518,3159.2783460632554,318.69432173693684,37593.530639744335,4966.9634034483006,3189.0224322217582,318.51678036495611,21109.081693920602,1123.6060626097831,3189.2781704793301,318.51527978773311,15.319548411539081,0.85128165697854763
18,75300.525379083105,3158.6324227386704,318.73643388137447,37593.313374106132,4966.8516646991129,3188.3695587757816,318.55889469963302,21109.09901245014,1123.6104584575205,3188.6252392324664,318.55739438017343,15.319609626864743,0.85131603523705224
19,75295.452368429193,3156.9242711924253,318.853513718312,37593.109976066306,4966.7659720194388,3186.6424610802806,318.67597834479432,21109.123261309236,1123.6134551742673,3186.8979796973172,318.67447810667386,15.319694169970848,0.85132755017125683
