annual_emission,ccs_annual_emission,ccs_annual_emission_h,ccs_annual_emission_m,ccs_annual_emission_l,beccs_annual_emission_h,beccs_annual_emission_m,beccs_annual_emission_l,be_annual_emission_h,be_annual_emission_m,be_annual_emission_l
15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052,15.3145052
15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,15.80467916,14.84861047,15.0136613,15.30635606
16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,16.19312795,13.93432037,14.47474325,15.28491001
16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,16.39096076,13.26665496,14.07908104,15.26251776
16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,16.57845242,12.54849463,13.75550227,15.23841475
16.69485028,16.59613484,16.57639068,16.58626276,16.59613484,16.57596192,16.58604838,16.59613484,11.8170724,13.48455555,15.19720424
16.7617977,16.55900133,16.53934419,16.54917276,16.55900133,16.5388042,16.54890277,16.55900133,11.37400548,13.39306127,15.17050453
16.78756986,16.58177204,16.55194363,16.56685783,16.58177204,16.55114991,16.56646097,16.58177204,11.09932192,13.40419035,15.16264031
16.80153603,16.579397,16.53905316,16.55922508,16.579397,16.53649283,16.55794491,16.579397,11.02263763,13.41667617,15.16085476
16.75362656,16.5283462,16.48811671,16.50823146,16.5283462,16.48540189,16.50687405,16.5283462,11.09327131,13.46703501,15.17633523
16.69759905,16.46405508,16.42387768,16.44396638,16.46405508,16.41947497,16.44176503,16.46405508,11.29147462,13.54808843,15.20363945
16.66722788,16.4132556,16.3673163,16.39028595,16.4132556,16.35988045,16.38656803,16.4132556,11.51217006,13.62879649,15.24486883
16.6493732,16.39839846,16.33960047,16.36899946,16.39839846,16.33168836,16.36504341,16.39839846,11.71369727,13.71649788,15.29875136
16.65296995,16.38807146,16.32933667,16.35870406,16.38807146,16.32003894,16.3540552,16.38807146,11.86423714,13.80565629,15.35333224
16.6332687,16.37269671,16.28047419,16.32658545,16.37269671,16.2700462,16.32137146,16.37269671,12.01247712,13.89147883,15.40577518
16.64308833,16.39112884,16.29039893,16.34076389,16.39112884,16.27975643,16.33544263,16.39112884,12.20686342,14.04072857,15.48696285
16.67783018,16.39543228,16.23829312,16.3168627,16.39543228,16.22173166,16.30858197,16.39543228,12.34999228,14.18372763,15.57611542
16.7236453,16.43270834,16.24671617,16.33971225,16.43270834,16.22799873,16.33035354,16.43270834,12.40306967,14.25881876,15.64160055
16.78066535,16.47312168,16.16614372,16.3196327,16.47312168,16.14235195,16.30773682,16.47312168,12.40080553,14.31194881,15.69666104
16.86097373,16.54283435,16.23589931,16.38936683,16.54283435,16.21232229,16.37757832,16.54283435,12.37167069,14.36822584,15.75980732
16.9310589,16.61090952,16.28334954,16.44712953,16.61090952,16.25661275,16.43376113,16.61090952,12.37258631,14.47572809,15.84763283
16.98416546,16.66038393,16.28146202,16.47092298,16.66038393,16.25190579,16.45614486,16.66038393,12.40210188,14.59007078,15.93308509
17.02417052,16.71424135,16.29925838,16.50674986,16.71424135,16.26870436,16.49147286,16.71424135,12.47839208,14.711106,16.02001332
17.1003565,16.78150628,16.36652202,16.57401415,16.78150628,16.33477984,16.55814306,16.78150628,12.56771891,14.81331354,16.10269944
17.18493093,16.86354536,16.42744797,16.64549667,16.86354536,16.39527701,16.62941119,16.86354536,12.61146475,14.87916531,16.17600776
17.25960861,16.93275375,16.43797976,16.68536675,16.93275375,16.40288921,16.66782148,16.93275375,12.63016042,14.93593883,16.24533225
17.35039391,17.01305011,16.47714411,16.74509711,17.01305011,16.43951616,16.72628314,17.01305011,12.63181322,14.96848695,16.3047996
17.41308864,17.09026825,16.46409592,16.77718208,17.09026825,16.42302361,16.75664593,17.09026825,12.6437325,15.03259111,16.37692561
17.48777017,17.16999478,16.49276208,16.83137843,17.16999478,16.44960047,16.80979763,17.16999478,12.69173901,15.11676762,16.45347675
17.59562749,17.27495253,16.49347708,16.8842148,17.27495253,16.44292924,16.85894088,17.27495253,12.74118418,15.18623469,16.53297677
17.70677742,17.38669595,16.53632699,16.96151147,17.38669595,16.48244976,16.93457285,17.38669595,12.76612387,15.24230179,16.61291175
17.81184485,17.49161118,16.55325855,17.02243487,17.49161118,16.49185715,16.99173416,17.49161118,12.78190518,15.31262679,16.69634222
17.92521946,17.57129551,16.55119984,17.06124767,17.57129551,16.48321491,17.02725521,17.57129551,12.87122867,15.37467982,16.77877447
18.02817087,17.63988377,16.54649315,17.09318846,17.63988377,16.47079275,17.05533826,17.63988377,12.96926867,15.38849981,16.83847965
18.12350094,17.72460356,16.58679965,17.15570161,17.72460356,16.50838436,17.11649396,17.72460356,13.07120456,15.40352569,16.89387198
18.21070676,17.79135979,16.54227196,17.16681587,17.79135979,16.45427196,17.12281587,17.79135979,13.21069621,15.45571365,16.96290113
