lock_emission,ccs_lock_emission,ccs_lock_emission_h,ccs_lock_emission_m,ccs_lock_emission_l,beccs_lock_emission_h,beccs_lock_emission_m,beccs_lock_emission_l,be_lock_emission_h,be_lock_emission_m,be_lock_emission_l
282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185,282.4442185
292.2007447,292.2007447,292.2007447,292.2007447,292.2007447,292.2007447,292.2007447,292.2007447,285.9004073,286.7973547,287.0236749
294.2186171,294.2186171,294.2186171,294.2186171,294.2186171,294.2186171,294.2186171,294.2186171,288.9238168,291.6270473,292.3091337
298.6901167,298.6901167,298.6901167,298.6901167,298.6901167,298.6901167,298.6901167,298.6901167,289.2296072,293.7864924,294.9362979
299.4565118,299.4565118,299.4565118,299.4565118,299.4565118,299.4565118,299.4565118,299.4565118,288.8827983,295.3102801,296.9320796
300.2215678,300.2215678,300.2215678,300.2215678,300.2215678,300.2215678,300.2215678,300.2215678,286.7039444,294.9886659,297.0790891
303.5840313,303.5840313,303.5840313,303.5840313,303.5840313,303.5840313,303.5840313,303.5840313,285.732405,295.9315861,298.5050708
306.7548237,306.7548237,306.7548237,306.7548237,306.7548237,306.7548237,306.7548237,306.7548237,285.8542422,298.0369426,301.1109142
305.7401084,305.7401084,301.668341,303.7042247,305.7401084,301.5577531,303.6489307,305.7401084,283.8933872,297.9928142,301.5504194
297.9982492,297.9982492,290.0609225,294.0295859,297.9982492,289.8453473,293.9217983,297.9982492,276.9128348,292.653593,296.6253433
288.9315322,288.9315322,277.3877866,283.1596594,288.9315322,277.0742622,283.0028972,288.9315322,266.350647,283.452461,287.7676366
284.1681828,276.0652116,265.5174369,270.7913243,276.0652116,265.0549036,270.5600576,276.0652116,257.2754204,275.7397369,280.3987028
276.8064282,267.3347647,256.4799145,261.9073396,267.3347647,255.9793025,261.6570336,267.3347647,249.1086621,268.9001683,273.8940142
272.9664226,262.0694438,250.7928988,256.4311713,262.0694438,250.2498648,256.1596543,262.0694438,241.4505319,262.539611,267.8608641
274.104386,261.598778,249.7005578,255.6496679,261.598778,249.1056874,255.3522327,261.598778,237.5893065,260.2616512,265.982398
274.2800749,260.2022484,247.7213689,253.9618087,260.2022484,247.0765129,253.6393807,260.2022484,235.4933034,259.9019448,266.0607987
279.4577703,263.52046,250.2180856,256.8692728,263.52046,249.5105158,256.5154879,263.52046,235.0851293,261.4394938,268.0892977
280.8669384,263.2474967,249.2892024,256.2683496,263.2474967,248.5272691,255.8873829,263.2474967,235.1638791,263.5458455,270.7072594
299.0461787,278.5808681,263.0921612,270.8365146,278.5808681,262.2268281,270.4038481,278.5808681,240.5219872,271.7019402,279.5693496
306.8412763,284.0926084,267.5568664,275.8247374,284.0926084,266.6134839,275.3530462,284.0926084,248.3735133,282.7926792,291.4774156
311.3307133,286.473706,269.0433168,277.7585114,286.473706,268.0298266,277.2517663,286.473706,250.409281,287.4185466,296.7568237
317.4797292,290.3212093,271.8809548,281.1010821,290.3212093,270.7900303,280.5556198,290.3212093,251.6545811,291.2334013,301.2200354
318.6740677,289.596,270.4182686,280.0071343,289.596,269.265607,279.4308035,289.596,251.5096618,293.4957305,304.089768
318.3053582,287.4456575,267.6227821,277.5342198,287.4456575,266.4138878,276.9297727,287.4456575,248.739856,292.7333044,303.8338493
318.111596,283.6423376,264.6159395,274.1291386,283.6423376,263.3502498,273.4962937,283.6423376,245.4224904,291.3309221,302.9146608
321.9721851,283.4122328,263.8768758,273.6445543,283.4122328,262.5084813,272.9603571,283.4122328,243.7115245,291.8555088,304.0033281
320.9592588,277.0293817,259.8112446,268.4203132,277.0293817,258.3891088,267.7092453,277.0293817,241.6786707,292.0028961,304.7008396
327.977358,281.2164743,262.9342348,272.0753546,281.2164743,261.4216869,271.3190806,281.2164743,240.7582301,293.5568331,306.8791183
332.6391114,283.3165641,264.0770835,273.6968238,283.3165641,262.4828781,272.8997211,283.3165641,241.8824765,297.6554085,311.7281843
343.1584414,290.319113,268.6092443,279.4641787,290.319113,266.8715323,278.5953227,290.319113,244.1380331,303.2759095,318.1977371
357.5343708,300.4424483,277.0735114,288.7579799,300.4424483,275.1983403,287.8203943,300.4424483,249.7131191,313.1857269,329.2013056
364.2709053,304.025862,279.4529154,291.7393887,304.025862,277.4765337,290.7511978,304.025862,253.7439675,321.3323418,338.3864218
371.6910065,308.0990561,281.0087872,294.5539216,308.0990561,278.8913151,293.4951856,308.0990561,255.1375012,326.3114493,344.2702508
387.0975088,318.6620933,289.6373825,304.1497379,318.6620933,287.362134,303.0121137,318.6620933,259.3391245,335.0617071,354.1682323
392.6488166,319.8730998,289.1973569,304.5352283,319.8730998,286.7829621,303.3280309,319.8730998,262.732265,342.9240641,363.158274
399.3427083,322.4795237,288.2399047,305.3597142,322.4795237,285.6399047,304.0597142,322.4795237,261.0577137,346.1674234,367.6425337
