primary_fuel,generation_technology,capacity_MW,amortization_rate,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh,age
natural_gas,CCGT,100,3,23,67.221,151110,10,0.75,15,64.08,3.066666667,67.14666667,1.29,19.55,-2.16,-14202,90.78,-9.6,81.18,1
natural_gas,CCGT,100,7,23,66.696,151110,10,0.75,15,63.58,3.066666667,66.64666667,1.29,19.55,-2.16,-14202,90.07166667,-4.114285714,85.95738095,2
natural_gas,CCGT,100,10,23,66.3075,151110,10,0.75,15,63.21,3.066666667,66.27666667,1.29,19.55,-2.16,-14202,89.5475,-2.88,86.6675,3
natural_gas,CCGT,100,13,23,65.9085,151110,10,0.75,15,62.83,3.066666667,65.89666667,1.29,19.55,-2.16,-14202,89.00916667,-2.215384615,86.79378205,4
natural_gas,CCGT,100,17,23,65.3835,151110,10,0.75,15,62.33,3.066666667,65.39666667,1.29,19.55,-2.16,-14202,88.30083333,-1.694117647,86.60671569,5
natural_gas,CCGT,100,20,23,64.9845,151110,10,0.75,15,61.95,3.066666667,65.01666667,1.29,19.55,-2.16,-14202,87.7625,-1.44,86.3225,6
natural_gas,CCGT,100,23,23,64.5855,151110,10,0.75,15,61.57,3.066666667,64.63666667,1.29,19.55,-2.16,-14202,87.22416667,-1.252173913,85.97199275,7
natural_gas,CCGT,100,27,23,64.0605,151110,10,0.75,15,61.07,3.066666667,64.13666667,1.29,19.55,-2.16,-14202,86.51583333,-1.066666667,85.44916667,8
natural_gas,CCGT,100,30,23,63.6615,151110,10,0.75,15,60.69,3.066666667,63.75666667,1.29,19.55,-2.16,-14202,85.9775,-0.96,85.0175,9
natural_gas,CCGT,100,33,23,63.273,151110,10,0.75,15,60.32,3.066666667,63.38666667,1.29,19.55,-2.16,-14202,85.45333333,-0.872727273,84.58060606,10
