primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
anthracite,subcritical,3,100,64.12,102.2,421589.00,10,0.75,77.35,8.549333333,85.89933333,7.56,54.502,-2.058,49707,130.4082645,-0.2744,130.1338645
anthracite,subcritical,3,200,128.2,80.55,842915.00,10,0.75,60.96,8.546666667,69.50666667,15.12,108.97,-4.11,99414,102.7755372,-0.274,102.5015372
anthracite,subcritical,3,300,192.3,72.01,1264372.50,10,0.75,54.5,8.546666667,63.04666667,22.69,163.455,-6.155,149186.75,91.88429752,-0.273555556,91.61074197
anthracite,subcritical,3,400,256.3,67.17,1685172.50,10,0.75,50.84,8.543333333,59.38333333,30.24,217.855,-8.205,198828,85.71371901,-0.2735,85.44021901
anthracite,subcritical,3,500,320.4,63.95,2106630.00,10,0.75,48.4,8.544,56.944,37.8,272.34,-10.26,248535,81.6,-0.2736,81.3264
anthracite,subcritical,3,600,384.5,61.6,2528087.50,10,0.75,46.62,8.544444444,55.16444444,45.36,326.825,-12.315,298242,78.59900826,-0.273666667,78.3253416
anthracite,subcritical,3,700,448.6,59.79,2949545.00,10,0.75,45.25,8.544761905,53.7947619,52.92,381.31,-14.37,347949,76.2892562,-0.273714286,76.01554191
anthracite,subcritical,3,800,512.6,58.33,3370345.00,10,0.75,44.15,8.543333333,52.69333333,60.48,435.71,-16.41,397656,74.43471074,-0.2735,74.16121074
anthracite,subcritical,3,900,576.7,57.12,3791802.50,10,0.75,43.23,8.543703704,51.7737037,68.04,490.195,-18.465,447363,72.88363636,-0.273555556,72.61008081
anthracite,subcritical,3,1000,640.8,56.09,4213260.00,10,0.75,42.45,8.544,50.994,75.6,544.68,-20.52,497070,71.56859504,-0.2736,71.29499504
anthracite,subcritical,3,1100,704.8,55.2,4634060.00,10,0.75,41.78,8.543030303,50.3230303,83.15,599.08,-22.57,546711.25,70.43900826,-0.273575758,70.16543251
anthracite,subcritical,3,1200,768.9,54.41,5055517.50,10,0.75,41.18,8.543333333,49.72333333,90.71,653.565,-24.625,596418.25,69.42743802,-0.273611111,69.15382691
anthracite,subcritical,3,1300,833,53.7,5476975.00,10,0.75,40.64,8.543589744,49.18358974,98.28,708.05,-26.67,646191,68.51702479,-0.273538462,68.24348633
anthracite,subcritical,3,1400,897,53.14,5897775.00,10,0.75,40.22,8.542857143,48.76285714,105.83,762.45,-28.72,695832.25,67.80892562,-0.27352381,67.53540181
anthracite,subcritical,3,1500,961.1,52.71,6319232.50,10,0.75,39.89,8.543111111,48.43311111,113.39,816.935,-30.775,745539.25,67.25256198,-0.273555556,66.97900643
anthracite,subcritical,3,1600,1025,52.34,6739375.00,10,0.75,39.61,8.541666667,48.15166667,120.93,871.25,-32.82,795114.75,66.78049587,-0.2735,66.50699587
anthracite,subcritical,3,1700,1089,52.01,7160175.00,10,0.75,39.36,8.541176471,47.90117647,128.48,925.65,-34.87,844756,66.35900826,-0.273490196,66.08551807
anthracite,subcritical,3,1800,1153,51.71,7580975.00,10,0.75,39.14,8.540740741,47.68074074,136.03,980.05,-36.92,894397.25,65.98809917,-0.273481481,65.71461769
anthracite,subcritical,3,1900,1217,51.46,8001775.00,10,0.75,38.95,8.540350877,47.49035088,143.58,1034.45,-38.97,944038.5,65.6677686,-0.273473684,65.39429491
anthracite,subcritical,3,2000,1281,51.23,8422575.00,10,0.75,38.77,8.54,47.31,151.13,1088.85,-41.02,993679.75,65.36429752,-0.273466667,65.09083085
anthracite,subcritical,3,2100,1346,51.02,8849950.00,10,0.75,38.61,8.546031746,47.15603175,158.8,1144.1,-43.1,1044110,65.09454545,-0.273650794,64.82089466
anthracite,subcritical,3,2200,1410,50.83,9270750.00,10,0.75,38.47,8.545454545,47.01545455,166.35,1198.5,-45.15,1093751.25,64.8585124,-0.273636364,64.58487603
anthracite,subcritical,3,2300,1474,50.66,9691550.00,10,0.75,38.34,8.544927536,46.88492754,173.9,1252.9,-47.2,1143392.5,64.63933884,-0.273623188,64.36571565
anthracite,subcritical,3,2400,1538,50.51,10112350.00,10,0.75,38.23,8.544444444,46.77444444,181.45,1307.3,-49.25,1193033.75,64.4538843,-0.273611111,64.18027319
anthracite,subcritical,3,2500,1602,50.37,10533150.00,10,0.75,38.12,8.544,46.664,189,1361.7,-51.3,1242675,64.26842975,-0.2736,63.99482975
anthracite,subcritical,7,100,64.12,100.9,421589.00,10,0.75,76.37,8.549333333,84.91933333,7.56,54.502,-2.058,49707,128.7560331,-0.2744,128.4816331
anthracite,subcritical,7,200,128.2,79.44,842915.00,10,0.75,60.12,8.546666667,68.66666667,15.12,108.97,-4.11,99414,101.3593388,-0.274,101.0853388
anthracite,subcritical,7,300,192.3,71,1264372.50,10,0.75,53.74,8.546666667,62.28666667,22.69,163.455,-6.155,149186.75,90.60297521,-0.273555556,90.32941965
anthracite,subcritical,7,400,256.3,66.22,1685172.50,10,0.75,50.12,8.543333333,58.66333333,30.24,217.855,-8.205,198828,84.49983471,-0.2735,84.22633471
anthracite,subcritical,7,500,320.4,63.04,2106630.00,10,0.75,47.71,8.544,56.254,37.8,272.34,-10.26,248535,80.43669421,-0.2736,80.16309421
anthracite,subcritical,7,600,384.5,60.73,2528087.50,10,0.75,45.96,8.544444444,54.50444444,45.36,326.825,-12.315,298242,77.48628099,-0.273666667,77.21261433
anthracite,subcritical,7,700,448.6,58.95,2949545.00,10,0.75,44.62,8.544761905,53.1647619,52.92,381.31,-14.37,347949,75.22710744,-0.273714286,74.95339315
anthracite,subcritical,7,800,512.6,57.51,3370345.00,10,0.75,43.53,8.543333333,52.07333333,60.48,435.71,-16.41,397656,73.38942149,-0.2735,73.11592149
anthracite,subcritical,7,900,576.7,56.32,3791802.50,10,0.75,42.63,8.543703704,51.1737037,68.04,490.195,-18.465,447363,71.87206612,-0.273555556,71.59851056
anthracite,subcritical,7,1000,640.8,55.31,4213260.00,10,0.75,41.86,8.544,50.404,75.6,544.68,-20.52,497070,70.5738843,-0.2736,70.3002843
anthracite,subcritical,7,1100,704.8,54.43,4634060.00,10,0.75,41.19,8.543030303,49.7330303,83.15,599.08,-22.57,546711.25,69.44429752,-0.273575758,69.17072176
anthracite,subcritical,7,1200,768.9,53.65,5055517.50,10,0.75,40.6,8.543333333,49.14333333,90.71,653.565,-24.625,596418.25,68.44958678,-0.273611111,68.17597567
anthracite,subcritical,7,1300,833,52.96,5476975.00,10,0.75,40.08,8.543589744,48.62358974,98.28,708.05,-26.67,646191,67.57289256,-0.273538462,67.2993541
anthracite,subcritical,7,1400,897,52.4,5897775.00,10,0.75,39.66,8.542857143,48.20285714,105.83,762.45,-28.72,695832.25,66.86479339,-0.27352381,66.59126958
anthracite,subcritical,7,1500,961.1,51.98,6319232.50,10,0.75,39.34,8.543111111,47.88311111,113.39,816.935,-30.775,745539.25,66.32528926,-0.273555556,66.0517337
anthracite,subcritical,7,1600,1025,51.61,6739375.00,10,0.75,39.06,8.541666667,47.60166667,120.93,871.25,-32.82,795114.75,65.85322314,-0.2735,65.57972314
anthracite,subcritical,7,1700,1089,51.29,7160175.00,10,0.75,38.82,8.541176471,47.36117647,128.48,925.65,-34.87,844756,65.44859504,-0.273490196,65.17510485
anthracite,subcritical,7,1800,1153,51.01,7580975.00,10,0.75,38.61,8.540740741,47.15074074,136.03,980.05,-36.92,894397.25,65.09454545,-0.273481481,64.82106397
