primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
lignite,subcritical,3,100,91.83,111.7,603782.25,10,0.75,15,82.92,12.244,95.164,11.68,78.0555,-2.0945,-13771.3375,139.7990083,-0.279266667,139.5197416
lignite,subcritical,3,200,183.6,85.6,1207170,10,0.75,15,63.54,12.24,75.78,23.35,156.06,-4.19,-27549.25,107.1252893,-0.279333333,106.8459559
lignite,subcritical,3,300,275.3,75.16,1810097.5,10,0.75,15,55.79,12.23555556,68.02555556,35.02,234.005,-6.275,-41258.125,94.05917355,-0.278888889,93.78028466
lignite,subcritical,3,400,367.1,69.19,2413682.5,10,0.75,15,51.36,12.23666667,63.59666667,46.7,312.035,-8.365,-54999.875,86.59041322,-0.278833333,86.31157989
lignite,subcritical,3,500,458.8,65.2,3016610,10,0.75,15,48.4,12.23466667,60.63466667,58.36,389.98,-10.46,-68774.5,81.6,-0.278933333,81.32106667
lignite,subcritical,3,600,550.6,62.28,3620195,10,0.75,15,46.23,12.23555556,58.46555556,70.04,468.01,-12.55,-82516.25,77.9414876,-0.278888889,77.66259871
lignite,subcritical,3,700,642.3,60.02,4223122.5,10,0.75,15,44.55,12.23428571,56.78428571,81.7,545.955,-14.645,-96290.875,75.10909091,-0.278952381,74.83013853
lignite,subcritical,3,800,734,58.19,4826050,10,0.75,15,43.2,12.23333333,55.43333333,93.37,623.9,-16.73,-109999.75,72.83305785,-0.278833333,72.55422452
lignite,subcritical,3,900,825.8,56.68,5429635,10,0.75,15,42.08,12.23407407,54.31407407,105.04,701.93,-18.83,-123807.25,70.94479339,-0.278962963,70.66583043
lignite,subcritical,3,1000,917.5,55.39,6032562.5,10,0.75,15,41.12,12.23333333,53.35333333,116.71,779.875,-20.915,-137516.125,69.32628099,-0.278866667,69.04741433
lignite,subcritical,3,1100,1009,54.27,6634175,10,0.75,15,40.29,12.23030303,52.52030303,128.35,857.65,-23,-151225,67.92694215,-0.278787879,67.64815427
lignite,subcritical,3,1200,1101,53.28,7239075,10,0.75,15,39.55,12.23333333,51.78333333,140.05,935.85,-25.1,-165032.5,66.67933884,-0.278888889,66.40044995
lignite,subcritical,3,1300,1193,52.4,7843975,10,0.75,15,38.9,12.23589744,51.13589744,151.75,1014.05,-27.2,-178840,65.58347107,-0.278974359,65.30449672
lignite,subcritical,3,1400,1285,51.67,8448875,10,0.75,15,38.36,12.23809524,50.59809524,163.45,1092.25,-29.3,-192647.5,64.67305785,-0.279047619,64.39401023
lignite,subcritical,3,1500,1376,51.11,9047200,10,0.75,15,37.94,12.23111111,50.17111111,175.03,1169.6,-31.37,-206257.75,63.96495868,-0.278844444,63.68611423
lignite,subcritical,3,1600,1468,50.61,9652100,10,0.75,15,37.57,12.23333333,49.80333333,186.73,1247.8,-33.47,-220065.25,63.34115702,-0.278916667,63.06224036
lignite,subcritical,3,1700,1560,50.17,10257000,10,0.75,15,37.24,12.23529412,49.47529412,198.43,1326,-35.57,-233872.75,62.78479339,-0.278980392,62.505813
lignite,subcritical,3,1800,1651,49.77,10855325,10,0.75,15,36.95,12.22962963,49.17962963,210.01,1403.35,-37.64,-247483,62.29586777,-0.278814815,62.01705295
lignite,subcritical,3,1900,1743,49.42,11460225,10,0.75,15,36.69,12.23157895,48.92157895,221.71,1481.55,-39.74,-261290.5,61.85752066,-0.278877193,61.57864347
lignite,subcritical,3,2000,1835,49.1,12065125,10,0.75,15,36.45,12.23333333,48.68333333,233.41,1559.75,-41.84,-275098,61.45289256,-0.278933333,61.17395923
lignite,subcritical,3,2100,1927,48.81,12670025,10,0.75,15,36.23,12.23492063,48.46492063,245.12,1637.95,-43.93,-288839.75,61.08198347,-0.278920635,60.80306284
lignite,subcritical,3,2200,2018,48.54,13268350,10,0.75,15,36.03,12.23030303,48.26030303,256.69,1715.3,-46.01,-302515.75,60.74479339,-0.278848485,60.4659449
lignite,subcritical,3,2300,2110,48.3,13873250,10,0.75,15,35.85,12.23188406,48.08188406,268.39,1793.5,-48.11,-316323.25,60.44132231,-0.278898551,60.16242376
lignite,subcritical,3,2400,2202,48.08,14478150,10,0.75,15,35.69,12.23333333,47.92333333,280.1,1871.7,-50.2,-330065,60.17157025,-0.278888889,59.89268136
lignite,subcritical,3,2500,2294,47.88,15083050,10,0.75,15,35.54,12.23466667,47.77466667,291.8,1949.9,-52.3,-343872.5,59.91867769,-0.278933333,59.63974435
lignite,subcritical,7,100,91.83,110,603782.25,10,0.75,15,81.66,12.244,93.904,11.68,78.0555,-2.0945,-13771.3375,137.6747107,-0.279266667,137.3954441
lignite,subcritical,7,200,183.6,84.22,1207170,10,0.75,15,62.52,12.24,74.76,23.35,156.06,-4.19,-27549.25,105.4056198,-0.279333333,105.1262865
lignite,subcritical,7,300,275.3,73.91,1810097.5,10,0.75,15,54.87,12.23555556,67.10555556,35.02,234.005,-6.275,-41258.125,92.50809917,-0.278888889,92.22921028
lignite,subcritical,7,400,367.1,68.02,2413682.5,10,0.75,15,50.49,12.23666667,62.72666667,46.7,312.035,-8.365,-54999.875,85.12363636,-0.278833333,84.84480303
lignite,subcritical,7,500,458.8,64.09,3016610,10,0.75,15,47.58,12.23466667,59.81466667,58.36,389.98,-10.46,-68774.5,80.21752066,-0.278933333,79.93858733
lignite,subcritical,7,600,550.6,61.22,3620195,10,0.75,15,45.45,12.23555556,57.68555556,70.04,468.01,-12.55,-82516.25,76.62644628,-0.278888889,76.34755739
lignite,subcritical,7,700,642.3,58.99,4223122.5,10,0.75,15,43.79,12.23428571,56.02428571,81.7,545.955,-14.645,-96290.875,73.8277686,-0.278952381,73.54881621
lignite,subcritical,7,800,734,57.2,4826050,10,0.75,15,42.46,12.23333333,54.69333333,93.37,623.9,-16.73,-109999.75,71.58545455,-0.278833333,71.30662121
lignite,subcritical,7,900,825.8,55.71,5429635,10,0.75,15,41.36,12.23407407,53.59407407,105.04,701.93,-18.83,-123807.25,69.73090909,-0.278962963,69.45194613
lignite,subcritical,7,1000,917.5,54.44,6032562.5,10,0.75,15,40.41,12.23333333,52.64333333,116.71,779.875,-20.915,-137516.125,68.1292562,-0.278866667,67.85038953
lignite,subcritical,7,1100,1009,53.34,6634175,10,0.75,15,39.6,12.23030303,51.83030303,128.35,857.65,-23,-151225,66.76363636,-0.278787879,66.48484848
lignite,subcritical,7,1200,1101,52.37,7239075,10,0.75,15,38.88,12.23333333,51.11333333,140.05,935.85,-25.1,-165032.5,65.54975207,-0.278888889,65.27086318
lignite,subcritical,7,1300,1193,51.5,7843975,10,0.75,15,38.23,12.23589744,50.46589744,151.75,1014.05,-27.2,-178840,64.4538843,-0.278974359,64.17490994
lignite,subcritical,7,1400,1285,50.79,8448875,10,0.75,15,37.7,12.23809524,49.93809524,163.45,1092.25,-29.3,-192647.5,63.56033058,-0.279047619,63.28128296
lignite,subcritical,7,1500,1376,50.24,9047200,10,0.75,15,37.29,12.23111111,49.52111111,175.03,1169.6,-31.37,-206257.75,62.86909091,-0.278844444,62.59024646
lignite,subcritical,7,1600,1468,49.75,9652100,10,0.75,15,36.93,12.23333333,49.16333333,186.73,1247.8,-33.47,-220065.25,62.26214876,-0.278916667,61.98323209
lignite,subcritical,7,1700,1560,49.31,10257000,10,0.75,15,36.6,12.23529412,48.83529412,198.43,1326,-35.57,-233872.75,61.70578512,-0.278980392,61.42680473
lignite,subcritical,7,1800,1651,48.92,10855325,10,0.75,15,36.31,12.22962963,48.53962963,210.01,1403.35,-37.64,-247483,61.2168595,-0.278814815,60.93804469
lignite,subcritical,7,1900,1743,48.58,11460225,10,0.75,15,36.06,12.23157895,48.29157895,221.71,1481.55,-39.74,-261290.5,60.7953719,-0.278877193,60.51649471
lignite,subcritical,7,2000,1835,48.26,12065125,10,0.75,15,35.82,12.23333333,48.05333333,233.41,1559.75,-41.84,-275098,60.3907438,-0.278933333,60.11181047
lignite,subcritical,7,2100,1927,47.98,12670025,10,0.75,15,35.62,12.23492063,47.85492063,245.12,1637.95,-43.93,-288839.75,60.05355372,-0.278920635,59.77463308
lignite,subcritical,7,2200,2018,47.72,13268350,10,0.75,15,35.42,12.23030303,47.65030303,256.69,1715.3,-46.01,-302515.75,59.71636364,-0.278848485,59.43751515
lignite,subcritical,7,2300,2110,47.48,13873250,10,0.75,15,35.25,12.23188406,47.48188406,268.39,1793.5,-48.11,-316323.25,59.42975207,-0.278898551,59.15085352
lignite,subcritical,7,2400,2202,47.26,14478150,10,0.75,15,35.08,12.23333333,47.31333333,280.1,1871.7,-50.2,-330065,59.1431405,-0.278888889,58.86425161
lignite,subcritical,7,2500,2294,47.06,15083050,10,0.75,15,34.93,12.23466667,47.16466667,291.8,1949.9,-52.3,-343872.5,58.89024793,-0.278933333,58.6113146
lignite,subcritical,10,100,91.83,108.8,603782.25,10,0.75,15,80.77,12.244,93.014,11.68,78.0555,-2.0945,-13771.3375,136.1742149,-0.279266667,135.8949482
lignite,subcritical,10,200,183.6,83.18,1207170,10,0.75,15,61.75,12.24,73.99,23.35,156.06,-4.19,-27549.25,104.107438,-0.279333333,103.8281047
lignite,subcritical,10,300,275.3,72.97,1810097.5,10,0.75,15,54.17,12.23555556,66.40555556,35.02,234.005,-6.275,-41258.125,91.32793388,-0.278888889,91.049045
lignite,subcritical,10,400,367.1,67.15,2413682.5,10,0.75,15,49.85,12.23666667,62.08666667,46.7,312.035,-8.365,-54999.875,84.0446281,-0.278833333,83.76579477
lignite,subcritical,10,500,458.8,63.26,3016610,10,0.75,15,46.96,12.23466667,59.19466667,58.36,389.98,-10.46,-68774.5,79.1722314,-0.278933333,78.89329807
lignite,subcritical,10,600,550.6,60.42,3620195,10,0.75,15,44.85,12.23555556,57.08555556,70.04,468.01,-12.55,-82516.25,75.61487603,-0.278888889,75.33598714
lignite,subcritical,10,700,642.3,58.23,4223122.5,10,0.75,15,43.23,12.23428571,55.46428571,81.7,545.955,-14.645,-96290.875,72.88363636,-0.278952381,72.60468398
lignite,subcritical,10,800,734,56.46,4826050,10,0.75,15,41.91,12.23333333,54.14333333,93.37,623.9,-16.73,-109999.75,70.65818182,-0.278833333,70.37934848
lignite,subcritical,10,900,825.8,54.98,5429635,10,0.75,15,40.81,12.23407407,53.04407407,105.04,701.93,-18.83,-123807.25,68.80363636,-0.278962963,68.5246734
lignite,subcritical,10,1000,917.5,53.73,6032562.5,10,0.75,15,39.89,12.23333333,52.12333333,116.71,779.875,-20.915,-137516.125,67.25256198,-0.278866667,66.97369532
lignite,subcritical,10,1100,1009,52.64,6634175,10,0.75,15,39.08,12.23030303,51.31030303,128.35,857.65,-23,-151225,65.88694215,-0.278787879,65.60815427
lignite,subcritical,10,1200,1101,51.69,7239075,10,0.75,15,38.37,12.23333333,50.60333333,140.05,935.85,-25.1,-165032.5,64.68991736,-0.278888889,64.41102847
lignite,subcritical,10,1300,1193,50.83,7843975,10,0.75,15,37.73,12.23589744,49.96589744,151.75,1014.05,-27.2,-178840,63.61090909,-0.278974359,63.33193473
lignite,subcritical,10,1400,1285,50.13,8448875,10,0.75,15,37.21,12.23809524,49.44809524,163.45,1092.25,-29.3,-192647.5,62.73421488,-0.279047619,62.45516726
lignite,subcritical,10,1500,1376,49.58,9047200,10,0.75,15,36.8,12.23111111,49.03111111,175.03,1169.6,-31.37,-206257.75,62.04297521,-0.278844444,61.76413076
lignite,subcritical,10,1600,1468,49.1,9652100,10,0.75,15,36.45,12.23333333,48.68333333,186.73,1247.8,-33.47,-220065.25,61.45289256,-0.278916667,61.1739759
lignite,subcritical,10,1700,1560,48.67,10257000,10,0.75,15,36.13,12.23529412,48.36529412,198.43,1326,-35.57,-233872.75,60.91338843,-0.278980392,60.63440804
lignite,subcritical,10,1800,1651,48.29,10855325,10,0.75,15,35.85,12.22962963,48.07962963,210.01,1403.35,-37.64,-247483,60.44132231,-0.278814815,60.1625075
lignite,subcritical,10,1900,1743,47.94,11460225,10,0.75,15,35.59,12.23157895,47.82157895,221.71,1481.55,-39.74,-261290.5,60.00297521,-0.278877193,59.72409801
lignite,subcritical,10,2000,1835,47.63,12065125,10,0.75,15,35.36,12.23333333,47.59333333,233.41,1559.75,-41.84,-275098,59.61520661,-0.278933333,59.33627328
lignite,subcritical,10,2100,1927,47.35,12670025,10,0.75,15,35.15,12.23492063,47.38492063,245.12,1637.95,-43.93,-288839.75,59.26115702,-0.278920635,58.98223639
lignite,subcritical,10,2200,2018,47.09,13268350,10,0.75,15,34.96,12.23030303,47.19030303,256.69,1715.3,-46.01,-302515.75,58.94082645,-0.278848485,58.66197796
lignite,subcritical,10,2300,2110,46.86,13873250,10,0.75,15,34.79,12.23188406,47.02188406,268.39,1793.5,-48.11,-316323.25,58.65421488,-0.278898551,58.37531633
