primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
subbituminous,subcritical,3,100,88.74,106.7,583465.5,10,0.75,15,80.32,11.832,92.152,11.19,75.429,-2.121,-13945.575,135.4155372,-0.2828,135.1327372
subbituminous,subcritical,3,200,177.4,82.9,1166405,10,0.75,15,62.4,11.82666667,74.22666667,22.37,150.79,-4.24,-27878,105.2033058,-0.282666667,104.9206391
subbituminous,subcritical,3,300,266.1,73.38,1749607.5,10,0.75,15,55.23,11.82666667,67.05666667,33.56,226.185,-6.355,-41784.125,93.11504132,-0.282444444,92.83259688
subbituminous,subcritical,3,400,354.7,67.94,2332152.5,10,0.75,15,51.14,11.82333333,62.96333333,44.73,301.495,-8.475,-55723.125,86.21950413,-0.2825,85.93700413
subbituminous,subcritical,3,500,443.4,64.3,2915355,10,0.75,15,48.4,11.824,60.224,55.92,376.89,-10.59,-69629.25,81.6,-0.2824,81.3176
subbituminous,subcritical,3,600,532,61.65,3497900,10,0.75,15,46.41,11.82222222,58.23222222,67.09,452.2,-12.71,-83568.25,78.24495868,-0.282444444,77.96251423
subbituminous,subcritical,3,700,620.7,59.59,4081102.5,10,0.75,15,44.85,11.82285714,56.67285714,78.28,527.595,-14.825,-97474.375,75.61487603,-0.282380952,75.33249508
subbituminous,subcritical,3,800,709.3,57.93,4663647.5,10,0.75,15,43.61,11.82166667,55.43166667,89.45,602.905,-16.945,-111413.375,73.52429752,-0.282416667,73.24188085
subbituminous,subcritical,3,900,798,56.55,5246850,10,0.75,15,42.57,11.82222222,54.39222222,100.64,678.3,-19.06,-125319.5,71.77090909,-0.28237037,71.48853872
subbituminous,subcritical,3,1000,886.7,55.37,5830052.5,10,0.75,15,41.68,11.82266667,53.50266667,111.83,753.695,-21.175,-139225.625,70.27041322,-0.282333333,69.98807989
