primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
bituminous,supercritical,3,100,76.35,107.8,502001.25,10,0.75,15,80.49,10.18,90.67,9.21,64.8975,-2.2425,-14744.4375,129.4912343,-0.299,129.1922343
bituminous,supercritical,3,200,152.6,83.24,1003345,10,0.75,15,62.15,10.17333333,72.32333333,18.4,129.71,-4.49,-29521.75,99.98608787,-0.299333333,99.68675453
bituminous,supercritical,3,300,228.9,73.4,1505017.5,10,0.75,15,54.8,10.17333333,64.97333333,27.6,194.565,-6.735,-44282.625,88.16150628,-0.299333333,87.86217294
bituminous,supercritical,3,400,305.2,67.78,2006690,10,0.75,15,50.61,10.17333333,60.78333333,36.8,259.42,-8.98,-59043.5,81.42069038,-0.299333333,81.12135704
bituminous,supercritical,3,500,381.5,64.02,2508362.5,10,0.75,15,47.8,10.17333333,57.97333333,46,324.275,-11.225,-73804.375,76.9,-0.299333333,76.60066667
bituminous,supercritical,3,600,457.8,61.28,3010035,10,0.75,15,45.75,10.17333333,55.92333333,55.2,389.13,-13.47,-88565.25,73.60198745,-0.299333333,73.30265411
bituminous,supercritical,3,700,534,59.15,3511050,10,0.75,15,44.16,10.17142857,54.33142857,64.39,453.9,-15.71,-103293.25,71.04401674,-0.299238095,70.74477864
bituminous,supercritical,3,800,610.3,57.44,4012722.5,10,0.75,15,42.89,10.17166667,53.06166667,73.59,518.755,-17.955,-118054.125,69.00085774,-0.29925,68.70160774
bituminous,supercritical,3,900,686.6,56.02,4514395,10,0.75,15,41.83,10.17185185,52.00185185,82.79,583.61,-20.2,-132815,67.29554393,-0.299259259,66.99628467
bituminous,supercritical,3,1000,762.9,54.81,5016067.5,10,0.75,15,40.92,10.172,51.092,91.99,648.465,-22.445,-147575.875,65.83154812,-0.299266667,65.53228145
bituminous,supercritical,3,1100,839.2,53.77,5517740,10,0.75,15,40.15,10.17212121,50.32212121,101.19,713.32,-24.69,-162336.75,64.59278243,-0.299272727,64.2935097
bituminous,supercritical,3,1200,915.4,52.85,6018755,10,0.75,15,39.46,10.17111111,49.63111111,110.38,778.09,-26.93,-177064.75,63.48271967,-0.299222222,63.18349744
bituminous,supercritical,3,1300,991.7,52.03,6520427.5,10,0.75,15,38.85,10.17128205,49.02128205,119.58,842.945,-29.175,-191825.625,62.50135983,-0.299230769,62.20212906
bituminous,supercritical,3,1400,1068,51.3,7022100,10,0.75,15,38.3,10.17142857,48.47142857,128.78,907.8,-31.42,-206586.5,61.6165272,-0.299238095,61.3172891
bituminous,supercritical,3,1500,1144,50.63,7521800,10,0.75,15,37.8,10.16888889,47.96888889,137.94,972.4,-33.66,-221314.5,60.81213389,-0.2992,60.51293389
bituminous,supercritical,3,1600,1221,50.14,8028075,10,0.75,15,37.44,10.175,47.615,147.22,1037.85,-35.93,-236239.75,60.23297071,-0.299416667,59.93355404
bituminous,supercritical,3,1700,1297,49.71,8527775,10,0.75,15,37.12,10.17254902,47.29254902,156.39,1102.45,-38.16,-250902,59.718159,-0.299294118,59.41886488
bituminous,supercritical,3,1800,1373,49.32,9027475,10,0.75,15,36.82,10.17037037,46.99037037,165.55,1167.05,-40.4,-265630,59.23552301,-0.299259259,58.93626375
bituminous,supercritical,3,1900,1449,48.97,9527175,10,0.75,15,36.56,10.16842105,46.72842105,174.72,1231.65,-42.63,-280292.25,58.81723849,-0.299157895,58.5180806
bituminous,supercritical,3,2000,1526,48.65,10033450,10,0.75,15,36.32,10.17333333,46.49333333,184,1297.1,-44.9,-295217.5,58.43112971,-0.299333333,58.13179637
bituminous,supercritical,3,2100,1602,48.37,10533150,10,0.75,15,36.12,10.17142857,46.29142857,193.16,1361.7,-47.14,-309945.5,58.10937238,-0.299301587,57.8100708
bituminous,supercritical,3,2200,1678,48.11,11032850,10,0.75,15,35.92,10.16969697,46.08969697,202.33,1426.3,-49.37,-324607.75,57.78761506,-0.299212121,57.48840294
bituminous,supercritical,3,2300,1755,47.87,11539125,10,0.75,15,35.74,10.17391304,45.91391304,211.61,1491.75,-51.64,-339533,57.49803347,-0.299362319,57.19867115
bituminous,supercritical,3,2400,1831,47.65,12038825,10,0.75,15,35.58,10.17222222,45.75222222,220.78,1556.35,-53.87,-354195.25,57.24062762,-0.299277778,56.94134984
bituminous,supercritical,3,2500,1907,47.46,12538525,10,0.75,15,35.44,10.17066667,45.61066667,229.94,1620.95,-56.11,-368923.25,57.01539749,-0.299253333,56.71614416
