primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,bio-cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,biomass_emission_rate_ton_h,beccs_emission_rate_ton_h,beccs_annual_emission_ton,beccs_plant_LCOE_MWh,beccs_carbon_LCOE_MWh,beccs_LCOE_MWh
lignite,supercritical,3,100,86.75,114.6,570381.25,10,0.75,15,81.55,11.56666667,93.11666667,10.73,73.7375,-2.2825,-15007.4375,131.1965481,-0.304333333,130.8922148
lignite,supercritical,3,200,173.4,88.09,1140105,10,0.75,15,62.69,11.56,74.25,21.46,147.39,-4.55,-29916.25,100.8548326,-0.303333333,100.5514993
lignite,supercritical,3,300,260.1,77.41,1710157.5,10,0.75,15,55.09,11.56,66.65,32.19,221.085,-6.825,-44874.375,88.62805439,-0.303333333,88.32472106
lignite,supercritical,3,400,346.8,71.28,2280210,10,0.75,15,50.72,11.56,62.28,42.91,294.78,-9.11,-59898.25,81.5976569,-0.303666667,81.29399024
lignite,supercritical,3,500,433.4,67.17,2849605,10,0.75,15,47.8,11.55733333,59.35733333,53.63,368.39,-11.38,-74823.5,76.9,-0.303466667,76.59653333
lignite,supercritical,3,600,520.1,64.15,3419657.5,10,0.75,15,45.65,11.55777778,57.20777778,64.36,442.085,-13.655,-89781.625,73.44110879,-0.303444444,73.13766434
lignite,supercritical,3,700,606.8,61.81,3989710,10,0.75,15,43.99,11.55809524,55.54809524,75.09,515.78,-15.93,-104739.75,70.77052301,-0.303428571,70.46709444
lignite,supercritical,3,800,693.4,59.92,4559105,10,0.75,15,42.64,11.55666667,54.19666667,85.8,589.39,-18.21,-119730.75,68.59866109,-0.3035,68.29516109
lignite,supercritical,3,900,780.1,58.35,5129157.5,10,0.75,15,41.52,11.55703704,53.07703704,96.53,663.085,-20.485,-134688.875,66.79682008,-0.303481481,66.4933386
lignite,supercritical,3,1000,866.8,57.02,5699210,10,0.75,15,40.58,11.55733333,52.13733333,107.26,736.78,-22.76,-149647,65.28456067,-0.303466667,64.981094
lignite,supercritical,3,1100,953.4,55.86,6268605,10,0.75,15,39.75,11.55636364,51.30636364,117.98,810.39,-25.03,-164572.25,63.94926778,-0.303393939,63.64587384
lignite,supercritical,3,1200,1040,54.84,6838000,10,0.75,15,39.03,11.55555556,50.58555556,128.69,884,-27.31,-179563.25,62.79094142,-0.303444444,62.48749698
lignite,supercritical,3,1300,1127,53.94,7410025,10,0.75,15,38.39,11.55897436,49.94897436,139.46,957.95,-29.59,-194554.25,61.76131799,-0.303487179,61.45783081
lignite,supercritical,3,1400,1213,53.13,7975475,10,0.75,15,37.81,11.55238095,49.36238095,150.1,1031.05,-31.85,-209413.75,60.82822176,-0.303333333,60.52488842
lignite,supercritical,3,1500,1300,52.39,8547500,10,0.75,15,37.28,11.55555556,48.83555556,160.87,1105,-34.13,-224404.75,59.97556485,-0.303377778,59.67218708
lignite,supercritical,3,1600,1387,51.83,9119525,10,0.75,15,36.88,11.55833333,48.43833333,171.63,1178.95,-36.42,-239461.5,59.33205021,-0.3035,59.02855021
lignite,supercritical,3,1700,1473,51.34,9684975,10,0.75,15,36.53,11.55294118,48.08294118,182.27,1252.05,-38.68,-254321,58.7689749,-0.303372549,58.46560235
lignite,supercritical,3,1800,1560,50.89,10257000,10,0.75,15,36.21,11.55555556,47.76555556,193.04,1326,-40.96,-269312,58.25416318,-0.303407407,57.95075577
lignite,supercritical,3,1900,1647,50.5,10829025,10,0.75,15,35.94,11.55789474,47.49789474,203.8,1399.95,-43.25,-284368.75,57.81979079,-0.303508772,57.51628202
lignite,supercritical,3,2000,1733,50.13,11394475,10,0.75,15,35.67,11.55333333,47.22333333,214.45,1473.05,-45.5,-299162.5,57.38541841,-0.303333333,57.08208508
lignite,supercritical,3,2100,1820,49.81,11966500,10,0.75,15,35.45,11.55555556,47.00555556,225.21,1547,-47.79,-314219.25,57.03148536,-0.303428571,56.72805678
lignite,supercritical,3,2200,1907,49.51,12538525,10,0.75,15,35.23,11.55757576,46.78757576,235.98,1620.95,-50.07,-329210.25,56.6775523,-0.303454545,56.37409776
lignite,supercritical,3,2300,1993,49.23,13103975,10,0.75,15,35.03,11.55362319,46.58362319,246.62,1694.05,-52.33,-344069.75,56.35579498,-0.303362319,56.05243266
lignite,supercritical,3,2400,2080,48.98,13676000,10,0.75,15,34.86,11.55555556,46.41555556,257.38,1768,-54.62,-359126.5,56.08230126,-0.303444444,55.77885681
lignite,supercritical,3,2500,2167,48.75,14248025,10,0.75,15,34.69,11.55733333,46.24733333,268.15,1841.95,-56.9,-374117.5,55.80880753,-0.303466667,55.50534086
lignite,supercritical,7,100,86.75,112.7,570381.25,10,0.75,15,80.2,11.56666667,91.76666667,10.73,73.7375,-2.2825,-15007.4375,129.0246862,-0.304333333,128.7203529
lignite,supercritical,7,200,173.4,86.55,1140105,10,0.75,15,61.59,11.56,73.15,21.46,147.39,-4.55,-29916.25,99.08516736,-0.303333333,98.78183403
lignite,supercritical,7,300,260.1,76.02,1710157.5,10,0.75,15,54.1,11.56,65.66,32.19,221.085,-6.825,-44874.375,87.03535565,-0.303333333,86.73202232
