primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
anthracite,subcritical,3,100,64.12,102.2,421589.00,1
anthracite,subcritical,3,200,128.2,80.55,842915.00,1
anthracite,subcritical,3,300,192.3,72.01,1264372.50,1
anthracite,subcritical,3,400,256.3,67.17,1685172.50,1
anthracite,subcritical,3,500,320.4,63.95,2106630.00,1
anthracite,subcritical,3,600,384.5,61.6,2528087.50,1
anthracite,subcritical,3,700,448.6,59.79,2949545.00,1
anthracite,subcritical,3,800,512.6,58.33,3370345.00,1
anthracite,subcritical,3,900,576.7,57.12,3791802.50,1
anthracite,subcritical,3,1000,640.8,56.09,4213260.00,1
anthracite,subcritical,3,1100,704.8,55.2,4634060.00,1
anthracite,subcritical,3,1200,768.9,54.41,5055517.50,1
anthracite,subcritical,3,1300,833,53.7,5476975.00,1
anthracite,subcritical,3,1400,897,53.14,5897775.00,1
anthracite,subcritical,3,1500,961.1,52.71,6319232.50,1
anthracite,subcritical,3,1600,1025,52.34,6739375.00,1
anthracite,subcritical,3,1700,1089,52.01,7160175.00,1
anthracite,subcritical,3,1800,1153,51.71,7580975.00,1
anthracite,subcritical,3,1900,1217,51.46,8001775.00,1
anthracite,subcritical,3,2000,1281,51.23,8422575.00,1
anthracite,subcritical,3,2100,1346,51.02,8849950.00,1
anthracite,subcritical,3,2200,1410,50.83,9270750.00,1
anthracite,subcritical,3,2300,1474,50.66,9691550.00,1
anthracite,subcritical,3,2400,1538,50.51,10112350.00,1
anthracite,subcritical,3,2500,1602,50.37,10533150.00,1
anthracite,subcritical,7,100,64.12,100.9,421589.00,2
anthracite,subcritical,7,200,128.2,79.44,842915.00,2
anthracite,subcritical,7,300,192.3,71,1264372.50,2
anthracite,subcritical,7,400,256.3,66.22,1685172.50,2
anthracite,subcritical,7,500,320.4,63.04,2106630.00,2
anthracite,subcritical,7,600,384.5,60.73,2528087.50,2
anthracite,subcritical,7,700,448.6,58.95,2949545.00,2
anthracite,subcritical,7,800,512.6,57.51,3370345.00,2
anthracite,subcritical,7,900,576.7,56.32,3791802.50,2
anthracite,subcritical,7,1000,640.8,55.31,4213260.00,2
anthracite,subcritical,7,1100,704.8,54.43,4634060.00,2
anthracite,subcritical,7,1200,768.9,53.65,5055517.50,2
anthracite,subcritical,7,1300,833,52.96,5476975.00,2
anthracite,subcritical,7,1400,897,52.4,5897775.00,2
anthracite,subcritical,7,1500,961.1,51.98,6319232.50,2
anthracite,subcritical,7,1600,1025,51.61,6739375.00,2
anthracite,subcritical,7,1700,1089,51.29,7160175.00,2
anthracite,subcritical,7,1800,1153,51.01,7580975.00,2
anthracite,subcritical,7,1900,1217,50.75,8001775.00,2
anthracite,subcritical,7,2000,1281,50.52,8422575.00,2
anthracite,subcritical,7,2100,1346,50.32,8849950.00,2
anthracite,subcritical,7,2200,1410,50.14,9270750.00,2
anthracite,subcritical,7,2300,1474,49.97,9691550.00,2
anthracite,subcritical,7,2400,1538,49.82,10112350.00,2
anthracite,subcritical,7,2500,1602,49.68,10533150.00,2
anthracite,subcritical,10,100,64.12,99.88,421589.00,3
anthracite,subcritical,10,200,128.2,78.6,842915.00,3
anthracite,subcritical,10,300,192.3,70.23,1264372.50,3
anthracite,subcritical,10,400,256.3,65.5,1685172.50,3
anthracite,subcritical,10,500,320.4,62.36,2106630.00,3
anthracite,subcritical,10,600,384.5,60.08,2528087.50,3
anthracite,subcritical,10,700,448.6,58.32,2949545.00,3
anthracite,subcritical,10,800,512.6,56.9,3370345.00,3
anthracite,subcritical,10,900,576.7,55.72,3791802.50,3
anthracite,subcritical,10,1000,640.8,54.72,4213260.00,3
anthracite,subcritical,10,1100,704.8,53.85,4634060.00,3
anthracite,subcritical,10,1200,768.9,53.09,5055517.50,3
