primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
lignite,subcritical,3,100,91.83,111.7,603782.25,1
lignite,subcritical,3,200,183.6,85.6,1207170.00,1
lignite,subcritical,3,300,275.3,75.16,1810097.50,1
lignite,subcritical,3,400,367.1,69.19,2413682.50,1
lignite,subcritical,3,500,458.8,65.2,3016610.00,1
lignite,subcritical,3,600,550.6,62.28,3620195.00,1
lignite,subcritical,3,700,642.3,60.02,4223122.50,1
lignite,subcritical,3,800,734,58.19,4826050.00,1
lignite,subcritical,3,900,825.8,56.68,5429635.00,1
lignite,subcritical,3,1000,917.5,55.39,6032562.50,1
lignite,subcritical,3,1100,1009,54.27,6634175.00,1
lignite,subcritical,3,1200,1101,53.28,7239075.00,1
lignite,subcritical,3,1300,1193,52.4,7843975.00,1
lignite,subcritical,3,1400,1285,51.67,8448875.00,1
lignite,subcritical,3,1500,1376,51.11,9047200.00,1
lignite,subcritical,3,1600,1468,50.61,9652100.00,1
lignite,subcritical,3,1700,1560,50.17,10257000.00,1
lignite,subcritical,3,1800,1651,49.77,10855325.00,1
lignite,subcritical,3,1900,1743,49.42,11460225.00,1
lignite,subcritical,3,2000,1835,49.1,12065125.00,1
lignite,subcritical,3,2100,1927,48.81,12670025.00,1
lignite,subcritical,3,2200,2018,48.54,13268350.00,1
lignite,subcritical,3,2300,2110,48.3,13873250.00,1
lignite,subcritical,3,2400,2202,48.08,14478150.00,1
lignite,subcritical,3,2500,2294,47.88,15083050.00,1
lignite,subcritical,7,100,91.83,110,603782.25,2
lignite,subcritical,7,200,183.6,84.22,1207170.00,2
lignite,subcritical,7,300,275.3,73.91,1810097.50,2
lignite,subcritical,7,400,367.1,68.02,2413682.50,2
lignite,subcritical,7,500,458.8,64.09,3016610.00,2
lignite,subcritical,7,600,550.6,61.22,3620195.00,2
lignite,subcritical,7,700,642.3,58.99,4223122.50,2
lignite,subcritical,7,800,734,57.2,4826050.00,2
lignite,subcritical,7,900,825.8,55.71,5429635.00,2
lignite,subcritical,7,1000,917.5,54.44,6032562.50,2
lignite,subcritical,7,1100,1009,53.34,6634175.00,2
lignite,subcritical,7,1200,1101,52.37,7239075.00,2
lignite,subcritical,7,1300,1193,51.5,7843975.00,2
lignite,subcritical,7,1400,1285,50.79,8448875.00,2
lignite,subcritical,7,1500,1376,50.24,9047200.00,2
lignite,subcritical,7,1600,1468,49.75,9652100.00,2
lignite,subcritical,7,1700,1560,49.31,10257000.00,2
lignite,subcritical,7,1800,1651,48.92,10855325.00,2
lignite,subcritical,7,1900,1743,48.58,11460225.00,2
lignite,subcritical,7,2000,1835,48.26,12065125.00,2
lignite,subcritical,7,2100,1927,47.98,12670025.00,2
lignite,subcritical,7,2200,2018,47.72,13268350.00,2
lignite,subcritical,7,2300,2110,47.48,13873250.00,2
lignite,subcritical,7,2400,2202,47.26,14478150.00,2
lignite,subcritical,7,2500,2294,47.06,15083050.00,2
lignite,subcritical,10,100,91.83,108.8,603782.25,3
lignite,subcritical,10,200,183.6,83.18,1207170.00,3
lignite,subcritical,10,300,275.3,72.97,1810097.50,3
lignite,subcritical,10,400,367.1,67.15,2413682.50,3
lignite,subcritical,10,500,458.8,63.26,3016610.00,3
lignite,subcritical,10,600,550.6,60.42,3620195.00,3
lignite,subcritical,10,700,642.3,58.23,4223122.50,3
lignite,subcritical,10,800,734,56.46,4826050.00,3
lignite,subcritical,10,900,825.8,54.98,5429635.00,3
lignite,subcritical,10,1000,917.5,53.73,6032562.50,3
lignite,subcritical,10,1100,1009,52.64,6634175.00,3
lignite,subcritical,10,1200,1101,51.69,7239075.00,3
lignite,subcritical,10,1300,1193,50.83,7843975.00,3
lignite,subcritical,10,1400,1285,50.13,8448875.00,3
lignite,subcritical,10,1500,1376,49.58,9047200.00,3
lignite,subcritical,10,1600,1468,49.1,9652100.00,3
lignite,subcritical,10,1700,1560,48.67,10257000.00,3
lignite,subcritical,10,1800,1651,48.29,10855325.00,3
lignite,subcritical,10,1900,1743,47.94,11460225.00,3
lignite,subcritical,10,2000,1835,47.63,12065125.00,3
lignite,subcritical,10,2100,1927,47.35,12670025.00,3
lignite,subcritical,10,2200,2018,47.09,13268350.00,3
lignite,subcritical,10,2300,2110,46.86,13873250.00,3
lignite,subcritical,10,2400,2202,46.64,14478150.00,3
lignite,subcritical,10,2500,2294,46.44,15083050.00,3
lignite,subcritical,13,100,91.83,107.5,603782.25,4
lignite,subcritical,13,200,183.6,82.14,1207170.00,4
lignite,subcritical,13,300,275.3,72.03,1810097.50,4
lignite,subcritical,13,400,367.1,66.27,2413682.50,4
lignite,subcritical,13,500,458.8,62.43,3016610.00,4
lignite,subcritical,13,600,550.6,59.63,3620195.00,4
lignite,subcritical,13,700,642.3,57.46,4223122.50,4
lignite,subcritical,13,800,734,55.71,4826050.00,4
lignite,subcritical,13,900,825.8,54.26,5429635.00,4
lignite,subcritical,13,1000,917.5,53.02,6032562.50,4
lignite,subcritical,13,1100,1009,51.95,6634175.00,4
lignite,subcritical,13,1200,1101,51,7239075.00,4
lignite,subcritical,13,1300,1193,50.16,7843975.00,4
lignite,subcritical,13,1400,1285,49.47,8448875.00,4
lignite,subcritical,13,1500,1376,48.93,9047200.00,4
lignite,subcritical,13,1600,1468,48.45,9652100.00,4
lignite,subcritical,13,1700,1560,48.03,10257000.00,4
lignite,subcritical,13,1800,1651,47.65,10855325.00,4
lignite,subcritical,13,1900,1743,47.31,11460225.00,4
lignite,subcritical,13,2000,1835,47.01,12065125.00,4
lignite,subcritical,13,2100,1927,46.73,12670025.00,4
lignite,subcritical,13,2200,2018,46.47,13268350.00,4
lignite,subcritical,13,2300,2110,46.24,13873250.00,4
lignite,subcritical,13,2400,2202,46.03,14478150.00,4
lignite,subcritical,13,2500,2294,45.83,15083050.00,4
lignite,subcritical,17,100,91.83,105.9,603782.25,5
lignite,subcritical,17,200,183.6,80.75,1207170.00,5
lignite,subcritical,17,300,275.3,70.77,1810097.50,5
lignite,subcritical,17,400,367.1,65.1,2413682.50,5
lignite,subcritical,17,500,458.8,61.32,3016610.00,5
lignite,subcritical,17,600,550.6,58.56,3620195.00,5
lignite,subcritical,17,700,642.3,56.43,4223122.50,5
lignite,subcritical,17,800,734,54.72,4826050.00,5
lignite,subcritical,17,900,825.8,53.29,5429635.00,5
lignite,subcritical,17,1000,917.5,52.08,6032562.50,5
lignite,subcritical,17,1100,1009,51.02,6634175.00,5
lignite,subcritical,17,1200,1101,50.09,7239075.00,5
lignite,subcritical,17,1300,1193,49.26,7843975.00,5
lignite,subcritical,17,1400,1285,48.58,8448875.00,5
lignite,subcritical,17,1500,1376,48.06,9047200.00,5
lignite,subcritical,17,1600,1468,47.59,9652100.00,5
lignite,subcritical,17,1700,1560,47.18,10257000.00,5
lignite,subcritical,17,1800,1651,46.81,10855325.00,5
lignite,subcritical,17,1900,1743,46.47,11460225.00,5
lignite,subcritical,17,2000,1835,46.17,12065125.00,5
lignite,subcritical,17,2100,1927,45.9,12670025.00,5
lignite,subcritical,17,2200,2018,45.64,13268350.00,5
lignite,subcritical,17,2300,2110,45.41,13873250.00,5
lignite,subcritical,17,2400,2202,45.2,14478150.00,5
lignite,subcritical,17,2500,2294,45,15083050.00,5
lignite,subcritical,20,100,91.83,104.6,603782.25,6
lignite,subcritical,20,200,183.6,79.71,1207170.00,6
lignite,subcritical,20,300,275.3,69.83,1810097.50,6
lignite,subcritical,20,400,367.1,64.22,2413682.50,6
lignite,subcritical,20,500,458.8,60.49,3016610.00,6
lignite,subcritical,20,600,550.6,57.77,3620195.00,6
lignite,subcritical,20,700,642.3,55.67,4223122.50,6
lignite,subcritical,20,800,734,53.97,4826050.00,6
lignite,subcritical,20,900,825.8,52.56,5429635.00,6
lignite,subcritical,20,1000,917.5,51.37,6032562.50,6
lignite,subcritical,20,1100,1009,50.33,6634175.00,6
lignite,subcritical,20,1200,1101,49.41,7239075.00,6
lignite,subcritical,20,1300,1193,48.59,7843975.00,6
lignite,subcritical,20,1400,1285,47.92,8448875.00,6
lignite,subcritical,20,1500,1376,47.4,9047200.00,6
lignite,subcritical,20,1600,1468,46.94,9652100.00,6
lignite,subcritical,20,1700,1560,46.53,10257000.00,6
lignite,subcritical,20,1800,1651,46.17,10855325.00,6
lignite,subcritical,20,1900,1743,45.84,11460225.00,6
lignite,subcritical,20,2000,1835,45.54,12065125.00,6
lignite,subcritical,20,2100,1927,45.27,12670025.00,6
lignite,subcritical,20,2200,2018,45.02,13268350.00,6
lignite,subcritical,20,2300,2110,44.8,13873250.00,6
lignite,subcritical,20,2400,2202,44.58,14478150.00,6
lignite,subcritical,20,2500,2294,44.39,15083050.00,6
lignite,subcritical,23,100,91.83,103.4,603782.25,7
lignite,subcritical,23,200,183.6,78.67,1207170.00,7
lignite,subcritical,23,300,275.3,68.9,1810097.50,7
lignite,subcritical,23,400,367.1,63.35,2413682.50,7
lignite,subcritical,23,500,458.8,59.66,3016610.00,7
lignite,subcritical,23,600,550.6,56.97,3620195.00,7
lignite,subcritical,23,700,642.3,54.9,4223122.50,7
lignite,subcritical,23,800,734,53.23,4826050.00,7
lignite,subcritical,23,900,825.8,51.84,5429635.00,7
lignite,subcritical,23,1000,917.5,50.66,6032562.50,7
lignite,subcritical,23,1100,1009,49.63,6634175.00,7
lignite,subcritical,23,1200,1101,48.73,7239075.00,7
lignite,subcritical,23,1300,1193,47.92,7843975.00,7
lignite,subcritical,23,1400,1285,47.26,8448875.00,7
lignite,subcritical,23,1500,1376,46.75,9047200.00,7
lignite,subcritical,23,1600,1468,46.29,9652100.00,7
lignite,subcritical,23,1700,1560,45.89,10257000.00,7
lignite,subcritical,23,1800,1651,45.53,10855325.00,7
lignite,subcritical,23,1900,1743,45.21,11460225.00,7
lignite,subcritical,23,2000,1835,44.92,12065125.00,7
lignite,subcritical,23,2100,1927,44.65,12670025.00,7
lignite,subcritical,23,2200,2018,44.4,13268350.00,7
lignite,subcritical,23,2300,2110,44.18,13873250.00,7
lignite,subcritical,23,2400,2202,43.97,14478150.00,7
lignite,subcritical,23,2500,2294,43.77,15083050.00,7
lignite,subcritical,27,100,91.83,101.7,603782.25,8
lignite,subcritical,27,200,183.6,77.29,1207170.00,8
lignite,subcritical,27,300,275.3,67.64,1810097.50,8
lignite,subcritical,27,400,367.1,62.18,2413682.50,8
