primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
anthracite,supercritical,3,100,60.58,104.4,398313.50,1
anthracite,supercritical,3,200,121.1,82.41,796232.50,1
anthracite,supercritical,3,300,181.6,73.64,1194020.00,1
anthracite,supercritical,3,400,242.2,68.64,1592465.00,1
anthracite,supercritical,3,500,302.7,65.31,1990252.50,1
anthracite,supercritical,3,600,363.2,62.87,2388040.00,1
anthracite,supercritical,3,700,423.7,60.99,2785827.50,1
anthracite,supercritical,3,800,484.3,59.47,3184272.50,1
anthracite,supercritical,3,900,544.8,58.21,3582060.00,1
anthracite,supercritical,3,1000,605.3,57.14,3979847.50,1
anthracite,supercritical,3,1100,665.8,56.21,4377635.00,1
anthracite,supercritical,3,1200,726.4,55.4,4776080.00,1
anthracite,supercritical,3,1300,786.9,54.67,5173867.50,1
anthracite,supercritical,3,1400,847.4,54.02,5571655.00,1
anthracite,supercritical,3,1500,907.9,53.42,5969442.50,1
anthracite,supercritical,3,1600,968.5,52.99,6367887.50,1
anthracite,supercritical,3,1700,1029,52.62,6765675.00,1
anthracite,supercritical,3,1800,1090,52.28,7166750.00,1
anthracite,supercritical,3,1900,1150,51.98,7561250.00,1
anthracite,supercritical,3,2000,1211,51.71,7962325.00,1
anthracite,supercritical,3,2100,1271,51.47,8356825.00,1
anthracite,supercritical,3,2200,1332,51.25,8757900.00,1
anthracite,supercritical,3,2300,1392,51.05,9152400.00,1
anthracite,supercritical,3,2400,1453,50.87,9553475.00,1
anthracite,supercritical,3,2500,1513,50.7,9947975.00,1
anthracite,supercritical,7,100,60.58,103,398313.50,2
anthracite,supercritical,7,200,121.1,81.15,796232.50,2
anthracite,supercritical,7,300,181.6,72.49,1194020.00,2
anthracite,supercritical,7,400,242.2,67.57,1592465.00,2
anthracite,supercritical,7,500,302.7,64.28,1990252.50,2
anthracite,supercritical,7,600,363.2,61.89,2388040.00,2
anthracite,supercritical,7,700,423.7,60.04,2785827.50,2
anthracite,supercritical,7,800,484.3,58.54,3184272.50,2
anthracite,supercritical,7,900,544.8,57.31,3582060.00,2
anthracite,supercritical,7,1000,605.3,56.25,3979847.50,2
anthracite,supercritical,7,1100,665.8,55.34,4377635.00,2
anthracite,supercritical,7,1200,726.4,54.54,4776080.00,2
anthracite,supercritical,7,1300,786.9,53.83,5173867.50,2
anthracite,supercritical,7,1400,847.4,53.18,5571655.00,2
anthracite,supercritical,7,1500,907.9,52.6,5969442.50,2
anthracite,supercritical,7,1600,968.5,52.18,6367887.50,2
anthracite,supercritical,7,1700,1029,51.81,6765675.00,2
anthracite,supercritical,7,1800,1090,51.49,7166750.00,2
anthracite,supercritical,7,1900,1150,51.19,7561250.00,2
anthracite,supercritical,7,2000,1211,50.93,7962325.00,2
anthracite,supercritical,7,2100,1271,50.69,8356825.00,2
anthracite,supercritical,7,2200,1332,50.47,8757900.00,2
anthracite,supercritical,7,2300,1392,50.28,9152400.00,2
anthracite,supercritical,7,2400,1453,50.1,9553475.00,2
anthracite,supercritical,7,2500,1513,49.93,9947975.00,2
anthracite,supercritical,10,100,60.58,101.8,398313.50,3
anthracite,supercritical,10,200,121.1,80.21,796232.50,3
anthracite,supercritical,10,300,181.6,71.63,1194020.00,3
anthracite,supercritical,10,400,242.2,66.76,1592465.00,3
anthracite,supercritical,10,500,302.7,63.51,1990252.50,3
anthracite,supercritical,10,600,363.2,61.15,2388040.00,3
anthracite,supercritical,10,700,423.7,59.32,2785827.50,3
anthracite,supercritical,10,800,484.3,57.85,3184272.50,3
anthracite,supercritical,10,900,544.8,56.63,3582060.00,3
anthracite,supercritical,10,1000,605.3,55.59,3979847.50,3
anthracite,supercritical,10,1100,665.8,54.69,4377635.00,3
anthracite,supercritical,10,1200,726.4,53.9,4776080.00,3
anthracite,supercritical,10,1300,786.9,53.2,5173867.50,3
anthracite,supercritical,10,1400,847.4,52.56,5571655.00,3
anthracite,supercritical,10,1500,907.9,51.99,5969442.50,3
anthracite,supercritical,10,1600,968.5,51.57,6367887.50,3
anthracite,supercritical,10,1700,1029,51.21,6765675.00,3
anthracite,supercritical,10,1800,1090,50.89,7166750.00,3
anthracite,supercritical,10,1900,1150,50.6,7561250.00,3
anthracite,supercritical,10,2000,1211,50.34,7962325.00,3
anthracite,supercritical,10,2100,1271,50.1,8356825.00,3
anthracite,supercritical,10,2200,1332,49.89,8757900.00,3
anthracite,supercritical,10,2300,1392,49.7,9152400.00,3
anthracite,supercritical,10,2400,1453,49.52,9553475.00,3
anthracite,supercritical,10,2500,1513,49.36,9947975.00,3
anthracite,supercritical,13,100,60.58,100.7,398313.50,4
anthracite,supercritical,13,200,121.1,79.26,796232.50,4
anthracite,supercritical,13,300,181.6,70.77,1194020.00,4
anthracite,supercritical,13,400,242.2,65.95,1592465.00,4
anthracite,supercritical,13,500,302.7,62.74,1990252.50,4
anthracite,supercritical,13,600,363.2,60.41,2388040.00,4
anthracite,supercritical,13,700,423.7,58.61,2785827.50,4
anthracite,supercritical,13,800,484.3,57.15,3184272.50,4
anthracite,supercritical,13,900,544.8,55.95,3582060.00,4
anthracite,supercritical,13,1000,605.3,54.93,3979847.50,4
anthracite,supercritical,13,1100,665.8,54.04,4377635.00,4
anthracite,supercritical,13,1200,726.4,53.26,4776080.00,4
anthracite,supercritical,13,1300,786.9,52.57,5173867.50,4
anthracite,supercritical,13,1400,847.4,51.94,5571655.00,4
anthracite,supercritical,13,1500,907.9,51.37,5969442.50,4
anthracite,supercritical,13,1600,968.5,50.97,6367887.50,4
anthracite,supercritical,13,1700,1029,50.61,6765675.00,4
anthracite,supercritical,13,1800,1090,50.29,7166750.00,4
anthracite,supercritical,13,1900,1150,50,7561250.00,4
anthracite,supercritical,13,2000,1211,49.75,7962325.00,4
anthracite,supercritical,13,2100,1271,49.52,8356825.00,4
anthracite,supercritical,13,2200,1332,49.31,8757900.00,4
anthracite,supercritical,13,2300,1392,49.11,9152400.00,4
anthracite,supercritical,13,2400,1453,48.94,9553475.00,4
anthracite,supercritical,13,2500,1513,48.78,9947975.00,4
anthracite,supercritical,17,100,60.58,99.26,398313.50,5
anthracite,supercritical,17,200,121.1,78,796232.50,5
anthracite,supercritical,17,300,181.6,69.62,1194020.00,5
anthracite,supercritical,17,400,242.2,64.87,1592465.00,5
anthracite,supercritical,17,500,302.7,61.72,1990252.50,5
anthracite,supercritical,17,600,363.2,59.42,2388040.00,5
anthracite,supercritical,17,700,423.7,57.65,2785827.50,5
anthracite,supercritical,17,800,484.3,56.23,3184272.50,5
anthracite,supercritical,17,900,544.8,55.04,3582060.00,5
anthracite,supercritical,17,1000,605.3,54.04,3979847.50,5
anthracite,supercritical,17,1100,665.8,53.17,4377635.00,5
anthracite,supercritical,17,1200,726.4,52.41,4776080.00,5
anthracite,supercritical,17,1300,786.9,51.72,5173867.50,5
anthracite,supercritical,17,1400,847.4,51.11,5571655.00,5
anthracite,supercritical,17,1500,907.9,50.55,5969442.50,5
anthracite,supercritical,17,1600,968.5,50.15,6367887.50,5
anthracite,supercritical,17,1700,1029,49.8,6765675.00,5
anthracite,supercritical,17,1800,1090,49.49,7166750.00,5
anthracite,supercritical,17,1900,1150,49.21,7561250.00,5
anthracite,supercritical,17,2000,1211,48.96,7962325.00,5
anthracite,supercritical,17,2100,1271,48.74,8356825.00,5
anthracite,supercritical,17,2200,1332,48.53,8757900.00,5
anthracite,supercritical,17,2300,1392,48.34,9152400.00,5
anthracite,supercritical,17,2400,1453,48.17,9553475.00,5
anthracite,supercritical,17,2500,1513,48.01,9947975.00,5
anthracite,supercritical,20,100,60.58,98.15,398313.50,6
anthracite,supercritical,20,200,121.1,77.06,796232.50,6
anthracite,supercritical,20,300,181.6,68.76,1194020.00,6
anthracite,supercritical,20,400,242.2,64.07,1592465.00,6
anthracite,supercritical,20,500,302.7,60.95,1990252.50,6
anthracite,supercritical,20,600,363.2,58.68,2388040.00,6
anthracite,supercritical,20,700,423.7,56.94,2785827.50,6
anthracite,supercritical,20,800,484.3,55.53,3184272.50,6
anthracite,supercritical,20,900,544.8,54.37,3582060.00,6
anthracite,supercritical,20,1000,605.3,53.38,3979847.50,6
anthracite,supercritical,20,1100,665.8,52.52,4377635.00,6
anthracite,supercritical,20,1200,726.4,51.76,4776080.00,6
anthracite,supercritical,20,1300,786.9,51.09,5173867.50,6
anthracite,supercritical,20,1400,847.4,50.49,5571655.00,6
anthracite,supercritical,20,1500,907.9,49.94,5969442.50,6
anthracite,supercritical,20,1600,968.5,49.55,6367887.50,6
anthracite,supercritical,20,1700,1029,49.2,6765675.00,6
anthracite,supercritical,20,1800,1090,48.9,7166750.00,6
anthracite,supercritical,20,1900,1150,48.62,7561250.00,6
anthracite,supercritical,20,2000,1211,48.37,7962325.00,6
anthracite,supercritical,20,2100,1271,48.15,8356825.00,6
