primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
bituminous,supercritical,3,100,76.35,107.8,502001.25,1
bituminous,supercritical,3,200,152.6,83.24,1003345.00,1
bituminous,supercritical,3,300,228.9,73.4,1505017.50,1
bituminous,supercritical,3,400,305.2,67.78,2006690.00,1
bituminous,supercritical,3,500,381.5,64.02,2508362.50,1
bituminous,supercritical,3,600,457.8,61.28,3010035.00,1
bituminous,supercritical,3,700,534,59.15,3511050.00,1
bituminous,supercritical,3,800,610.3,57.44,4012722.50,1
bituminous,supercritical,3,900,686.6,56.02,4514395.00,1
bituminous,supercritical,3,1000,762.9,54.81,5016067.50,1
bituminous,supercritical,3,1100,839.2,53.77,5517740.00,1
bituminous,supercritical,3,1200,915.4,52.85,6018755.00,1
bituminous,supercritical,3,1300,991.7,52.03,6520427.50,1
bituminous,supercritical,3,1400,1068,51.3,7022100.00,1
bituminous,supercritical,3,1500,1144,50.63,7521800.00,1
bituminous,supercritical,3,1600,1221,50.14,8028075.00,1
bituminous,supercritical,3,1700,1297,49.71,8527775.00,1
bituminous,supercritical,3,1800,1373,49.32,9027475.00,1
bituminous,supercritical,3,1900,1449,48.97,9527175.00,1
bituminous,supercritical,3,2000,1526,48.65,10033450.00,1
bituminous,supercritical,3,2100,1602,48.37,10533150.00,1
bituminous,supercritical,3,2200,1678,48.11,11032850.00,1
bituminous,supercritical,3,2300,1755,47.87,11539125.00,1
bituminous,supercritical,3,2400,1831,47.65,12038825.00,1
bituminous,supercritical,3,2500,1907,47.46,12538525.00,1
bituminous,supercritical,7,100,76.35,106.2,502001.25,2
bituminous,supercritical,7,200,152.6,81.89,1003345.00,2
bituminous,supercritical,7,300,228.9,72.17,1505017.50,2
bituminous,supercritical,7,400,305.2,66.63,2006690.00,2
bituminous,supercritical,7,500,381.5,62.93,2508362.50,2
bituminous,supercritical,7,600,457.8,60.23,3010035.00,2
bituminous,supercritical,7,700,534,58.14,3511050.00,2
bituminous,supercritical,7,800,610.3,56.45,4012722.50,2
bituminous,supercritical,7,900,686.6,55.06,4514395.00,2
bituminous,supercritical,7,1000,762.9,53.87,5016067.50,2
bituminous,supercritical,7,1100,839.2,52.84,5517740.00,2
bituminous,supercritical,7,1200,915.4,51.94,6018755.00,2
bituminous,supercritical,7,1300,991.7,51.14,6520427.50,2
bituminous,supercritical,7,1400,1068,50.42,7022100.00,2
bituminous,supercritical,7,1500,1144,49.76,7521800.00,2
bituminous,supercritical,7,1600,1221,49.28,8028075.00,2
bituminous,supercritical,7,1700,1297,48.85,8527775.00,2
bituminous,supercritical,7,1800,1373,48.47,9027475.00,2
bituminous,supercritical,7,1900,1449,48.13,9527175.00,2
bituminous,supercritical,7,2000,1526,47.82,10033450.00,2
bituminous,supercritical,7,2100,1602,47.54,10533150.00,2
bituminous,supercritical,7,2200,1678,47.29,11032850.00,2
bituminous,supercritical,7,2300,1755,47.05,11539125.00,2
bituminous,supercritical,7,2400,1831,46.84,12038825.00,2
bituminous,supercritical,7,2500,1907,46.64,12538525.00,2
bituminous,supercritical,10,100,76.35,105,502001.25,3
bituminous,supercritical,10,200,152.6,80.87,1003345.00,3
bituminous,supercritical,10,300,228.9,71.25,1505017.50,3
bituminous,supercritical,10,400,305.2,65.76,2006690.00,3
bituminous,supercritical,10,500,381.5,62.1,2508362.50,3
bituminous,supercritical,10,600,457.8,59.44,3010035.00,3
bituminous,supercritical,10,700,534,57.37,3511050.00,3
bituminous,supercritical,10,800,610.3,55.71,4012722.50,3
bituminous,supercritical,10,900,686.6,54.34,4514395.00,3
bituminous,supercritical,10,1000,762.9,53.17,5016067.50,3
bituminous,supercritical,10,1100,839.2,52.15,5517740.00,3
bituminous,supercritical,10,1200,915.4,51.26,6018755.00,3
bituminous,supercritical,10,1300,991.7,50.47,6520427.50,3
bituminous,supercritical,10,1400,1068,49.76,7022100.00,3
bituminous,supercritical,10,1500,1144,49.11,7521800.00,3
bituminous,supercritical,10,1600,1221,48.64,8028075.00,3
bituminous,supercritical,10,1700,1297,48.22,8527775.00,3
bituminous,supercritical,10,1800,1373,47.84,9027475.00,3
bituminous,supercritical,10,1900,1449,47.5,9527175.00,3
bituminous,supercritical,10,2000,1526,47.2,10033450.00,3
bituminous,supercritical,10,2100,1602,46.92,10533150.00,3
bituminous,supercritical,10,2200,1678,46.67,11032850.00,3
