primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
subbituminous,supercritical,3,100,83.83,109.40,551182.25,1
subbituminous,supercritical,3,200,167.6,85.13,1101970,1
subbituminous,supercritical,3,300,251.3,75.38,1652297.5,1
subbituminous,supercritical,3,400,335.1,69.78,2203282.5,1
subbituminous,supercritical,3,500,418.8,66.03,2753610,1
subbituminous,supercritical,3,600,502.6,63.28,3304595,1
subbituminous,supercritical,3,700,586.3,61.15,3854922.5,1
subbituminous,supercritical,3,800,670.1,59.42,4405907.5,1
subbituminous,supercritical,3,900,753.8,57.99,4956235,1
subbituminous,supercritical,3,1000,837.6,56.77,5507220,1
subbituminous,supercritical,3,1100,921.4,55.72,6058205,1
subbituminous,supercritical,3,1200,1005,54.79,6607875,1
subbituminous,supercritical,3,1300,1089,53.96,7160175,1
subbituminous,supercritical,3,1400,1173,53.22,7712475,1
subbituminous,supercritical,3,1500,1256,52.54,8258200,1
subbituminous,supercritical,3,1600,1340,52.04,8810500,1
subbituminous,supercritical,3,1700,1424,51.60,9362800,1
subbituminous,supercritical,3,1800,1508,51.20,9915100,1
subbituminous,supercritical,3,1900,1591,50.85,10460825,1
subbituminous,supercritical,3,2000,1675,50.52,11013125,1
subbituminous,supercritical,3,2100,1759,50.23,11565425,1
subbituminous,supercritical,3,2200,1843,49.97,12117725,1
subbituminous,supercritical,3,2300,1926,49.73,12663450,1
subbituminous,supercritical,3,2400,2010,49.50,13215750,1
subbituminous,supercritical,3,2500,2094,49.30,13768050,1
subbituminous,supercritical,7,100,83.83,107.70,551182.25,2
subbituminous,supercritical,7,200,167.6,83.71,1101970,2
subbituminous,supercritical,7,300,251.3,74.08,1652297.5,2
subbituminous,supercritical,7,400,335.1,68.57,2203282.5,2
subbituminous,supercritical,7,500,418.8,64.88,2753610,2
subbituminous,supercritical,7,600,502.6,62.18,3304595,2
subbituminous,supercritical,7,700,586.3,60.08,3854922.5,2
subbituminous,supercritical,7,800,670.1,58.39,4405907.5,2
subbituminous,supercritical,7,900,753.8,56.98,4956235,2
subbituminous,supercritical,7,1000,837.6,55.79,5507220,2
subbituminous,supercritical,7,1100,921.4,54.75,6058205,2
subbituminous,supercritical,7,1200,1005,53.84,6607875,2
subbituminous,supercritical,7,1300,1089,53.03,7160175,2
subbituminous,supercritical,7,1400,1173,52.30,7712475,2
subbituminous,supercritical,7,1500,1256,51.63,8258200,2
subbituminous,supercritical,7,1600,1340,51.14,8810500,2
subbituminous,supercritical,7,1700,1424,50.71,9362800,2
subbituminous,supercritical,7,1800,1508,50.32,9915100,2
subbituminous,supercritical,7,1900,1591,49.97,10460825,2
subbituminous,supercritical,7,2000,1675,49.66,11013125,2
subbituminous,supercritical,7,2100,1759,49.37,11565425,2
subbituminous,supercritical,7,2200,1843,49.11,12117725,2
subbituminous,supercritical,7,2300,1926,48.87,12663450,2
subbituminous,supercritical,7,2400,2010,48.65,13215750,2
subbituminous,supercritical,7,2500,2094,48.45,13768050,2
subbituminous,supercritical,10,100,83.83,106.40,551182.25,3
subbituminous,supercritical,10,200,167.6,82.64,1101970,3
subbituminous,supercritical,10,300,251.3,73.12,1652297.5,3
subbituminous,supercritical,10,400,335.1,67.66,2203282.5,3
subbituminous,supercritical,10,500,418.8,64.02,2753610,3
subbituminous,supercritical,10,600,502.6,61.35,3304595,3
subbituminous,supercritical,10,700,586.3,59.28,3854922.5,3
subbituminous,supercritical,10,800,670.1,57.61,4405907.5,3
subbituminous,supercritical,10,900,753.8,56.23,4956235,3
subbituminous,supercritical,10,1000,837.6,55.05,5507220,3
subbituminous,supercritical,10,1100,921.4,54.03,6058205,3
subbituminous,supercritical,10,1200,1005,53.13,6607875,3
subbituminous,supercritical,10,1300,1089,52.33,7160175,3
subbituminous,supercritical,10,1400,1173,51.60,7712475,3
subbituminous,supercritical,10,1500,1256,50.95,8258200,3
subbituminous,supercritical,10,1600,1340,50.47,8810500,3
subbituminous,supercritical,10,1700,1424,50.04,9362800,3
subbituminous,supercritical,10,1800,1508,49.66,9915100,3
subbituminous,supercritical,10,1900,1591,49.31,10460825,3
subbituminous,supercritical,10,2000,1675,49.00,11013125,3
subbituminous,supercritical,10,2100,1759,48.72,11565425,3
subbituminous,supercritical,10,2200,1843,48.46,12117725,3
subbituminous,supercritical,10,2300,1926,48.23,12663450,3
subbituminous,supercritical,10,2400,2010,48.01,13215750,3
subbituminous,supercritical,10,2500,2094,47.82,13768050,3
subbituminous,supercritical,13,100,83.83,105.20,551182.25,4
subbituminous,supercritical,13,200,167.6,81.58,1101970,4
subbituminous,supercritical,13,300,251.3,72.15,1652297.5,4
subbituminous,supercritical,13,400,335.1,66.76,2203282.5,4
subbituminous,supercritical,13,500,418.8,63.16,2753610,4
subbituminous,supercritical,13,600,502.6,60.52,3304595,4
subbituminous,supercritical,13,700,586.3,58.48,3854922.5,4
subbituminous,supercritical,13,800,670.1,56.84,4405907.5,4
subbituminous,supercritical,13,900,753.8,55.47,4956235,4
subbituminous,supercritical,13,1000,837.6,54.31,5507220,4
subbituminous,supercritical,13,1100,921.4,53.30,6058205,4
subbituminous,supercritical,13,1200,1005,52.41,6607875,4
subbituminous,supercritical,13,1300,1089,51.62,7160175,4
subbituminous,supercritical,13,1400,1173,50.91,7712475,4
subbituminous,supercritical,13,1500,1256,50.27,8258200,4
subbituminous,supercritical,13,1600,1340,49.79,8810500,4
subbituminous,supercritical,13,1700,1424,49.37,9362800,4
subbituminous,supercritical,13,1800,1508,49.00,9915100,4
subbituminous,supercritical,13,1900,1591,48.66,10460825,4
subbituminous,supercritical,13,2000,1675,48.35,11013125,4
subbituminous,supercritical,13,2100,1759,48.07,11565425,4
subbituminous,supercritical,13,2200,1843,47.82,12117725,4
subbituminous,supercritical,13,2300,1926,47.59,12663450,4
subbituminous,supercritical,13,2400,2010,47.38,13215750,4
subbituminous,supercritical,13,2500,2094,47.18,13768050,4
subbituminous,supercritical,17,100,83.83,103.50,551182.25,5
subbituminous,supercritical,17,200,167.6,80.16,1101970,5
subbituminous,supercritical,17,300,251.3,70.86,1652297.5,5
subbituminous,supercritical,17,400,335.1,65.55,2203282.5,5
subbituminous,supercritical,17,500,418.8,62.01,2753610,5
subbituminous,supercritical,17,600,502.6,59.42,3304595,5
subbituminous,supercritical,17,700,586.3,57.42,3854922.5,5
subbituminous,supercritical,17,800,670.1,55.80,4405907.5,5
subbituminous,supercritical,17,900,753.8,54.46,4956235,5
subbituminous,supercritical,17,1000,837.6,53.32,5507220,5
subbituminous,supercritical,17,1100,921.4,52.33,6058205,5
subbituminous,supercritical,17,1200,1005,51.46,6607875,5
subbituminous,supercritical,17,1300,1089,50.69,7160175,5
subbituminous,supercritical,17,1400,1173,49.99,7712475,5
subbituminous,supercritical,17,1500,1256,49.36,8258200,5
subbituminous,supercritical,17,1600,1340,48.89,8810500,5
subbituminous,supercritical,17,1700,1424,48.48,9362800,5
subbituminous,supercritical,17,1800,1508,48.11,9915100,5
subbituminous,supercritical,17,1900,1591,47.78,10460825,5
subbituminous,supercritical,17,2000,1675,47.48,11013125,5
subbituminous,supercritical,17,2100,1759,47.21,11565425,5
subbituminous,supercritical,17,2200,1843,46.96,12117725,5
subbituminous,supercritical,17,2300,1926,46.73,12663450,5
subbituminous,supercritical,17,2400,2010,46.52,13215750,5
subbituminous,supercritical,17,2500,2094,46.33,13768050,5
subbituminous,supercritical,20,100,83.83,102.20,551182.25,6
subbituminous,supercritical,20,200,167.6,79.09,1101970,6
subbituminous,supercritical,20,300,251.3,69.89,1652297.5,6
subbituminous,supercritical,20,400,335.1,64.64,2203282.5,6
subbituminous,supercritical,20,500,418.8,61.15,2753610,6
subbituminous,supercritical,20,600,502.6,58.59,3304595,6
subbituminous,supercritical,20,700,586.3,56.62,3854922.5,6
subbituminous,supercritical,20,800,670.1,55.03,4405907.5,6
subbituminous,supercritical,20,900,753.8,53.71,4956235,6
subbituminous,supercritical,20,1000,837.6,52.58,5507220,6
subbituminous,supercritical,20,1100,921.4,51.61,6058205,6
subbituminous,supercritical,20,1200,1005,50.75,6607875,6
subbituminous,supercritical,20,1300,1089,49.99,7160175,6
subbituminous,supercritical,20,1400,1173,49.30,7712475,6
subbituminous,supercritical,20,1500,1256,48.67,8258200,6
subbituminous,supercritical,20,1600,1340,48.22,8810500,6
subbituminous,supercritical,20,1700,1424,47.81,9362800,6
subbituminous,supercritical,20,1800,1508,47.45,9915100,6
subbituminous,supercritical,20,1900,1591,47.13,10460825,6
subbituminous,supercritical,20,2000,1675,46.83,11013125,6
subbituminous,supercritical,20,2100,1759,46.56,11565425,6
subbituminous,supercritical,20,2200,1843,46.32,12117725,6
subbituminous,supercritical,20,2300,1926,46.09,12663450,6
subbituminous,supercritical,20,2400,2010,45.89,13215750,6
subbituminous,supercritical,20,2500,2094,45.70,13768050,6
subbituminous,supercritical,23,100,83.83,101.00,551182.25,7
subbituminous,supercritical,23,200,167.6,78.03,1101970,7
subbituminous,supercritical,23,300,251.3,68.92,1652297.5,7
subbituminous,supercritical,23,400,335.1,63.74,2203282.5,7
subbituminous,supercritical,23,500,418.8,60.28,2753610,7
subbituminous,supercritical,23,600,502.6,57.77,3304595,7
subbituminous,supercritical,23,700,586.3,55.82,3854922.5,7
subbituminous,supercritical,23,800,670.1,54.25,4405907.5,7
subbituminous,supercritical,23,900,753.8,52.95,4956235,7
subbituminous,supercritical,23,1000,837.6,51.84,5507220,7
subbituminous,supercritical,23,1100,921.4,50.88,6058205,7
subbituminous,supercritical,23,1200,1005,50.04,6607875,7
subbituminous,supercritical,23,1300,1089,49.29,7160175,7
subbituminous,supercritical,23,1400,1173,48.61,7712475,7
subbituminous,supercritical,23,1500,1256,47.99,8258200,7
subbituminous,supercritical,23,1600,1340,47.54,8810500,7
