primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,age
coal,ultrasupercritical,3.00,100.00,69.57,110.40,457422.75,1.00
coal,ultrasupercritical,3.00,200.00,139.10,85.34,914582.50,1.00
coal,ultrasupercritical,3.00,300.00,208.60,75.25,1371545.00,1.00
coal,ultrasupercritical,3.00,400.00,278.10,69.45,1828507.50,1.00
coal,ultrasupercritical,3.00,500.00,347.60,65.56,2285470.00,1.00
coal,ultrasupercritical,3.00,600.00,417.10,62.71,2742432.50,1.00
coal,ultrasupercritical,3.00,700.00,486.60,60.50,3199395.00,1.00
coal,ultrasupercritical,3.00,800.00,556.10,58.72,3656357.50,1.00
coal,ultrasupercritical,3.00,900.00,625.60,57.24,4113320.00,1.00
coal,ultrasupercritical,3.00,1000.00,695.10,55.99,4570282.50,1.00
coal,ultrasupercritical,3.00,1100.00,764.60,54.90,5027245.00,1.00
coal,ultrasupercritical,3.00,1200.00,834.10,53.95,5484207.50,1.00
coal,ultrasupercritical,3.00,1300.00,903.60,53.10,5941170.00,1.00
coal,ultrasupercritical,3.00,1400.00,973.10,52.34,6398132.50,1.00
coal,ultrasupercritical,3.00,1500.00,1043.00,51.65,6857725.00,1.00
coal,ultrasupercritical,3.00,1600.00,1112.00,51.03,7311400.00,1.00
coal,ultrasupercritical,3.00,1700.00,1182.00,50.45,7771650.00,1.00
coal,ultrasupercritical,3.00,1800.00,1251.00,49.92,8225325.00,1.00
coal,ultrasupercritical,3.00,1900.00,1321.00,49.51,8685575.00,1.00
coal,ultrasupercritical,3.00,2000.00,1390.00,49.14,9139250.00,1.00
coal,ultrasupercritical,3.00,2100.00,1460.00,48.80,9599500.00,1.00
coal,ultrasupercritical,3.00,2200.00,1529.00,48.49,10053175.00,1.00
coal,ultrasupercritical,3.00,2300.00,1599.00,48.20,10513425.00,1.00
coal,ultrasupercritical,3.00,2400.00,1668.00,47.94,10967100.00,1.00
coal,ultrasupercritical,3.00,2500.00,1738.00,47.70,11427350.00,1.00
coal,ultrasupercritical,7.00,100.00,69.57,108.50,457422.75,2.00
coal,ultrasupercritical,7.00,200.00,139.10,83.80,914582.50,2.00
coal,ultrasupercritical,7.00,300.00,208.60,73.85,1371545.00,2.00
coal,ultrasupercritical,7.00,400.00,278.10,68.14,1828507.50,2.00
coal,ultrasupercritical,7.00,500.00,347.60,64.32,2285470.00,2.00
coal,ultrasupercritical,7.00,600.00,417.10,61.52,2742432.50,2.00
