primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
anthracite,subcritical,3,100,64.12,102.2,421589,10,0.75,15,77.35,8.549333333,85.89933333,54.502,358350.65,76.5765,7.266933333,83.84343333
anthracite,subcritical,3,200,128.2,80.55,842915,10,0.75,15,60.96,8.546666667,69.50666667,108.97,716477.75,60.3504,7.264666667,67.61506667
anthracite,subcritical,3,300,192.3,72.01,1264372.5,10,0.75,15,54.5,8.546666667,63.04666667,163.455,1074716.625,53.955,7.264666667,61.21966667
anthracite,subcritical,3,400,256.3,67.17,1685172.5,10,0.75,15,50.84,8.543333333,59.38333333,217.855,1432396.625,50.3316,7.261833333,57.59343333
anthracite,subcritical,3,500,320.4,63.95,2106630,10,0.75,15,48.4,8.544,56.944,272.34,1790635.5,47.916,7.2624,55.1784
anthracite,subcritical,3,600,384.5,61.6,2528087.5,10,0.75,15,46.62,8.544444444,55.16444444,326.825,2148874.375,46.1538,7.262777778,53.41657778
anthracite,subcritical,3,700,448.6,59.79,2949545,10,0.75,15,45.25,8.544761905,53.7947619,381.31,2507113.25,44.7975,7.263047619,52.06054762
anthracite,subcritical,3,800,512.6,58.33,3370345,10,0.75,15,44.15,8.543333333,52.69333333,435.71,2864793.25,43.7085,7.261833333,50.97033333
anthracite,subcritical,3,900,576.7,57.12,3791802.5,10,0.75,15,43.23,8.543703704,51.7737037,490.195,3223032.125,42.7977,7.262148148,50.05984815
anthracite,subcritical,3,1000,640.8,56.09,4213260,10,0.75,15,42.45,8.544,50.994,544.68,3581271,42.0255,7.2624,49.2879
anthracite,subcritical,3,1100,704.8,55.2,4634060,10,0.75,15,41.78,8.543030303,50.3230303,599.08,3938951,41.3622,7.261575758,48.62377576
anthracite,subcritical,3,1200,768.9,54.41,5055517.5,10,0.75,15,41.18,8.543333333,49.72333333,653.565,4297189.875,40.7682,7.261833333,48.03003333
anthracite,subcritical,3,1300,833,53.7,5476975,10,0.75,15,40.64,8.543589744,49.18358974,708.05,4655428.75,40.2336,7.262051282,47.49565128
anthracite,subcritical,3,1400,897,53.14,5897775,10,0.75,15,40.22,8.542857143,48.76285714,762.45,5013108.75,39.8178,7.261428571,47.07922857
anthracite,subcritical,3,1500,961.1,52.71,6319232.5,10,0.75,15,39.89,8.543111111,48.43311111,816.935,5371347.625,39.4911,7.261644444,46.75274444
