primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
bituminous,subcritical,3,100,80.82,105.2,531391.5,10,0.75,15,81.73,10.776,92.506,68.697,451682.775,76.9032,9.1596,86.0628
bituminous,subcritical,3,200,161.6,81.02,1062520,10,0.75,15,62.94,10.77333333,73.71333333,137.36,903142,59.2218,9.157333333,68.37913333
bituminous,subcritical,3,300,242.3,71.41,1593122.5,10,0.75,15,55.48,10.76888889,66.24888889,205.955,1354154.125,52.2027,9.153555556,61.35625556
bituminous,subcritical,3,400,323.1,65.94,2124382.5,10,0.75,15,51.23,10.77,62,274.635,1805725.125,48.2031,9.1545,57.3576
bituminous,subcritical,3,500,403.8,62.3,2654985,10,0.75,15,48.4,10.768,59.168,343.23,2256737.25,45.54,9.1528,54.6928
bituminous,subcritical,3,600,484.6,59.64,3186245,10,0.75,15,46.33,10.76888889,57.09888889,411.91,2708308.25,43.5996,9.153555556,52.75315556
bituminous,subcritical,3,700,565.3,57.59,3716847.5,10,0.75,15,44.74,10.76761905,55.50761905,480.505,3159320.375,42.0948,9.15247619,51.24727619
bituminous,subcritical,3,800,646.1,55.93,4248107.5,10,0.75,15,43.45,10.76833333,54.21833333,549.185,3610891.375,40.887,9.153083333,50.04008333
bituminous,subcritical,3,900,726.8,54.56,4778710,10,0.75,15,42.39,10.76740741,53.15740741,617.78,4061903.5,39.8871,9.152296296,49.0393963
bituminous,subcritical,3,1000,807.6,53.4,5309970,10,0.75,15,41.49,10.768,52.258,686.46,4513474.5,39.0357,9.1528,48.1885
bituminous,subcritical,3,1100,888.3,52.39,5840572.5,10,0.75,15,40.7,10.76727273,51.46727273,755.055,4964486.625,38.2932,9.152181818,47.44538182
bituminous,subcritical,3,1200,969.1,51.5,6371832.5,10,0.75,15,40.01,10.76777778,50.77777778,823.735,5416057.625,37.6497,9.152611111,46.80231111
bituminous,subcritical,3,1300,1050,50.7,6903750,10,0.75,15,39.39,10.76923077,50.15923077,892.5,5868187.5,37.0557,9.153846154,46.20954615
bituminous,subcritical,3,1400,1131,50.05,7436325,10,0.75,15,38.88,10.77142857,49.65142857,961.35,6320876.25,36.5904,9.155714286,45.74611429
bituminous,subcritical,3,1500,1211,49.56,7962325,10,0.75,15,38.5,10.76444444,49.26444444,1029.35,6767976.25,36.2241,9.149777778,45.37387778
bituminous,subcritical,3,1600,1292,49.12,8494900,10,0.75,15,38.16,10.76666667,48.92666667,1098.2,7220665,35.9073,9.151666667,45.05896667
bituminous,subcritical,3,1700,1373,48.73,9027475,10,0.75,15,37.86,10.76862745,48.62862745,1167.05,7673353.75,35.6202,9.153333333,44.77353333
bituminous,subcritical,3,1800,1454,48.39,9560050,10,0.75,15,37.59,10.77037037,48.36037037,1235.9,8126042.5,35.3727,9.154814815,44.52751481
bituminous,subcritical,3,1900,1534,48.08,10086050,10,0.75,15,37.35,10.76491228,48.11491228,1303.9,8573142.5,35.145,9.150175439,44.29517544
bituminous,subcritical,3,2000,1615,47.8,10618625,10,0.75,15,37.14,10.76666667,47.90666667,1372.75,9025831.25,34.9371,9.151666667,44.08876667
bituminous,subcritical,3,2100,1696,47.55,11151200,10,0.75,15,36.94,10.76825397,47.70825397,1441.6,9478520,34.7589,9.153015873,43.91191587
bituminous,subcritical,3,2200,1777,47.33,11683775,10,0.75,15,36.77,10.76969697,47.53969697,1510.45,9931208.75,34.6005,9.154242424,43.75474242
bituminous,subcritical,3,2300,1857,47.12,12209775,10,0.75,15,36.61,10.76521739,47.37521739,1578.45,10378308.75,34.4421,9.150434783,43.59253478
bituminous,subcritical,3,2400,1938,46.94,12742350,10,0.75,15,36.47,10.76666667,47.23666667,1647.3,10830997.5,34.3134,9.151666667,43.46506667
bituminous,subcritical,3,2500,2019,46.77,13274925,10,0.75,15,36.33,10.768,47.098,1716.15,11283686.25,34.1847,9.1528,43.3375
bituminous,subcritical,7,100,80.82,103.8,531391.5,10,0.75,15,80.64,10.776,91.416,68.697,451682.775,75.8736,9.1596,85.0332
bituminous,subcritical,7,200,161.6,79.82,1062520,10,0.75,15,62.01,10.77333333,72.78333333,137.36,903142,58.3506,9.157333333,67.50793333
bituminous,subcritical,7,300,242.3,70.31,1593122.5,10,0.75,15,54.62,10.76888889,65.38888889,205.955,1354154.125,51.3909,9.153555556,60.54445556
bituminous,subcritical,7,400,323.1,64.91,2124382.5,10,0.75,15,50.43,10.77,61.2,274.635,1805725.125,47.4507,9.1545,56.6052
bituminous,subcritical,7,500,403.8,61.32,2654985,10,0.75,15,47.64,10.768,58.408,343.23,2256737.25,44.8272,9.1528,53.98
bituminous,subcritical,7,600,484.6,58.71,3186245,10,0.75,15,45.61,10.76888889,56.37888889,411.91,2708308.25,42.9165,9.153555556,52.07005556
bituminous,subcritical,7,700,565.3,56.69,3716847.5,10,0.75,15,44.04,10.76761905,54.80761905,480.505,3159320.375,41.4414,9.15247619,50.59387619
bituminous,subcritical,7,800,646.1,55.06,4248107.5,10,0.75,15,42.78,10.76833333,53.54833333,549.185,3610891.375,40.2435,9.153083333,49.39658333
bituminous,subcritical,7,900,726.8,53.71,4778710,10,0.75,15,41.73,10.76740741,52.49740741,617.78,4061903.5,39.2634,9.152296296,48.4156963
bituminous,subcritical,7,1000,807.6,52.56,5309970,10,0.75,15,40.83,10.768,51.598,686.46,4513474.5,38.4219,9.1528,47.5747
bituminous,subcritical,7,1100,888.3,51.57,5840572.5,10,0.75,15,40.06,10.76727273,50.82727273,755.055,4964486.625,37.6992,9.152181818,46.85138182
bituminous,subcritical,7,1200,969.1,50.69,6371832.5,10,0.75,15,39.38,10.76777778,50.14777778,823.735,5416057.625,37.0557,9.152611111,46.20831111
bituminous,subcritical,7,1300,1050,49.91,6903750,10,0.75,15,38.77,10.76923077,49.53923077,892.5,5868187.5,36.4815,9.153846154,45.63534615
bituminous,subcritical,7,1400,1131,49.27,7436325,10,0.75,15,38.28,10.77142857,49.05142857,961.35,6320876.25,36.0162,9.155714286,45.17191429
