primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
coal_biomass,subcritical,3,100,85.12,104.7,447731.2,10,0.75,15,78.13,11.34933333,89.47933333,72.352,475714.4,77.3487,9.646933333,86.99563333
coal_biomass,subcritical,3,200,170.2,80.42,895252,10,0.75,15,60.01,11.34666667,71.35666667,144.67,951205.25,59.4099,9.644666667,69.05456667
coal_biomass,subcritical,3,300,255.2,70.78,1342352,10,0.75,15,52.82,11.34222222,64.16222222,216.92,1426249,52.2918,9.640888889,61.93268889
coal_biomass,subcritical,3,400,340.3,65.3,1789978,10,0.75,15,48.73,11.34333333,60.07333333,289.255,1901851.625,48.2427,9.641833333,57.88453333
coal_biomass,subcritical,3,500,425.3,61.64,2237078,10,0.75,15,46,11.34133333,57.34133333,361.505,2376895.375,45.54,9.640133333,55.18013333
coal_biomass,subcritical,3,600,510.4,58.97,2684704,10,0.75,15,44.01,11.34222222,55.35222222,433.84,2852498,43.5699,9.640888889,53.21078889
coal_biomass,subcritical,3,700,595.4,56.9,3131804,10,0.75,15,42.46,11.34095238,53.80095238,506.09,3327541.75,42.0354,9.639809524,51.67520952
coal_biomass,subcritical,3,800,680.5,55.24,3579430,10,0.75,15,41.22,11.34166667,52.56166667,578.425,3803144.375,40.8078,9.640416667,50.44821667
coal_biomass,subcritical,3,900,765.5,53.86,4026530,10,0.75,15,40.19,11.34074074,51.53074074,650.675,4278188.125,39.7881,9.63962963,49.42772963
coal_biomass,subcritical,3,1000,850.6,52.69,4474156,10,0.75,15,39.32,11.34133333,50.66133333,723.01,4753790.75,38.9268,9.640133333,48.56693333
coal_biomass,subcritical,3,1100,935.6,51.67,4921256,10,0.75,15,38.56,11.34060606,49.90060606,795.26,5228834.5,38.1744,9.639515152,47.81391515
