primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,,carbon_price_ton,capacity_factor,biomass_cofiring,,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
subbituminous,supercritical,3,100,83.83,109.4,551182.25,,10,0.75,15,,79.2,11.17733333,90.37733333,,71.2555,468504.9125,78.408,9.500733333,87.90873333
subbituminous,supercritical,3,200,167.6,85.13,1101970,,10,0.75,15,,61.63,11.17333333,72.80333333,,142.46,936674.5,61.0137,9.497333333,70.51103333
subbituminous,supercritical,3,300,251.3,75.38,1652297.5,,10,0.75,15,,54.57,11.16888889,65.73888889,,213.605,1404452.875,54.0243,9.493555556,63.51785556
subbituminous,supercritical,3,400,335.1,69.78,2203282.5,,10,0.75,15,,50.51,11.17,61.68,,284.835,1872790.125,50.0049,9.4945,59.4994
subbituminous,supercritical,3,500,418.8,66.03,2753610,,10,0.75,15,,47.8,11.168,58.968,,355.98,2340568.5,47.322,9.4928,56.8148
subbituminous,supercritical,3,600,502.6,63.28,3304595,,10,0.75,15,,45.81,11.16888889,56.97888889,,427.21,2808905.75,45.3519,9.493555556,54.84545556
subbituminous,supercritical,3,700,586.3,61.15,3854922.5,,10,0.75,15,,44.27,11.16761905,55.43761905,,498.355,3276684.125,43.8273,9.49247619,53.31977619
subbituminous,supercritical,3,800,670.1,59.42,4405907.5,,10,0.75,15,,43.01,11.16833333,54.17833333,,569.585,3745021.375,42.5799,9.493083333,52.07298333
subbituminous,supercritical,3,900,753.8,57.99,4956235,,10,0.75,15,,41.98,11.16740741,53.14740741,,640.73,4212799.75,41.5602,9.492296296,51.0524963
subbituminous,supercritical,3,1000,837.6,56.77,5507220,,10,0.75,15,,41.1,11.168,52.268,,711.96,4681137,40.689,9.4928,50.1818
subbituminous,supercritical,3,1100,921.4,55.72,6058205,,10,0.75,15,,40.34,11.16848485,51.50848485,,783.19,5149474.25,39.9366,9.493212121,49.42981212
subbituminous,supercritical,3,1200,1005,54.79,6607875,,10,0.75,15,,39.66,11.16666667,50.82666667,,854.25,5616693.75,39.2634,9.491666667,48.75506667
subbituminous,supercritical,3,1300,1089,53.96,7160175,,10,0.75,15,,39.06,11.16923077,50.22923077,,925.65,6086148.75,38.6694,9.493846154,48.16324615
subbituminous,supercritical,3,1400,1173,53.22,7712475,,10,0.75,15,,38.53,11.17142857,49.70142857,,997.05,6555603.75,38.1447,9.495714286,47.64041429
subbituminous,supercritical,3,1500,1256,52.54,8258200,,10,0.75,15,,38.03,11.16444444,49.19444444,,1067.6,7019470,37.6497,9.489777778,47.13947778
subbituminous,supercritical,3,1600,1340,52.04,8810500,,10,0.75,15,,37.67,11.16666667,48.83666667,,1139,7488925,37.2933,9.491666667,46.78496667
subbituminous,supercritical,3,1700,1424,51.6,9362800,,10,0.75,15,,37.35,11.16862745,48.51862745,,1210.4,7958380,36.9765,9.493333333,46.46983333
subbituminous,supercritical,3,1800,1508,51.2,9915100,,10,0.75,15,,37.06,11.17037037,48.23037037,,1281.8,8427835,36.6894,9.494814815,46.18421481
subbituminous,supercritical,3,1900,1591,50.85,10460825,,10,0.75,15,,36.81,11.16491228,47.97491228,,1352.35,8891701.25,36.4419,9.490175439,45.93207544
subbituminous,supercritical,3,2000,1675,50.52,11013125,,10,0.75,15,,36.57,11.16666667,47.73666667,,1423.75,9361156.25,36.2043,9.491666667,45.69596667
subbituminous,supercritical,3,2100,1759,50.23,11565425,,10,0.75,15,,36.36,11.16825397,47.52825397,,1495.15,9830611.25,35.9964,9.493015873,45.48941587
