primary_fuel,generation_technology,amortization_rate,capacity_MW,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,carbon_price_ton,capacity_factor,biomass_cofiring,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,biomass_emission_rate_ton_h,biomass_annual_emission_ton,biomass_plant_LCOE_MWh,biomass_carbon_LCOE_MWh,biomass_LCOE_MWh
coal,ultrasupercritical,3,100,69.57,110.4,457422.75,10,0.75,15,78.98,9.276,88.256,59.1345,388809.3375,78.1902,7.8846,86.0748
coal,ultrasupercritical,3,200,139.1,85.34,914582.5,10,0.75,15,61.05,9.273333333,70.32333333,118.235,777395.125,60.4395,7.882333333,68.32183333
coal,ultrasupercritical,3,300,208.6,75.25,1371545,10,0.75,15,53.83,9.271111111,63.10111111,177.31,1165813.25,53.2917,7.880444444,61.17214444
coal,ultrasupercritical,3,400,278.1,69.45,1828507.5,10,0.75,15,49.68,9.27,58.95,236.385,1554231.375,49.1832,7.8795,57.0627
coal,ultrasupercritical,3,500,347.6,65.56,2285470,10,0.75,15,46.9,9.269333333,56.16933333,295.46,1942649.5,46.431,7.878933333,54.30993333
coal,ultrasupercritical,3,600,417.1,62.71,2742432.5,10,0.75,15,44.86,9.268888889,54.12888889,354.535,2331067.625,44.4114,7.878555556,52.28995556
coal,ultrasupercritical,3,700,486.6,60.5,3199395,10,0.75,15,43.28,9.268571429,52.54857143,413.61,2719485.75,42.8472,7.878285714,50.72548571
coal,ultrasupercritical,3,800,556.1,58.72,3656357.5,10,0.75,15,42.01,9.268333333,51.27833333,472.685,3107903.875,41.5899,7.878083333,49.46798333
coal,ultrasupercritical,3,900,625.6,57.24,4113320,10,0.75,15,40.95,9.268148148,50.21814815,531.76,3496322,40.5405,7.877925926,48.41842593
coal,ultrasupercritical,3,1000,695.1,55.99,4570282.5,10,0.75,15,40.05,9.268,49.318,590.835,3884740.125,39.6495,7.8778,47.5273
coal,ultrasupercritical,3,1100,764.6,54.9,5027245,10,0.75,15,39.27,9.267878788,48.53787879,649.91,4273158.25,38.8773,7.87769697,46.75499697
coal,ultrasupercritical,3,1200,834.1,53.95,5484207.5,10,0.75,15,38.59,9.267777778,47.85777778,708.985,4661576.375,38.2041,7.877611111,46.08171111
coal,ultrasupercritical,3,1300,903.6,53.1,5941170,10,0.75,15,37.99,9.267692308,47.25769231,768.06,5049994.5,37.6101,7.877538462,45.48763846
coal,ultrasupercritical,3,1400,973.1,52.34,6398132.5,10,0.75,15,37.44,9.267619048,46.70761905,827.135,5438412.625,37.0656,7.87747619,44.94307619
coal,ultrasupercritical,3,1500,1043,51.65,6857725,10,0.75,15,36.95,9.271111111,46.22111111,886.55,5829066.25,36.5805,7.880444444,44.46094444
coal,ultrasupercritical,3,1600,1112,51.03,7311400,10,0.75,15,36.51,9.266666667,45.77666667,945.2,6214690,36.1449,7.876666667,44.02156667
coal,ultrasupercritical,3,1700,1182,50.45,7771650,10,0.75,15,36.09,9.270588235,45.36058824,1004.7,6605902.5,35.7291,7.88,43.6091
coal,ultrasupercritical,3,1800,1251,49.92,8225325,10,0.75,15,35.71,9.266666667,44.97666667,1063.35,6991526.25,35.3529,7.876666667,43.22956667
coal,ultrasupercritical,3,1900,1321,49.51,8685575,10,0.75,15,35.42,9.270175439,44.69017544,1122.85,7382738.75,35.0658,7.879649123,42.94544912
coal,ultrasupercritical,3,2000,1390,49.14,9139250,10,0.75,15,35.15,9.266666667,44.41666667,1181.5,7768362.5,34.7985,7.876666667,42.67516667
coal,ultrasupercritical,3,2100,1460,48.8,9599500,10,0.75,15,34.91,9.26984127,44.17984127,1241,8159575,34.5609,7.879365079,42.44026508
coal,ultrasupercritical,3,2200,1529,48.49,10053175,10,0.75,15,34.69,9.266666667,43.95666667,1299.65,8545198.75,34.3431,7.876666667,42.21976667
coal,ultrasupercritical,3,2300,1599,48.2,10513425,10,0.75,15,34.48,9.269565217,43.74956522,1359.15,8936411.25,34.1352,7.879130435,42.01433043
coal,ultrasupercritical,3,2400,1668,47.94,10967100,10,0.75,15,34.3,9.266666667,43.56666667,1417.8,9322035,33.957,7.876666667,41.83366667
coal,ultrasupercritical,3,2500,1738,47.7,11427350,10,0.75,15,34.12,9.269333333,43.38933333,1477.3,9713247.5,33.7788,7.878933333,41.65773333
coal,ultrasupercritical,7,100,69.57,108.5,457422.75,10,0.75,15,77.62,9.276,86.896,59.1345,388809.3375,76.8438,7.8846,84.7284
coal,ultrasupercritical,7,200,139.1,83.8,914582.5,10,0.75,15,59.95,9.273333333,69.22333333,118.235,777395.125,59.3505,7.882333333,67.23283333
coal,ultrasupercritical,7,300,208.6,73.85,1371545,10,0.75,15,52.83,9.271111111,62.10111111,177.31,1165813.25,52.3017,7.880444444,60.18214444
coal,ultrasupercritical,7,400,278.1,68.14,1828507.5,10,0.75,15,48.75,9.27,58.02,236.385,1554231.375,48.2625,7.8795,56.142
coal,ultrasupercritical,7,500,347.6,64.32,2285470,10,0.75,15,46.01,9.269333333,55.27933333,295.46,1942649.5,45.5499,7.878933333,53.42883333
coal,ultrasupercritical,7,600,417.1,61.52,2742432.5,10,0.75,15,44.01,9.268888889,53.27888889,354.535,2331067.625,43.5699,7.878555556,51.44845556
coal,ultrasupercritical,7,700,486.6,59.35,3199395,10,0.75,15,42.46,9.268571429,51.72857143,413.61,2719485.75,42.0354,7.878285714,49.91368571
coal,ultrasupercritical,7,800,556.1,57.6,3656357.5,10,0.75,15,41.21,9.268333333,50.47833333,472.685,3107903.875,40.7979,7.878083333,48.67598333
coal,ultrasupercritical,7,900,625.6,56.15,4113320,10,0.75,15,40.17,9.268148148,49.43814815,531.76,3496322,39.7683,7.877925926,47.64622593
coal,ultrasupercritical,7,1000,695.1,54.92,4570282.5,10,0.75,15,39.29,9.268,48.558,590.835,3884740.125,38.8971,7.8778,46.7749
coal,ultrasupercritical,7,1100,764.6,53.85,5027245,10,0.75,15,38.52,9.267878788,47.78787879,649.91,4273158.25,38.1348,7.87769697,46.01249697
coal,ultrasupercritical,7,1200,834.1,52.92,5484207.5,10,0.75,15,37.86,9.267777778,47.12777778,708.985,4661576.375,37.4814,7.877611111,45.35901111
coal,ultrasupercritical,7,1300,903.6,52.09,5941170,10,0.75,15,37.26,9.267692308,46.52769231,768.06,5049994.5,36.8874,7.877538462,44.76493846
coal,ultrasupercritical,7,1400,973.1,51.34,6398132.5,10,0.75,15,36.73,9.267619048,45.99761905,827.135,5438412.625,36.3627,7.87747619,44.24017619
coal,ultrasupercritical,7,1500,1043,50.67,6857725,10,0.75,15,36.25,9.271111111,45.52111111,886.55,5829066.25,35.8875,7.880444444,43.76794444
coal,ultrasupercritical,7,1600,1112,50.05,7311400,10,0.75,15,35.8,9.266666667,45.06666667,945.2,6214690,35.442,7.876666667,43.31866667
coal,ultrasupercritical,7,1700,1182,49.49,7771650,10,0.75,15,35.4,9.270588235,44.67058824,1004.7,6605902.5,35.046,7.88,42.926
coal,ultrasupercritical,7,1800,1251,48.97,8225325,10,0.75,15,35.03,9.266666667,44.29666667,1063.35,6991526.25,34.6797,7.876666667,42.55636667
coal,ultrasupercritical,7,1900,1321,48.57,8685575,10,0.75,15,34.75,9.270175439,44.02017544,1122.85,7382738.75,34.4025,7.879649123,42.28214912
coal,ultrasupercritical,7,2000,1390,48.21,9139250,10,0.75,15,34.49,9.266666667,43.75666667,1181.5,7768362.5,34.1451,7.876666667,42.02176667
coal,ultrasupercritical,7,2100,1460,47.87,9599500,10,0.75,15,34.25,9.26984127,43.51984127,1241,8159575,33.9075,7.879365079,41.78686508
coal,ultrasupercritical,7,2200,1529,47.57,10053175,10,0.75,15,34.03,9.266666667,43.29666667,1299.65,8545198.75,33.6897,7.876666667,41.56636667
coal,ultrasupercritical,7,2300,1599,47.29,10513425,10,0.75,15,33.83,9.269565217,43.09956522,1359.15,8936411.25,33.4917,7.879130435,41.37083043
coal,ultrasupercritical,7,2400,1668,47.03,10967100,10,0.75,15,33.64,9.266666667,42.90666667,1417.8,9322035,33.3036,7.876666667,41.18026667
coal,ultrasupercritical,7,2500,1738,46.8,11427350,10,0.75,15,33.48,9.269333333,42.74933333,1477.3,9713247.5,33.1452,7.878933333,41.02413333
coal,ultrasupercritical,10,100,69.57,107.2,457422.75,10,0.75,15,76.69,9.276,85.966,59.1345,388809.3375,75.9231,7.8846,83.8077
coal,ultrasupercritical,10,200,139.1,82.65,914582.5,10,0.75,15,59.13,9.273333333,68.40333333,118.235,777395.125,58.5387,7.882333333,66.42103333
coal,ultrasupercritical,10,300,208.6,72.8,1371545,10,0.75,15,52.08,9.271111111,61.35111111,177.31,1165813.25,51.5592,7.880444444,59.43964444
coal,ultrasupercritical,10,400,278.1,67.16,1828507.5,10,0.75,15,48.04,9.27,57.31,236.385,1554231.375,47.5596,7.8795,55.4391
coal,ultrasupercritical,10,500,347.6,63.38,2285470,10,0.75,15,45.34,9.269333333,54.60933333,295.46,1942649.5,44.8866,7.878933333,52.76553333
coal,ultrasupercritical,10,600,417.1,60.62,2742432.5,10,0.75,15,43.37,9.268888889,52.63888889,354.535,2331067.625,42.9363,7.878555556,50.81485556
coal,ultrasupercritical,10,700,486.6,58.48,3199395,10,0.75,15,41.84,9.268571429,51.10857143,413.61,2719485.75,41.4216,7.878285714,49.29988571
coal,ultrasupercritical,10,800,556.1,56.76,3656357.5,10,0.75,15,40.6,9.268333333,49.86833333,472.685,3107903.875,40.194,7.878083333,48.07208333
coal,ultrasupercritical,10,900,625.6,55.33,4113320,10,0.75,15,39.58,9.268148148,48.84814815,531.76,3496322,39.1842,7.877925926,47.06212593
coal,ultrasupercritical,10,1000,695.1,54.12,4570282.5,10,0.75,15,38.72,9.268,47.988,590.835,3884740.125,38.3328,7.8778,46.2106
coal,ultrasupercritical,10,1100,764.6,53.07,5027245,10,0.75,15,37.96,9.267878788,47.22787879,649.91,4273158.25,37.5804,7.87769697,45.45809697
coal,ultrasupercritical,10,1200,834.1,52.15,5484207.5,10,0.75,15,37.31,9.267777778,46.57777778,708.985,4661576.375,36.9369,7.877611111,44.81451111
coal,ultrasupercritical,10,1300,903.6,51.33,5941170,10,0.75,15,36.72,9.267692308,45.98769231,768.06,5049994.5,36.3528,7.877538462,44.23033846
coal,ultrasupercritical,10,1400,973.1,50.59,6398132.5,10,0.75,15,36.19,9.267619048,45.45761905,827.135,5438412.625,35.8281,7.87747619,43.70557619
coal,ultrasupercritical,10,1500,1043,49.93,6857725,10,0.75,15,35.72,9.271111111,44.99111111,886.55,5829066.25,35.3628,7.880444444,43.24324444
coal,ultrasupercritical,10,1600,1112,49.33,7311400,10,0.75,15,35.29,9.266666667,44.55666667,945.2,6214690,34.9371,7.876666667,42.81376667
coal,ultrasupercritical,10,1700,1182,48.77,7771650,10,0.75,15,34.89,9.270588235,44.16058824,1004.7,6605902.5,34.5411,7.88,42.4211
coal,ultrasupercritical,10,1800,1251,48.26,8225325,10,0.75,15,34.52,9.266666667,43.78666667,1063.35,6991526.25,34.1748,7.876666667,42.05146667
coal,ultrasupercritical,10,1900,1321,47.86,8685575,10,0.75,15,34.24,9.270175439,43.51017544,1122.85,7382738.75,33.8976,7.879649123,41.77724912
coal,ultrasupercritical,10,2000,1390,47.51,9139250,10,0.75,15,33.99,9.266666667,43.25666667,1181.5,7768362.5,33.6501,7.876666667,41.52676667
coal,ultrasupercritical,10,2100,1460,47.18,9599500,10,0.75,15,33.75,9.26984127,43.01984127,1241,8159575,33.4125,7.879365079,41.29186508
coal,ultrasupercritical,10,2200,1529,46.88,10053175,10,0.75,15,33.54,9.266666667,42.80666667,1299.65,8545198.75,33.2046,7.876666667,41.08126667
coal,ultrasupercritical,10,2300,1599,46.61,10513425,10,0.75,15,33.34,9.269565217,42.60956522,1359.15,8936411.25,33.0066,7.879130435,40.88573043
