primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
bituminous,subcritical,3,100,10,0.75,80.82,531391.5,77.68,10.776,88.456,9.98,65618.5,137.7975652,1.330666667,139.1282319
bituminous,subcritical,3,200,10,0.75,161.6,1062520,59.82,10.77333333,70.59333333,19.95,131171.25,106.1154783,1.33,107.4454783
bituminous,subcritical,3,300,10,0.75,242.3,1593122.5,52.73,10.76888889,63.49888889,29.91,196658.25,93.53843478,1.329333333,94.86776812
bituminous,subcritical,3,400,10,0.75,323.1,2124382.5,48.69,10.77,59.46,39.88,262211,86.37182609,1.329333333,87.70115942
bituminous,subcritical,3,500,10,0.75,403.8,2654985,46,10.768,56.768,49.84,327698,81.6,1.329066667,82.92906667
bituminous,subcritical,3,600,10,0.75,484.6,3186245,44.04,10.76888889,54.80888889,59.81,393250.75,78.12313043,1.329111111,79.45224155
bituminous,subcritical,3,700,10,0.75,565.3,3716847.5,42.52,10.76761905,53.28761905,69.77,458737.75,75.42678261,1.328952381,76.75573499
bituminous,subcritical,3,800,10,0.75,646.1,4248107.5,41.3,10.76833333,52.06833333,79.75,524356.25,73.2626087,1.329166667,74.59177536
bituminous,subcritical,3,900,10,0.75,726.8,4778710,40.29,10.76740741,51.05740741,89.71,589843.25,71.47095652,1.329037037,72.79999356
bituminous,subcritical,3,1000,10,0.75,807.6,5309970,39.43,10.768,50.198,99.68,655396,69.9453913,1.329066667,71.27445797
bituminous,subcritical,3,1100,10,0.75,888.3,5840572.5,38.68,10.76727273,49.44727273,109.64,720883,68.61495652,1.328969697,69.94392622
bituminous,subcritical,3,1200,10,0.75,969.1,6371832.5,38.03,10.76777778,48.79777778,119.61,786435.75,67.46191304,1.329,68.79091304
bituminous,subcritical,3,1300,10,0.75,1050,6903750,37.43,10.76923077,48.19923077,129.6,852120,66.39756522,1.329230769,67.72679599
bituminous,subcritical,3,1400,10,0.75,1131,7436325,36.96,10.77142857,47.73142857,139.6,917870,65.56382609,1.32952381,66.8933499
bituminous,subcritical,3,1500,10,0.75,1211,7962325,36.59,10.76444444,47.35444444,149.47,982765.25,64.90747826,1.328622222,66.23610048
bituminous,subcritical,3,1600,10,0.75,1292,8494900,36.27,10.76666667,47.03666667,159.47,1048515.25,64.33982609,1.328916667,65.66874275
bituminous,subcritical,3,1700,10,0.75,1373,9027475,35.98,10.76862745,46.74862745,169.47,1114265.25,63.8253913,1.329176471,65.15456777
bituminous,subcritical,3,1800,10,0.75,1454,9560050,35.73,10.77037037,46.50037037,179.46,1179949.5,63.38191304,1.329333333,64.71124638
bituminous,subcritical,3,1900,10,0.75,1534,10086050,35.5,10.76491228,46.26491228,189.34,1244910.5,62.97391304,1.328701754,64.3026148
bituminous,subcritical,3,2000,10,0.75,1615,10618625,35.29,10.76666667,46.05666667,199.34,1310660.5,62.6013913,1.328933333,63.93032464
bituminous,subcritical,3,2100,10,0.75,1696,11151200,35.11,10.76825397,45.87825397,209.33,1376344.75,62.28208696,1.329079365,63.61116632
bituminous,subcritical,3,2200,10,0.75,1777,11683775,34.95,10.76969697,45.71969697,219.33,1442094.75,61.99826087,1.329272727,63.3275336
bituminous,subcritical,3,2300,10,0.75,1857,12209775,34.79,10.76521739,45.55521739,229.2,1506990,61.71443478,1.328695652,63.04313043
bituminous,subcritical,3,2400,10,0.75,1938,12742350,34.66,10.76666667,45.42666667,239.2,1572740,61.48382609,1.328888889,62.81271498
bituminous,subcritical,3,2500,10,0.75,2019,13274925,34.53,10.768,45.298,249.2,1638490,61.25321739,1.329066667,62.58228406
bituminous,subcritical,7,100,10,0.75,80.82,531391.5,76.64,10.776,87.416,9.98,65618.5,135.9526957,1.330666667,137.2833623
bituminous,subcritical,7,200,10,0.75,161.6,1062520,58.94,10.77333333,69.71333333,19.95,131171.25,104.5544348,1.33,105.8844348
bituminous,subcritical,7,300,10,0.75,242.3,1593122.5,51.91,10.76888889,62.67888889,29.91,196658.25,92.08382609,1.329333333,93.41315942
bituminous,subcritical,7,400,10,0.75,323.1,2124382.5,47.93,10.77,58.7,39.88,262211,85.02365217,1.329333333,86.35298551
bituminous,subcritical,7,500,10,0.75,403.8,2654985,45.28,10.768,56.048,49.84,327698,80.32278261,1.329066667,81.65184928
bituminous,subcritical,7,600,10,0.75,484.6,3186245,43.35,10.76888889,54.11888889,59.81,393250.75,76.89913043,1.329111111,78.22824155
bituminous,subcritical,7,700,10,0.75,565.3,3716847.5,41.86,10.76761905,52.62761905,69.77,458737.75,74.256,1.328952381,75.58495238
bituminous,subcritical,7,800,10,0.75,646.1,4248107.5,40.65,10.76833333,51.41833333,79.75,524356.25,72.10956522,1.329166667,73.43873188
bituminous,subcritical,7,900,10,0.75,726.8,4778710,39.66,10.76740741,50.42740741,89.71,589843.25,70.3533913,1.329037037,71.68242834
bituminous,subcritical,7,1000,10,0.75,807.6,5309970,38.81,10.768,49.578,99.68,655396,68.84556522,1.329066667,70.17463188
bituminous,subcritical,7,1100,10,0.75,888.3,5840572.5,38.08,10.76727273,48.84727273,109.64,720883,67.5506087,1.328969697,68.87957839
bituminous,subcritical,7,1200,10,0.75,969.1,6371832.5,37.43,10.76777778,48.19777778,119.61,786435.75,66.39756522,1.329,67.72656522
bituminous,subcritical,7,1300,10,0.75,1050,6903750,36.85,10.76923077,47.61923077,129.6,852120,65.36869565,1.329230769,66.69792642
bituminous,subcritical,7,1400,10,0.75,1131,7436325,36.38,10.77142857,47.15142857,139.6,917870,64.53495652,1.32952381,65.86448033
bituminous,subcritical,7,1500,10,0.75,1211,7962325,36.02,10.76444444,46.78444444,149.47,982765.25,63.89634783,1.328622222,65.22497005
bituminous,subcritical,7,1600,10,0.75,1292,8494900,35.7,10.76666667,46.46666667,159.47,1048515.25,63.32869565,1.328916667,64.65761232
bituminous,subcritical,7,1700,10,0.75,1373,9027475,35.42,10.76862745,46.18862745,169.47,1114265.25,62.832,1.329176471,64.16117647
bituminous,subcritical,7,1800,10,0.75,1454,9560050,35.17,10.77037037,45.94037037,179.46,1179949.5,62.38852174,1.329333333,63.71785507
bituminous,subcritical,7,1900,10,0.75,1534,10086050,34.95,10.76491228,45.71491228,189.34,1244910.5,61.99826087,1.328701754,63.32696262
bituminous,subcritical,7,2000,10,0.75,1615,10618625,34.75,10.76666667,45.51666667,199.34,1310660.5,61.64347826,1.328933333,62.97241159
bituminous,subcritical,7,2100,10,0.75,1696,11151200,34.56,10.76825397,45.32825397,209.33,1376344.75,61.30643478,1.329079365,62.63551415
bituminous,subcritical,7,2200,10,0.75,1777,11683775,34.4,10.76969697,45.16969697,219.33,1442094.75,61.0226087,1.329272727,62.35188142
bituminous,subcritical,7,2300,10,0.75,1857,12209775,34.25,10.76521739,45.01521739,229.2,1506990,60.75652174,1.328695652,62.08521739
bituminous,subcritical,7,2400,10,0.75,1938,12742350,34.11,10.76666667,44.87666667,239.2,1572740,60.50817391,1.328888889,61.8370628
bituminous,subcritical,7,2500,10,0.75,2019,13274925,33.99,10.768,44.758,249.2,1638490,60.29530435,1.329066667,61.62437101
bituminous,subcritical,10,100,10,0.75,80.82,531391.5,75.83,10.776,86.606,9.98,65618.5,134.5158261,1.330666667,135.8464928
bituminous,subcritical,10,200,10,0.75,161.6,1062520,58.26,10.77333333,69.03333333,19.95,131171.25,103.3481739,1.33,104.6781739
bituminous,subcritical,10,300,10,0.75,242.3,1593122.5,51.31,10.76888889,62.07888889,29.91,196658.25,91.01947826,1.329333333,92.34881159
bituminous,subcritical,10,400,10,0.75,323.1,2124382.5,47.37,10.77,58.14,39.88,262211,84.03026087,1.329333333,85.3595942
bituminous,subcritical,10,500,10,0.75,403.8,2654985,44.74,10.768,55.508,49.84,327698,79.36486957,1.329066667,80.69393623
bituminous,subcritical,10,600,10,0.75,484.6,3186245,42.83,10.76888889,53.59888889,59.81,393250.75,75.97669565,1.329111111,77.30580676
bituminous,subcritical,10,700,10,0.75,565.3,3716847.5,41.36,10.76761905,52.12761905,69.77,458737.75,73.36904348,1.328952381,74.69799586
bituminous,subcritical,10,800,10,0.75,646.1,4248107.5,40.17,10.76833333,50.93833333,79.75,524356.25,71.25808696,1.329166667,72.58725362
bituminous,subcritical,10,900,10,0.75,726.8,4778710,39.18,10.76740741,49.94740741,89.71,589843.25,69.50191304,1.329037037,70.83095008
bituminous,subcritical,10,1000,10,0.75,807.6,5309970,38.35,10.768,49.118,99.68,655396,68.02956522,1.329066667,69.35863188
bituminous,subcritical,10,1100,10,0.75,888.3,5840572.5,37.62,10.76727273,48.38727273,109.64,720883,66.7346087,1.328969697,68.06357839
bituminous,subcritical,10,1200,10,0.75,969.1,6371832.5,36.98,10.76777778,47.74777778,119.61,786435.75,65.59930435,1.329,66.92830435
bituminous,subcritical,10,1300,10,0.75,1050,6903750,36.41,10.76923077,47.17923077,129.6,852120,64.58817391,1.329230769,65.91740468
bituminous,subcritical,10,1400,10,0.75,1131,7436325,35.94,10.77142857,46.71142857,139.6,917870,63.75443478,1.32952381,65.08395859
bituminous,subcritical,10,1500,10,0.75,1211,7962325,35.59,10.76444444,46.35444444,149.47,982765.25,63.13356522,1.328622222,64.46218744
bituminous,subcritical,10,1600,10,0.75,1292,8494900,35.28,10.76666667,46.04666667,159.47,1048515.25,62.58365217,1.328916667,63.91256884
bituminous,subcritical,10,1700,10,0.75,1373,9027475,35,10.76862745,45.76862745,169.47,1114265.25,62.08695652,1.329176471,63.41613299
bituminous,subcritical,10,1800,10,0.75,1454,9560050,34.75,10.77037037,45.52037037,179.46,1179949.5,61.64347826,1.329333333,62.97281159
bituminous,subcritical,10,1900,10,0.75,1534,10086050,34.53,10.76491228,45.29491228,189.34,1244910.5,61.25321739,1.328701754,62.58191915
