primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
lignite,subcritical,3,100,10,0.75,91.83,603782.25,82.92,12.244,95.164,11.68,76796,139.7990083,1.557333333,141.3563416
lignite,subcritical,3,200,10,0.75,183.6,1207170,63.54,12.24,75.78,23.35,153526.25,107.1252893,1.556666667,108.6819559
lignite,subcritical,3,300,10,0.75,275.3,1810097.5,55.79,12.23555556,68.02555556,35.02,230256.5,94.05917355,1.556444444,95.615618
lignite,subcritical,3,400,10,0.75,367.1,2413682.5,51.36,12.23666667,63.59666667,46.7,307052.5,86.59041322,1.556666667,88.14707989
lignite,subcritical,3,500,10,0.75,458.8,3016610,48.4,12.23466667,60.63466667,58.36,383717,81.6,1.556266667,83.15626667
lignite,subcritical,3,600,10,0.75,550.6,3620195,46.23,12.23555556,58.46555556,70.04,460513,77.9414876,1.556444444,79.49793205
lignite,subcritical,3,700,10,0.75,642.3,4223122.5,44.55,12.23428571,56.78428571,81.7,537177.5,75.10909091,1.556190476,76.66528139
lignite,subcritical,3,800,10,0.75,734,4826050,43.2,12.23333333,55.43333333,93.37,613907.75,72.83305785,1.556166667,74.38922452
lignite,subcritical,3,900,10,0.75,825.8,5429635,42.08,12.23407407,54.31407407,105.04,690638,70.94479339,1.556148148,72.50094154
lignite,subcritical,3,1000,10,0.75,917.5,6032562.5,41.12,12.23333333,53.35333333,116.71,767368.25,69.32628099,1.556133333,70.88241433
lignite,subcritical,3,1100,10,0.75,1009,6634175,40.29,12.23030303,52.52030303,128.35,843901.25,67.92694215,1.555757576,69.48269972
lignite,subcritical,3,1200,10,0.75,1101,7239075,39.55,12.23333333,51.78333333,140.05,920828.75,66.67933884,1.556111111,68.23544995
lignite,subcritical,3,1300,10,0.75,1193,7843975,38.9,12.23589744,51.13589744,151.75,997756.25,65.58347107,1.556410256,67.13988133
lignite,subcritical,3,1400,10,0.75,1285,8448875,38.36,12.23809524,50.59809524,163.45,1074683.75,64.67305785,1.556666667,66.22972452
lignite,subcritical,3,1500,10,0.75,1376,9047200,37.94,12.23111111,50.17111111,175.03,1150822.25,63.96495868,1.555822222,65.5207809
lignite,subcritical,3,1600,10,0.75,1468,9652100,37.57,12.23333333,49.80333333,186.73,1227749.75,63.34115702,1.556083333,64.89724036
lignite,subcritical,3,1700,10,0.75,1560,10257000,37.24,12.23529412,49.47529412,198.43,1304677.25,62.78479339,1.556313725,64.34110711
lignite,subcritical,3,1800,10,0.75,1651,10855325,36.95,12.22962963,49.17962963,210.01,1380815.75,62.29586777,1.55562963,63.8514974
lignite,subcritical,3,1900,10,0.75,1743,11460225,36.69,12.23157895,48.92157895,221.71,1457743.25,61.85752066,1.555859649,63.41338031
lignite,subcritical,3,2000,10,0.75,1835,12065125,36.45,12.23333333,48.68333333,233.41,1534670.75,61.45289256,1.556066667,63.00895923
lignite,subcritical,3,2100,10,0.75,1927,12670025,36.23,12.23492063,48.46492063,245.12,1611664,61.08198347,1.55631746,62.63830093
lignite,subcritical,3,2200,10,0.75,2018,13268350,36.03,12.23030303,48.26030303,256.69,1687736.75,60.74479339,1.55569697,62.30049036
lignite,subcritical,3,2300,10,0.75,2110,13873250,35.85,12.23188406,48.08188406,268.39,1764664.25,60.44132231,1.555884058,61.99720637
lignite,subcritical,3,2400,10,0.75,2202,14478150,35.69,12.23333333,47.92333333,280.1,1841657.5,60.17157025,1.556111111,61.72768136
lignite,subcritical,3,2500,10,0.75,2294,15083050,35.54,12.23466667,47.77466667,291.8,1918585,59.91867769,1.556266667,61.47494435
lignite,subcritical,7,100,10,0.75,91.83,603782.25,81.66,12.244,93.904,11.68,76796,137.6747107,1.557333333,139.2320441
lignite,subcritical,7,200,10,0.75,183.6,1207170,62.52,12.24,74.76,23.35,153526.25,105.4056198,1.556666667,106.9622865
lignite,subcritical,7,300,10,0.75,275.3,1810097.5,54.87,12.23555556,67.10555556,35.02,230256.5,92.50809917,1.556444444,94.06454362
lignite,subcritical,7,400,10,0.75,367.1,2413682.5,50.49,12.23666667,62.72666667,46.7,307052.5,85.12363636,1.556666667,86.68030303
lignite,subcritical,7,500,10,0.75,458.8,3016610,47.58,12.23466667,59.81466667,58.36,383717,80.21752066,1.556266667,81.77378733
lignite,subcritical,7,600,10,0.75,550.6,3620195,45.45,12.23555556,57.68555556,70.04,460513,76.62644628,1.556444444,78.18289073
lignite,subcritical,7,700,10,0.75,642.3,4223122.5,43.79,12.23428571,56.02428571,81.7,537177.5,73.8277686,1.556190476,75.38395907
lignite,subcritical,7,800,10,0.75,734,4826050,42.46,12.23333333,54.69333333,93.37,613907.75,71.58545455,1.556166667,73.14162121
lignite,subcritical,7,900,10,0.75,825.8,5429635,41.36,12.23407407,53.59407407,105.04,690638,69.73090909,1.556148148,71.28705724
lignite,subcritical,7,1000,10,0.75,917.5,6032562.5,40.41,12.23333333,52.64333333,116.71,767368.25,68.1292562,1.556133333,69.68538953
lignite,subcritical,7,1100,10,0.75,1009,6634175,39.6,12.23030303,51.83030303,128.35,843901.25,66.76363636,1.555757576,68.31939394
lignite,subcritical,7,1200,10,0.75,1101,7239075,38.88,12.23333333,51.11333333,140.05,920828.75,65.54975207,1.556111111,67.10586318
lignite,subcritical,7,1300,10,0.75,1193,7843975,38.23,12.23589744,50.46589744,151.75,997756.25,64.4538843,1.556410256,66.01029455
lignite,subcritical,7,1400,10,0.75,1285,8448875,37.7,12.23809524,49.93809524,163.45,1074683.75,63.56033058,1.556666667,65.11699725
