primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,marginal_cost_MWh,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
anthracite,supercritical,3,100,10,0.75,60.58,104.4,398313.5,76.41,8.077333333,84.48733333,7.02,46156.5,122.9273849,0.936,123.8633849
anthracite,supercritical,3,200,10,0.75,121.1,82.41,796232.5,60.32,8.073333333,68.39333333,14.03,92247.25,97.04200837,0.935333333,97.9773417
anthracite,supercritical,3,300,10,0.75,181.6,73.64,1194020,53.9,8.071111111,61.97111111,21.03,138272.25,86.71359833,0.934666667,87.64826499
anthracite,supercritical,3,400,10,0.75,242.2,68.64,1592465,50.24,8.073333333,58.31333333,28.05,184428.75,80.82543933,0.935,81.76043933
anthracite,supercritical,3,500,10,0.75,302.7,65.31,1990252.5,47.8,8.072,55.872,35.06,230519.5,76.9,0.934933333,77.83493333
anthracite,supercritical,3,600,10,0.75,363.2,62.87,2388040,46.01,8.071111111,54.08111111,42.07,276610.25,74.02027197,0.934888889,74.95516086
anthracite,supercritical,3,700,10,0.75,423.7,60.99,2785827.5,44.64,8.07047619,52.71047619,49.07,322635.25,71.81623431,0.934666667,72.75090098
anthracite,supercritical,3,800,10,0.75,484.3,59.47,3184272.5,43.53,8.071666667,51.60166667,56.09,368791.75,70.03048117,0.934833333,70.9653145
anthracite,supercritical,3,900,10,0.75,544.8,58.21,3582060,42.6,8.071111111,50.67111111,63.1,414882.5,68.53430962,0.934814815,69.46912444
anthracite,supercritical,3,1000,10,0.75,605.3,57.14,3979847.5,41.82,8.070666667,49.89066667,70.11,460973.25,67.27945607,0.9348,68.21425607
anthracite,supercritical,3,1100,10,0.75,665.8,56.21,4377635,41.14,8.07030303,49.21030303,77.12,507064,66.18548117,0.934787879,67.12026905
anthracite,supercritical,3,1200,10,0.75,726.4,55.4,4776080,40.55,8.071111111,48.62111111,84.13,553154.75,65.23629707,0.934777778,66.17107485
anthracite,supercritical,3,1300,10,0.75,786.9,54.67,5173867.5,40.01,8.070769231,48.08076923,91.14,599245.5,64.3675523,0.934769231,65.30232153
anthracite,supercritical,3,1400,10,0.75,847.4,54.02,5571655,39.54,8.07047619,47.61047619,98.15,645336.25,63.61142259,0.934761905,64.5461845
anthracite,supercritical,3,1500,10,0.75,907.9,53.42,5969442.5,39.1,8.070222222,47.17022222,105.16,691427,62.90355649,0.934755556,63.83831204
anthracite,supercritical,3,1600,10,0.75,968.5,52.99,6367887.5,38.78,8.070833333,46.85083333,112.18,737583.5,62.38874477,0.934833333,63.3235781
anthracite,supercritical,3,1700,10,0.75,1029,52.62,6765675,38.51,8.070588235,46.58058824,119.18,783608.5,61.95437238,0.934745098,62.88911748
anthracite,supercritical,3,1800,10,0.75,1090,52.28,7166750,38.26,8.074074074,46.33407407,126.25,830093.75,61.55217573,0.935185185,62.48736092
anthracite,supercritical,3,1900,10,0.75,1150,51.98,7561250,38.04,8.070175439,46.11017544,133.2,875790,61.19824268,0.934736842,62.13297952
anthracite,supercritical,3,2000,10,0.75,1211,51.71,7962325,37.85,8.073333333,45.92333333,140.26,922209.5,60.89257322,0.935066667,61.82763989
anthracite,supercritical,3,2100,10,0.75,1271,51.47,8356825,37.67,8.06984127,45.73984127,147.21,967905.75,60.60299163,0.934666667,61.5376583
anthracite,supercritical,3,2200,10,0.75,1332,51.25,8757900,37.51,8.072727273,45.58272727,154.28,1014391,60.34558577,0.935030303,61.28061608
