primary_fuel,generation_technology,amortization_rate,capacity_MW,carbon_price_ton,capacity_factor,emission_rate_ton_h,annual_emission_ton,plant_LCOE_MWh,carbon_LCOE_MWh,LCOE_MWh,capture_emission_rate_ton_h,capture_annual_emission_ton,capture_plant_LCOE_MWh,capture_carbon_LCOE_MWh,capture_LCOE_MWh
subbituminous,supercritical,3,100,10,0.75,83.83,551182.25,79.2,11.17733333,90.37733333,11.19,73574.25,127.4158996,1.492,128.9078996
subbituminous,supercritical,3,200,10,0.75,167.6,1101970,61.63,11.17333333,72.80333333,22.38,147148.5,99.14951883,1.492,100.6415188
subbituminous,supercritical,3,300,10,0.75,251.3,1652297.5,54.57,11.16888889,65.73888889,33.55,220591.25,87.79148536,1.491111111,89.28259647
subbituminous,supercritical,3,400,10,0.75,335.1,2203282.5,50.51,11.17,61.68,44.74,294165.5,81.25981172,1.491333333,82.75114505
subbituminous,supercritical,3,500,10,0.75,418.8,2753610,47.8,11.168,58.968,55.92,367674,76.9,1.4912,78.3912
subbituminous,supercritical,3,600,10,0.75,502.6,3304595,45.81,11.16888889,56.97888889,67.11,441248.25,73.69851464,1.491333333,75.18984798
subbituminous,supercritical,3,700,10,0.75,586.3,3854922.5,44.27,11.16761905,55.43761905,78.29,514756.75,71.22098326,1.491238095,72.71222136
subbituminous,supercritical,3,800,10,0.75,670.1,4405907.5,43.01,11.16833333,54.17833333,89.47,588265.25,69.19391213,1.491166667,70.6850788
subbituminous,supercritical,3,900,10,0.75,753.8,4956235,41.98,11.16740741,53.14740741,100.65,661773.75,67.53686192,1.491111111,69.02797304
subbituminous,supercritical,3,1000,10,0.75,837.6,5507220,41.1,11.168,52.268,111.84,735348,66.12112971,1.4912,67.61232971
subbituminous,supercritical,3,1100,10,0.75,921.4,6058205,40.34,11.16848485,51.50848485,123.03,808922.25,64.89845188,1.491272727,66.38972461
subbituminous,supercritical,3,1200,10,0.75,1005,6607875,39.66,11.16666667,50.82666667,134.19,882299.25,63.80447699,1.491,65.29547699
subbituminous,supercritical,3,1300,10,0.75,1089,7160175,39.06,11.16923077,50.22923077,145.41,956070.75,62.83920502,1.491384615,64.33058964
subbituminous,supercritical,3,1400,10,0.75,1173,7712475,38.53,11.17142857,49.70142857,156.62,1029776.5,61.98654812,1.491619048,63.47816716
subbituminous,supercritical,3,1500,10,0.75,1256,8258200,38.03,11.16444444,49.19444444,167.71,1102693.25,61.18215481,1.490755556,62.67291037
subbituminous,supercritical,3,1600,10,0.75,1340,8810500,37.67,11.16666667,48.83666667,178.92,1176399,60.60299163,1.491,62.09399163
