year,plant_type,fuel,learning_rate,learning_rate_code,plant_LCOE_decrease
2015,NGCC,gas,moderate,2,0
2016,NGCC,gas,moderate,2,0.00862069
2017,NGCC,gas,moderate,2,0.017241379
2018,NGCC,gas,moderate,2,0.025862069
2019,NGCC,gas,moderate,2,0.034482759
2020,NGCC,gas,moderate,2,0.043103448
2021,NGCC,gas,moderate,2,0.051724138
2022,NGCC,gas,moderate,2,0.060344828
2023,NGCC,gas,moderate,2,0.068965517
2024,NGCC,gas,moderate,2,0.077586207
2025,NGCC,gas,moderate,2,0.086206897
2026,NGCC,gas,moderate,2,0.089655172
2027,NGCC,gas,moderate,2,0.093103448
2028,NGCC,gas,moderate,2,0.096551724
2029,NGCC,gas,moderate,2,0.1
2030,NGCC,gas,moderate,2,0.103448276
2031,NGCC,gas,moderate,2,0.106896552
2032,NGCC,gas,moderate,2,0.110344828
2033,NGCC,gas,moderate,2,0.113793103
2034,NGCC,gas,moderate,2,0.117241379
2035,NGCC,gas,moderate,2,0.120689655
2036,NGCC,gas,moderate,2,0.122413793
2037,NGCC,gas,moderate,2,0.124137931
2038,NGCC,gas,moderate,2,0.125862069
2039,NGCC,gas,moderate,2,0.127586207
2040,NGCC,gas,moderate,2,0.129310345
2041,NGCC,gas,moderate,2,0.131034483
2042,NGCC,gas,moderate,2,0.132758621
2043,NGCC,gas,moderate,2,0.134482759
2044,NGCC,gas,moderate,2,0.136206897
2045,NGCC,gas,moderate,2,0.137931034
2046,NGCC,gas,moderate,2,0.139655172
2047,NGCC,gas,moderate,2,0.14137931
2048,NGCC,gas,moderate,2,0.143103448
2049,NGCC,gas,moderate,2,0.144827586
2050,NGCC,gas,moderate,2,0.146551724
2015,NGCC,gas,low,1,0
2016,NGCC,gas,low,1,0.006896552
2017,NGCC,gas,low,1,0.013793103
2018,NGCC,gas,low,1,0.020689655
2019,NGCC,gas,low,1,0.027586207
2020,NGCC,gas,low,1,0.034482759
2021,NGCC,gas,low,1,0.04137931
2022,NGCC,gas,low,1,0.048275862
2023,NGCC,gas,low,1,0.055172414
2024,NGCC,gas,low,1,0.062068966
2025,NGCC,gas,low,1,0.068965517
2026,NGCC,gas,low,1,0.071724138
2027,NGCC,gas,low,1,0.074482759
2028,NGCC,gas,low,1,0.077241379
2029,NGCC,gas,low,1,0.08
2030,NGCC,gas,low,1,0.082758621
2031,NGCC,gas,low,1,0.085517241
2032,NGCC,gas,low,1,0.088275862
2033,NGCC,gas,low,1,0.091034483
2034,NGCC,gas,low,1,0.093793103
2035,NGCC,gas,low,1,0.096551724
2036,NGCC,gas,low,1,0.097931034
2037,NGCC,gas,low,1,0.099310345
2038,NGCC,gas,low,1,0.100689655
2039,NGCC,gas,low,1,0.102068966
2040,NGCC,gas,low,1,0.103448276
2041,NGCC,gas,low,1,0.104827586
2042,NGCC,gas,low,1,0.106206897
2043,NGCC,gas,low,1,0.107586207
2044,NGCC,gas,low,1,0.108965517
2045,NGCC,gas,low,1,0.110344828
2046,NGCC,gas,low,1,0.111724138
2047,NGCC,gas,low,1,0.113103448
2048,NGCC,gas,low,1,0.114482759
2049,NGCC,gas,low,1,0.115862069
2050,NGCC,gas,low,1,0.117241379
2015,NGCC,gas,high,3,0
2016,NGCC,gas,high,3,0.010344828
2017,NGCC,gas,high,3,0.020689655
2018,NGCC,gas,high,3,0.031034483
2019,NGCC,gas,high,3,0.04137931
2020,NGCC,gas,high,3,0.051724138
2021,NGCC,gas,high,3,0.062068966
2022,NGCC,gas,high,3,0.072413793
2023,NGCC,gas,high,3,0.082758621
2024,NGCC,gas,high,3,0.093103448
2025,NGCC,gas,high,3,0.103448276
2026,NGCC,gas,high,3,0.107586207
2027,NGCC,gas,high,3,0.111724138
2028,NGCC,gas,high,3,0.115862069
2029,NGCC,gas,high,3,0.12
2030,NGCC,gas,high,3,0.124137931
2031,NGCC,gas,high,3,0.128275862
2032,NGCC,gas,high,3,0.132413793
2033,NGCC,gas,high,3,0.136551724
2034,NGCC,gas,high,3,0.140689655
2035,NGCC,gas,high,3,0.144827586
2036,NGCC,gas,high,3,0.146896552
2037,NGCC,gas,high,3,0.148965517
2038,NGCC,gas,high,3,0.151034483
2039,NGCC,gas,high,3,0.153103448
2040,NGCC,gas,high,3,0.155172414
2041,NGCC,gas,high,3,0.157241379
2042,NGCC,gas,high,3,0.159310345
2043,NGCC,gas,high,3,0.16137931
2044,NGCC,gas,high,3,0.163448276
2045,NGCC,gas,high,3,0.165517241
2046,NGCC,gas,high,3,0.167586207
2047,NGCC,gas,high,3,0.169655172
2048,NGCC,gas,high,3,0.171724138
2049,NGCC,gas,high,3,0.173793103
2050,NGCC,gas,high,3,0.175862069
