year,reference_cost,PC_CCS,PC_CCS_low,PC_CCS_mid,PC_CCS_high,NGCC_CCS,NGCC_CCS_low,NGCC_CCS_mid,NGCC_CCS_high
2016,92.20027,135.8666667,87.42893243,87.11949887,86.81006531,115.5333333,88,87.85,87.7
2017,90.54014,135.8666667,86.19119819,85.57233107,84.95346395,115.5333333,87.4,87.1,86.8
2018,89.49941,135.8666667,84.95346395,84.02516327,83.09686259,115.5333333,86.8,86.35,85.9
2019,89.22149,135.8666667,83.71572971,82.47799547,81.24026123,115.5333333,86.2,85.6,85
2020,88.90546,135.8666667,82.47799547,80.93082767,79.38365987,115.5333333,85.6,84.85,84.1
2021,88.78788,135.8666667,81.24026123,79.38365987,77.52705851,115.5333333,85,84.1,83.2
2022,88.28391,135.8666667,80.00252699,77.83649207,75.67045715,115.5333333,84.4,83.35,82.3
2023,87.78271,135.8666667,78.76479275,76.28932427,73.81385579,115.5333333,83.8,82.6,81.4
2024,87.47005,135.8666667,77.52705851,74.74215647,71.95725443,115.5333333,83.2,81.85,80.5
2025,87.72605,135.8666667,76.28932427,73.19498867,70.10065307,115.5333333,82.6,81.1,79.6
2026,87.32351,135.8666667,76.16554907,73.04026967,69.91499028,115.5333333,82.36,80.8,79.24
2027,87.15475,135.8666667,76.04177388,72.88555068,69.72932748,115.5333333,82.12,80.5,78.88
2028,86.91858,135.8666667,75.91799868,72.73083169,69.54366469,115.5333333,81.88,80.2,78.52
2029,86.74736,135.8666667,75.79422349,72.5761127,69.3580019,115.5333333,81.64,79.9,78.16
2030,86.57172,135.8666667,75.6704483,72.4213937,69.17233911,115.5333333,81.4,79.6,77.8
2031,86.4622,135.8666667,75.5466731,72.26667471,68.98667632,115.5333333,81.16,79.3,77.44
2032,86.09818,135.8666667,75.42289791,72.11195572,68.80101353,115.5333333,80.92,79,77.08
2033,85.69071,135.8666667,75.29912271,71.95723673,68.61535074,115.5333333,80.68,78.7,76.72
2034,85.27968,135.8666667,75.17534752,71.80251773,68.42968795,115.5333333,80.44,78.4,76.36
2035,84.94539,135.8666667,75.05157233,71.64779874,68.24402516,115.5333333,80.2,78.1,76
2036,84.82228,135.8666667,74.55647799,71.02893082,67.50138365,115.5333333,80.08,77.95,75.82
2037,84.6393,135.8666667,74.4327044,70.87421384,67.31572327,115.5333333,79.96,77.8,75.64
2038,84.61822,135.8666667,74.30893082,70.71949686,67.13006289,115.5333333,79.84,77.65,75.46
2039,84.58316,135.8666667,74.18515723,70.56477987,66.94440252,115.5333333,79.72,77.5,75.28
2040,84.42865,135.8666667,74.06138365,70.41006289,66.75874214,115.5333333,79.6,77.35,75.1
2041,84.21256,135.8666667,73.93761006,70.25534591,66.57308176,115.5333333,79.48,77.2,74.92
2042,83.95737,135.8666667,73.81383648,70.10062893,66.38742138,115.5333333,79.36,77.05,74.74
2043,83.72602,135.8666667,73.69006289,69.94591195,66.20176101,115.5333333,79.24,76.9,74.56
2044,83.5327,135.8666667,73.56628931,69.79119497,66.01610063,115.5333333,79.12,76.75,74.38
2045,83.32994,135.8666667,73.81383648,70.10062893,66.38742138,115.5333333,79,76.6,74.2
2046,83.00807,135.8666667,73.81383648,70.10062893,66.38742138,115.5333333,78.88,76.45,74.02
2047,83.25328,135.8666667,73.81383648,70.10062893,66.38742138,115.5333333,78.76,76.3,73.84
2048,83.44464,135.8666667,73.81383648,70.10062893,66.38742138,115.5333333,78.64,76.15,73.66
2049,83.42391,135.8666667,73.81383648,70.10062893,66.38742138,115.5333333,78.52,76,73.48
2050,83.24409,135.8666667,73.81383648,70.10062893,66.38742138,115.5333333,78.4,75.85,73.3
