Country,Year,ele_cap_total_mw,ele_cap_fossil_mw,ele_cap_fossil_per,ele_gen_total_gwh,ele_gen_fossil_gwh,ele_gen_fossil_per,,,
CN,2014,1461939,1005720,68.79356799,5649583.4,4268649.4,75.55688796,,,
CN,2013,1341077,945120,70.47470056,5431637.4,4247009.4,78.19022308,,,
CN,2012,1222980,888257,72.63054179,4987553,3892814,78.05057911,,,
CN,2011,1136211,834799,73.47218078,4713019,3833702,81.34280808,,,
CN,2010,1032150,768829,74.48810735,4207160.4,3331928.4,79.19660967,,,
CN,2009,934600,705530,75.49004922,3714650,2982780,80.29774003,,,
CN,2008,862691,665645,77.15914505,3408753.3,2731949.3,80.1451164,,,
CN,2007,767470,602600,78.51772708,3281552.9,2722932.9,82.97696191,,,
CN,2006,667485,526540,78.88416968,2865726,2369603,82.68770287,,,
CN,2005,559510,434100,77.58574467,2500259.9,2047335.9,81.88492324,,,
CN,2004,485220,372200,76.7074729,2203310.2,1795588.2,81.49502508,,,
CN,2003,434130,332490,76.58765807,1910575.3,1580361.3,82.71651476,,,
CN,2002,399280,308270,77.20647165,1653999.8,1338135.8,80.90302067,,,
CN,2001,338500,253010,74.74446086,1471657,1176753,79.96109148,,,
CN,2000,319330,237540,74.38699778,1355600,1116449,82.35829153,,,
US,2014,1073438,787407,73.35374749,4339210,2995556,69.03459385,,,
US,2013,1065293,787297,73.90426859,4306371,2985891,69.33659455,,,
US,2012,1067878,793352,74.29238171,4290660,3016908,70.31337836,,,
US,2011,1055279,798833,75.69874886,4349571,3037683,69.83868064,,,
US,2010,1041007,793551,76.22917041,4378422,3135578,71.6143396,,,
US,2009,1026869,786050,76.54822572,4188214,2965173,70.7980299,,,
US,2008,1011254,781791,77.3090638,4368260,3173013,72.63791533,,,
US,2007,995876,775195,77.84051428,4349840,3183440,73.18522061,,,
US,2006,986955,772161,78.23669772,4300831,3121205,72.5721378,,,
US,2005,978539,767316,78.41445257,4294368,3149290,73.33535459,,,
US,2004,963345,755702,78.44562436,4174856,3032176,72.62947512,,,
US,2003,948731,741497,78.15671671,4081764,2960065,72.51925883,,,
US,2002,905361,699851,77.30076732,4051120,2928244,72.2823318,,,
US,2001,848322,645044,76.03763665,3865307,2836138,73.3741977,,,
US,2000,811349,610124,75.19871227,4052667,2953983,72.88985253,,,
IN,2014,316379,241396,76.29962798,1308873,1111341,84.90823785,,,
IN,2013,294873,226449,76.79543397,1193480,980599,82.16300231,,,
IN,2012,278275,215522,77.44928578,1035264,860173,83.08730913,,,
IN,2011,252471,192556,76.26856154,973006,813625,83.61973102,,,
IN,2010,219591,164118,74.73803571,954539,795052,83.29172512,,,
IN,2009,198798,146388,73.6365557,899389,755656,84.01881722,,,
IN,2008,184602,133888,72.52792494,842531,700147,83.10044378,,,
IN,2007,175893,127958,72.74763635,813102,664143,81.68015821,,,
IN,2006,160995,116050,72.08298394,752454,610385,81.1192445,,,
IN,2005,150185,110009,73.24899291,697470,572415,82.07019657,,,
IN,2004,140561,103817,73.85903629,665986,559957,84.07939506,,,
IN,2003,133579,99197,74.26092425,633372,536851,84.7607725,,,
IN,2002,127969,96753,75.60659222,596633,510628,85.58494083,,,
IN,2001,123647,93202,75.37748591,579120,483981,83.57179859,,,
IN,2000,118950,89770,75.46868432,560842,467996,83.44524839,,,
RU,2014,259020,182465,70.44436723,1064207,705598,66.30270239,,,
RU,2013,239423,163926,68.46710633,1059092,703481,66.42303029,,,
RU,2012,232685,157845,67.83634527,1070734,725399,67.74782532,,,
RU,2011,222984,151114,67.76898791,1054765,713689,67.66331837,,,
RU,2010,222935,151114,67.78388319,1038030,698709,67.31106037,,,
RU,2009,225499,153800,68.20429359,991980,651810,65.70797798,,,
RU,2008,225238,154778,68.71753434,1040379,710113,68.25522238,,,
RU,2007,223981,153335,68.45893178,1015333,675820,66.56141384,,,
RU,2006,221414,151513,68.42972892,995794,663608,66.64109243,,,
RU,2005,219043,149915,68.44089973,953086,628619,65.95616765,,,
RU,2004,216654,148316,68.45754059,931865,608965,65.34905807,,,
RU,2003,215998,147955,68.49831943,916286,607891,66.34293223,,,
RU,2002,214860,147213,68.51577772,891285,585304,65.66967917,,,
RU,2001,214795,147345,68.5979655,891284,578405,64.89570103,,,
RU,2000,212771,146670,68.93326628,877766,581616,66.2609397,,,
JP,2014,315318,194857,61.79697956,1040676,921613,88.55907122,,,
JP,2013,302711,192759,63.67756705,1065623,950236,89.17187411,,,
JP,2012,295193,190405,64.50186827,1064065,950187,89.29783425,,,
JP,2011,292058,186810,63.96332235,1082230,876365,80.97770345,,,
JP,2010,287027,183882,64.06435631,1147899,758578,66.08403701,,,
JP,2009,284486,183237,64.40984794,1075305,702466,65.32713974,,,
JP,2008,280534,180826,64.45778408,1082549,732970,67.70778967,,,
JP,2007,279152,178394,63.90568579,1135718,779970,68.67637917,,,
JP,2006,278709,177839,63.80812963,1104589,696738,63.07667377,,,
JP,2005,277324,177268,63.92090118,1099790,702212,63.84964402,,,
JP,2004,275268,178973,65.01772818,1077431,685969,63.6670933,,,
JP,2003,270578,176221,65.1276157,1047942,698572,66.66132286,,,
JP,2002,268147,174390,65.03522322,1058420,667067,63.02479167,,,
JP,2001,263653,170229,64.56554638,1040013,622124,59.81886765,,,
JP,2000,260490,167971,64.48270567,1058548,635878,60.0707762,,,
DE,2014,198416,97203,48.98949681,627795,409688,65.25824513,,,
DE,2013,186117,91368,49.09170038,638729,428094,67.02279057,,,
DE,2012,177291,89649,50.56601858,629812,423424,67.23022108,,,
DE,2011,175896,89421,50.83742666,613068,410773,67.00284471,,,
DE,2010,162698,85823,52.74988015,632983,413207,65.2793203,,,
DE,2009,151678,83245,54.88271206,595617,388640,65.24998447,,,
DE,2008,143456,81788,57.01260317,640406,418220,65.30544686,,,
DE,2007,136336,78535,57.60400775,640578,426786,66.62514167,,,
DE,2006,132062,76880,58.2150808,639492,408745,63.91714048,,,
DE,2005,128612,76380,59.38792648,622579,401355,64.4665175,,,
DE,2004,126415,77470,61.28228454,617469,395776,64.09649715,,,
DE,2003,121205,74871,61.77220412,608779,399673,65.65157471,,,
DE,2002,126345,81092,64.18299102,586694,377944,64.41927137,,,
DE,2001,120118,79380,66.0850164,586406,377276,64.33699519,,,
