year,coal_power_capacity_GW,gas_power_capacity_GW,oil_power_capacity_GW,coal_power_capacity_existing,gas_power_capacity_existing,oil_power_capacity_existing,coal_power_capacity_new,gas_power_capacity_new,oil_power_capacity_new,coal_annual_emission_intensity_2015,gas_annual_emission_intensity_2015,oil_annual_emission_intensity_2015,coal_lock_emission_intensity_2015,gas_lock_emission_intensity_2015,oil_lock_emission_intensity_2015,coal_power_annual_emission_existing,gas_power_annual_emission_existing,oil_power_annual_emission_existing,coal_power_lock_emission_existing,gas_power_lock_emission_existing,oil_power_lock_emission_existing,coal_power_annual_emission_new,gas_power_annual_emission_new,oil_power_annual_emission_new,coal_power_lock_emission_new,gas_power_lock_emission_new,oil_power_lock_emission_new,coal_annual_emission_overall,gas_annual_emission_overall,oil_annual_emission_overall,coal_power_lock_emission_overall,gas_power_lock_emission_overall,oil_power_lock_emission_overall
2015,2041.0,1615.1,388.4,2041.000001,1615.100001,388.40000019999997,0.0,0.0,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.77231438,3.910218705,0.93957721,204.3919581,66.15519901,11.89706139,0.0,0.0,0.0,0.0,0.0,0.0,10.77231438,3.910218705,0.93957721,204.3919581,66.15519901,11.89706139
2016,2101.2,1682.1,390.1,2037.135779,1615.100001,388.40000019999997,64.06,67.0,11.82,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.74539547,3.903392082,0.935999452,195.7788793,63.53532721,11.51801317,0.34,0.16,0.03,11.99,5.79,1.05,11.08539547,4.063392082,0.965999452,207.7688793,69.32532721,12.56801317
2017,2149.3,1743.3,384.1,2035.157011,1613.037323,387.7025619,50.08,63.26,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.70832664,3.88674151,0.9322786809999999,188.0118315,61.12034331,11.12529308,0.26,0.15,0.0,9.37,5.47,0.0,11.30832664,4.19674151,0.9622786809999999,209.0720815,72.23559331,12.14904308
2018,2167.0,1768.8,380.7,2036.5048359999998,1615.100001,388.40000019999997,16.35,23.44,2.25,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.70695065,3.885046537,0.9313340940000001,179.8079495,58.64474573,10.76952477,0.09,0.06,0.01,3.06,2.03,0.2,11.39695065,4.255046537,0.971334094,203.3941995,71.50849572999999,11.96702477
2019,2171.5,1772.6,380.4,2036.5048359999998,1615.100001,388.40000019999997,4.5,3.8,4.23,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.69020975,3.8777612919999997,0.9296162179999999,172.20508869999998,56.31804782,10.41283418,0.02,0.01,0.01,0.84,0.33,0.37,11.40020975,4.257761292,0.979616218,196.02083869999998,69.17954782,11.94908418
2020,2173.7,1763.4,376.5,2033.8791780000001,1615.100001,388.40000019999997,4.83,-9.2,179.48,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.63699679,3.871132532,0.927847048,165.51155419999998,53.78945265,10.03225282,0.03,-0.02,0.44,0.9,-0.8,15.89,11.37699679,4.231132532,1.417847048,189.59580419999998,65.51045265,27.41800282
2021,2171.2,1757.8,370.9,2031.878327,1615.100001,388.40000019999997,-0.5,-5.6,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.60309128,3.858162397,0.9262223829999999,158.24969860000002,51.69152201,9.787722482000001,0.0,-0.01,0.0,-0.09,-0.48,0.0,11.34309128,4.208162397,1.416222383,181.5899486,62.612022010000004,26.735722482
2022,2182.4,1755.7,361.2,2023.029616,1610.35522,387.0899106,20.05,2.64,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.52270612,3.8397575089999996,0.9208442659999999,151.9675337,49.37371728,9.471797956,0.11,0.01,0.0,3.75,0.23,0.0,11.37270612,4.1997575089999994,1.410844266,178.4060337,60.21571728,25.982047956
2023,2189.7,1758.5,355.2,1975.040739,1580.375823,380.267173,55.29,32.78,0.0,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.23735309,3.757721218,0.903482865,146.02740730000002,47.47712857,9.092121874,0.29,0.08,0.0,10.35,2.83,0.0,11.37735309,4.197721218,1.393482865,182.07040730000003,60.83487857,25.164621874
2024,2184.7,1761.2,349.1,1969.949498,1574.206452,377.7974152,0.09,8.87,3.18,190.41233290000002,418.29,407.1498755,5.342472334,11.56959716,11.2929043,10.19184783,3.7273144410000003,0.8934384790000001,139.2110084,45.67957338,8.934882457,0.0,0.02,0.01,0.02,0.77,0.28,11.33184783,4.187314441,1.393438479,174.2697584,59.42232338,24.849632457
