year,coal_power_capacity_GW,coal_power_capacity_existing,coal_power_capacity_new,coal_annual_emission,coal_power_annual_emission_existing,coal_power_annual_emission_new,coal_lock_emission,coal_power_lock_emission_existing,coal_power_lock_emission_new,gas_power_capacity_GW,gas_power_capacity_existing,gas_power_capacity_new,gas_annual_emission,gas_power_annual_emission_existing,gas_power_annual_emission_new,gas_lock_emission,gas_power_lock_emission_existing,gas_power_lock_emission_new,oil_power_capacity_GW,oil_power_capacity_existing,oil_power_capacity_new,oil_annual_emission,oil_power_annual_emission_existing,oil_power_annual_emission_new,oil_lock_emission,oil_power_lock_emission_existing,oil_power_lock_emission_new,coal_power_capacity_new1,coal_power_annual_emission_new1,coal_power_annual_emission_new1,coal_power_capacity_new2,coal_power_annual_emission_new2,coal_power_annual_emission_new2,gas_power_capacity_new1,gas_power_annual_emission_new1,gas_power_annual_emission_new1,gas_power_capacity_new2,gas_power_annual_emission_new2,gas_power_annual_emission_new2,oil_power_capacity_new1,oil_power_annual_emission_new1,oil_power_annual_emission_new1,oil_power_capacity_new2,oil_power_annual_emission_new2,oil_power_annual_emission_new2
2015,2041.0,2041.0,0.0,10.77231438,10.77231438,0.0,204.3919581,204.3919581,0.0,1615.1,1615.1,0.0,3.910218705,3.910218705,0.0,66.15519901,66.15519901,0.0,388.4,388.4,0.0,0.93957721,0.93957721,0.0,11.89706139,11.89706139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,2101.2,2028.8856,72.3144,11.088117521405888,10.708339599999999,0.379777921405889,197.49248950702946,195.59359990000002,1.8988896070294448,1682.1,1598.4201,83.6799,4.066611970546526,3.870376494,0.19623547654652568,64.35142665273263,63.37024927,0.9811773827326287,390.1,378.2813,11.8187,0.943789775240685,0.9157759329999999,0.028013842240685066,11.556964781203424,11.41689557,0.14006921120342536,0.0,0.0,0.0,72.3144,0.379777921405889,0.379777921405889,0.0,0.0,0.0,83.6799,0.19623547654652568,0.19623547654652568,0.0,0.0,0.0,11.8187,0.028013842240685066,0.028013842240685066
2017,2149.3,1991.7778,85.2078,11.337586503765042,10.51031761,0.4474909723591527,191.3955798010086,186.8592166,2.6849458341549157,1743.3,1567.8187,91.8014,4.207902164696824,3.796385701,0.21528098715029798,62.858117591066105,60.60978372,1.291685922901788,384.1,372.4131,0.0,0.929608638240685,0.9015947959999999,0.0,11.09709851092334,10.96053103,0.0,0.0,0.0,0.0,85.2078,0.4474909723591527,0.4474909723591527,0.0,0.0,0.0,91.8014,0.21528098715029798,0.21528098715029798,0.0,0.0,0.0,0.0,0.0,0.0
2018,2167.0,1982.2498,27.228,11.430187123141426,10.45992329,0.1429949393763835,183.7455870906137,178.3228552,1.0009645756346843,1768.8,1554.2028,39.1158,4.267016723278556,3.763770852,0.09172940758173216,60.75692711149737,57.92330897,0.6421058530721253,380.7,366.768,2.2451,0.9213146055213726,0.887979207,0.005321556280687557,10.688664274608065,10.51834763,0.03725089396481291,0.0,0.0,0.0,27.228,0.1429949393763835,0.1429949393763835,0.0,0.0,0.0,39.1158,0.09172940758173216,0.09172940758173216,0.0,0.0,0.0,2.2451,0.005321556280687557,0.005321556280687557
2019,2171.5,1958.8583,27.8916,11.449537960894855,10.33279412,0.146480007753428,176.29184015222066,169.8368882,1.171840062027424,1772.6,1533.7136,24.2892,4.2757961760908,3.715590357,0.05695994781224489,58.48587255502766,55.26944906,0.45567958249795915,380.4,362.2334,4.2346,0.9206493408865232,0.877276678,0.010037264365150565,10.335961566900066,10.08977981,0.08029811492120452,0.0,0.0,0.0,27.8916,0.146480007753428,0.146480007753428,0.0,0.0,0.0,24.2892,0.05695994781224489,0.05695994781224489,0.0,0.0,0.0,4.2346,0.010037264365150565,0.010037264365150565
2020,2173.7,1914.0012,47.0571,11.427575677666132,10.06369921,0.24713262677128014,169.710645691191,161.20041609999998,2.224193640941521,1763.4,1521.8658,2.6478,4.251641421456579,3.6852263180000002,0.006209284365778289,55.71527720578955,52.52723637,0.05588355929200462,376.5,359.4815,0.0,0.9133826798865232,0.870010017,0.0,9.89946235039783,9.659721049,0.0,0.0,0.0,0.0,47.0571,0.24713262677128014,0.24713262677128014,0.0,0.0,0.0,2.6478,0.006209284365778289,0.006209284365778289,0.0,0.0,0.0,0.0,0.0,0.0
2021,2171.2,1884.7237,26.7775,11.413221759863102,9.908716271,0.14062902119697035,162.41978526016604,152.72778630000002,1.4062902119697034,1757.8,1491.6475,24.6183,4.236319835802617,3.6121730210000003,0.05773171134603809,53.50816875173752,49.82847411,0.5773171134603811,370.9,356.4857,0.0,0.9059246758865231,0.862552013,0.0,9.590158152895594,9.356857307,0.0,0.0,0.0,0.0,26.777499999999996,0.14062902119697035,0.14062902119697035,0.0,0.0,0.0,24.6183,0.05773171134603809,0.05773171134603809,0.0,0.0,0.0,0.0,0.0,0.0
2022,2182.4,1837.2126,58.711,11.460144289243845,9.64730268,0.30833612038074226,157.20666898606027,144.38265080000002,3.3916973241881645,1755.7,1475.0747,14.4728,4.228287645734499,3.5702010580000003,0.03393977293188157,51.175807858639295,47.22287195,0.37333750225069734,361.2,349.7374,0.0,0.8898050448865232,0.846432382,0.0,9.140504169393356,8.913643779,0.0,0.0,0.0,0.0,58.71099999999999,0.30833612038074226,0.30833612038074226,0.0,0.0,0.0,14.472800000000001,0.03393977293188157,0.03393977293188157,0.0,0.0,0.0,0.0,0.0,0.0
2023,2189.7,1760.8071,83.7055,11.469362139556534,9.216919277999999,0.439601252312688,154.01184158241387,136.2570789,5.275215027752255,1758.5,1423.529,54.3457,4.2305362540382525,3.4450050310000004,0.127444635303753,50.015876319379146,44.64303446,1.5293356236450362,355.2,343.5317,0.2056,0.8741960091773829,0.8303360129999999,0.0004873332908598111,8.724346077381439,8.498078142999999,0.005847999490317734,0.0,0.0,0.0,83.7055,0.439601252312688,0.439601252312688,0.0,0.0,0.0,54.3457,0.127444635303753,0.127444635303753,0.0,0.0,0.0,0.2056,0.0004873332908598111,0.0004873332908598111
2024,2184.7,1741.1288,14.6783,11.434986065120086,9.105456285,0.07708691856355111,146.85921161664754,128.5786699,1.0021299413261644,1761.2,1390.8158,35.4132,4.228296432223378,3.359718669,0.08304654018512717,48.43522081828948,42.130437,1.0796050224066531,349.1,330.2492,7.1825,0.8597611103330279,0.798876448,0.01702466615564491,8.50297736691533,8.061975428,0.22132066002338385,0.0,0.0,0.0,14.6783,0.07708691856355111,0.07708691856355111,0.0,0.0,0.0,35.4132,0.08304654018512717,0.08304654018512717,0.0,0.0,0.0,7.182500000000001,0.01702466615564491,0.01702466615564491
2025,2174.6,1722.4362,8.5926,11.370309499806933,8.995653441,0.04512627868684856,139.3901995626378,120.97929409999999,0.6317679016158798,1764.8,1363.5968,30.819,4.234847543899382,3.293996975,0.07227280567600314,46.783716378697044,39.64176647,1.0118192794640444,345.9,323.599,3.4502,0.8517443798628164,0.782681715,0.008178002529788522,8.19822139334229,7.654847091000001,0.11449203541703934,0.0,0.0,0.0,8.5926,0.04512627868684856,0.04512627868684856,0.0,0.0,0.0,30.819000000000003,0.07227280567600314,0.07227280567600314,0.0,0.0,0.0,3.4502,0.008178002529788522,0.008178002529788522
2026,2164.6,1684.4163,28.0199,11.289985876453631,8.768176009,0.14715380864669927,133.42832193917232,113.3273077,2.2073071297004887,1777.8,1342.3158,34.281,4.26290255540125,3.241660538,0.08039144850186777,45.39011403518198,37.24224107,1.2058717275280169,343.6,323.3017,0.0,0.8498684598628164,0.780805795,0.0,7.8173348264667855,7.288942497000001,0.0,0.0,0.0,0.0,28.0199,0.14715380864669927,0.14715380864669927,0.0,0.0,0.0,34.281,0.08039144850186777,0.08039144850186777,0.0,0.0,0.0,0.0,0.0,0.0
2027,2158.8,1658.7281,19.8882,11.257698349903809,8.631440416,0.10444806645017593,127.0998934709666,105.9000912,1.6711690632028149,1791.5,1323.0198,32.996,4.292499714061051,3.193879667,0.07737802965980074,44.0391066455075,34.88328067,1.2380484745568119,338.5,314.9685,3.2332,0.837701679703322,0.760975367,0.007663647840505551,7.483893630039368,6.847864907999999,0.12261836544808881,0.0,0.0,0.0,19.8882,0.10444806645017593,0.10444806645017593,0.0,0.0,0.0,32.996,0.07737802965980074,0.07737802965980074,0.0,0.0,0.0,3.2332,0.007663647840505551,0.007663647840505551
2028,2154.6,1625.3875,29.1406,11.221336187727353,8.442038797,0.15303945682354342,121.81881240897826,98.63149963,2.601670766000238,1808.0,1291.452,48.0679,4.3273314359043145,3.115988653,0.11272273584326392,43.34470795874779,32.53364215,1.9162865093354873,334.1,309.0528,1.5157,0.8272223325445487,0.746903359,0.0035926608412267303,7.107871218328516,6.428814694,0.06107523430085442,0.0,0.0,0.0,29.1406,0.15303945682354342,0.15303945682354342,0.0,0.0,0.0,48.0679,0.11272273584326392,0.11272273584326392,0.0,0.0,0.0,1.5157,0.0035926608412267303,0.0035926608412267303
2029,2147.5,1573.2218,45.0658,11.181021268487168,8.165049082000001,0.23667479575981426,118.55081679551631,91.78255972,4.260146323676656,1822.7,1262.7777,43.3742,4.358381688472083,3.0453232389999996,0.10171566656776973,44.391266858139055,32.05827289,1.8308819982198554,331.9,301.8748,4.978,0.8211122555226622,0.728993938,0.01179934397811352,7.693207654065332,6.821337251,0.2123881916060434,0.0,0.0,0.0,45.065799999999996,0.23667479575981426,0.23667479575981426,0.0,0.0,0.0,43.3742,0.10171566656776973,0.10171566656776973,0.0,0.0,0.0,4.978,0.01179934397811352,0.01179934397811352
2030,2145.5,1528.3597,42.862,11.167658267094282,7.926585115,0.22510096560711582,114.82319292682102,84.56372319,4.276918346535199,1845.5,1207.7523,77.8254,4.40830063997123,2.9127359439999996,0.1825062464991471,45.169358622838764,29.72347186,3.4676186834837965,324.3,277.3778,16.897,0.8029884336416225,0.670819189,0.04005092711896025,7.833617718666197,6.225663718,0.7609676152602449,0.0,0.0,0.0,42.862,0.22510096560711582,0.22510096560711582,0.0,0.0,0.0,77.8254,0.1825062464991471,0.1825062464991471,0.0,0.0,0.0,16.897,0.04005092711896025,0.04005092711896025
2031,2142.2,1447.2651,77.7946,11.113967357294444,7.464335585,0.4085586202001617,115.13282038693036,77.59480689,8.171172404003233,1872.1,1178.0906,56.2618,4.467097886705556,2.839595161,0.1319380297343247,45.096416931654076,27.45318593,2.6387605946864947,321.9,270.6146,4.3632,0.7970524293433712,0.6545411,0.010342084701748676,7.604746586660285,5.8338591,0.20684169403497354,0.0,0.0,0.0,77.7946,0.4085586202001617,0.4085586202001617,0.0,0.0,0.0,56.2618,0.1319380297343247,0.1319380297343247,0.0,0.0,0.0,4.3632,0.010342084701748676,0.010342084701748676
2032,2143.0,1404.5095,43.5556,11.107377886098543,7.2290025270000005,0.22874358680409904,112.10226983582245,70.85754897,4.803615322886079,1895.5,1149.691,51.7995,4.519370412063261,2.770394076,0.12147361035770546,44.933866278427544,25.24707483,2.5509458175118147,317.6,258.0234,8.2912,0.7869626480105738,0.624798703,0.019652615667202653,7.543630902279783,5.409117737000001,0.41270492901125577,0.0,0.0,0.0,43.5556,0.22874358680409904,0.22874358680409904,0.0,0.0,0.0,51.7995,0.12147361035770546,0.12147361035770546,0.0,0.0,0.0,8.2912,0.019652615667202653,0.019652615667202653
