year,coal_power_capacity_GW,coal_power_capacity_existing,coal_power_capacity_new,coal_annual_emission,coal_power_annual_emission_existing,coal_power_annual_emission_new,coal_lock_emission,coal_power_lock_emission_existing,coal_power_lock_emission_new,gas_power_capacity_GW,gas_power_capacity_existing,gas_power_capacity_new,gas_annual_emission,gas_power_annual_emission_existing,gas_power_annual_emission_new,gas_lock_emission,gas_power_lock_emission_existing,gas_power_lock_emission_new,oil_power_capacity_GW,oil_power_capacity_existing,oil_power_capacity_new,oil_annual_emission,oil_power_annual_emission_existing,oil_power_annual_emission_new,oil_lock_emission,oil_power_lock_emission_existing,oil_power_lock_emission_new,coal_power_capacity_new1,coal_power_annual_emission_new1,coal_power_annual_emission_new1,coal_power_capacity_new2,coal_power_annual_emission_new2,coal_power_annual_emission_new2,gas_power_capacity_new1,gas_power_annual_emission_new1,gas_power_annual_emission_new1,gas_power_capacity_new2,gas_power_annual_emission_new2,gas_power_annual_emission_new2,oil_power_capacity_new1,oil_power_annual_emission_new1,oil_power_annual_emission_new1,oil_power_capacity_new2,oil_power_annual_emission_new2,oil_power_annual_emission_new2
2015,2041,2041.000001,0,10.77231438,10.77231438,0,204.3919581,204.3919581,0,1615.1,1615.100001,0,3.910218705,3.910218705,0,66.15519901,66.15519901,0,388.4,388.4000002,0,0.93957721,0.93957721,0,11.89706139,11.89706139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2101.2,2028.885642,72.31,11.08809441,10.7083396,0.379754814,197.492374,195.5935999,1.898774068,1682.1,1598.42009,83.68,4.066612205,3.870376494,0.196235711,64.35142783,63.37024927,0.981178555,390.1,378.2812586,11.82,0.943792857,0.915775933,0.028016924,11.55698019,11.41689557,0.140084618,0,0,0,72.31,0.379754814,0.379754814,0,0,0,83.68,0.196235711,0.196235711,0,0,0,11.82,0.028016924,0.028016924
2017,2149.3,1993.971395,83.01,11.32602108,10.51031761,0.435948653,191.3262132,186.8592166,2.615691917,1743.3,1567.818652,91.8,4.207899116,3.796385701,0.215277704,62.85809904,60.60978372,1.291666224,384.1,372.4131021,0,0.92961172,0.901594796,0,11.09711353,10.96053103,0,0,0,0,83.01,0.435948653,0.435948653,0,0,0,91.8,0.215277704,0.215277704,0,0,0,0,0,0
2018,2167,1984.443413,27.23,11.4186322,10.45992329,0.143005443,183.6780283,178.3228552,1.0010381,1768.8,1554.202829,39.12,4.267023524,3.763770852,0.091739257,60.75697796,57.92330897,0.642174798,380.7,366.7679564,2.25,0.921329301,0.887979207,0.005333171,10.68876021,10.51834763,0.037332195,0,0,0,27.23,0.143005443,0.143005443,0,0,0,39.12,0.091739257,0.091739257,0,0,0,2.25,0.005333171,0.005333171
2019,2171.5,1961.051862,27.89,11.43797463,10.33279412,0.146471605,176.2259465,169.8368882,1.171772839,1772.6,1533.713587,24.29,4.275804853,3.715590357,0.056961824,58.48593716,55.26944906,0.455694591,380.4,362.2334043,4.23,0.920653133,0.877276678,0.010026361,10.33596786,10.08977981,0.080210888,0,0,0,27.89,0.146471605,0.146471605,0,0,0,24.29,0.056961824,0.056961824,0,0,0,4.23,0.010026361,0.010026361
2020,2173.7,1918.659585,44.59,11.40659079,10.06723427,0.234176008,169.5616922,161.2322317,2.107584072,1763.4,1521.865779,2.65,4.251655257,3.685226318,0.006214444,55.7153866,52.52723637,0.055929992,376.5,359.4814515,0,0.913386472,0.870010017,0,9.899468407,9.659721049,0,0,0,0,44.59,0.234176008,0.234176008,0,0,0,2.65,0.006214444,0.006214444,0,0,0,0,0,0
2021,2171.2,1889.382093,26.78,11.39225001,9.912251334,0.140642151,162.2756123,152.7596018,1.406421506,1757.8,1491.647528,24.62,4.236337658,3.612173021,0.057735698,53.50831522,49.82847411,0.57735698,370.9,356.4856736,0,0.905928468,0.862552013,0,9.590163972,9.356857307,0,0,0,0,26.78,0.140642151,0.140642151,0,0,0,24.62,0.057735698,0.057735698,0,0,0,0,0,0
2022,2182.4,1846.14774,54.43,11.41668975,9.650837743,0.285853333,156.8198315,144.4144664,3.144386663,1755.7,1475.074684,14.47,4.228298902,3.570201058,0.033933207,51.1758783,47.22287195,0.373265274,361.2,349.737368,0,0.889808837,0.846432382,0,9.140509751,8.913643779,0,0,0,0,54.43,0.285853333,0.285853333,0,0,0,14.47,0.033933207,0.033933207,0,0,0,0,0,0
2023,2189.7,1772.277035,81.17,11.41435929,9.222221873,0.426285413,153.4972531,136.3101048,5.115424958,1758.5,1423.52897,54.35,4.230557594,3.445005031,0.127454719,50.01606578,44.64303446,1.529456629,355.2,343.5317219,0.21,0.874210231,0.830336013,0.000497763,8.724476574,8.498078143,0.005973151,0,0,0,81.17,0.426285413,0.426285413,0,0,0,54.35,0.127454719,0.127454719,0,0,0,0.21,0.000497763,0.000497763
2024,2184.7,1753.580734,13.7,11.37484542,9.110758879,0.071949121,146.2926553,128.6316958,0.935338574,1761.2,1390.815776,35.41,4.228310268,3.359718669,0.083039036,48.43530771,42.130437,1.079507467,349.1,330.2492011,7.18,0.859769406,0.798876448,0.01701874,8.503027463,8.061975428,0.221243625,0,0,0,13.7,0.071949121,0.071949121,0,0,0,35.41,0.083039036,0.083039036,0,0,0,7.18,0.01701874,0.01701874
