year,coal_power_capacity_GW,coal_power1_capacity_GW,coal_power2_capacity_GW,coal_power_annual_emission_Gt,coal_power_annual_emission1_Gt,coal_power_annual_emission2_Gt,coal_power_lock_emission_Gt,coal_power_lock_emission1_Gt,coal_power_lock_emission2_Gt,gas_power_capacity_GW,gas_power1_capacity_GW,gas_power2_capacity_GW,gas_power_annual_emission_Gt,gas_power_annual_emission1_Gt,gas_power_annual_emission2_Gt,gas_power_lock_emission_Gt,gas_power_lock_emission1_Gt,gas_power_lock_emission2_Gt,oil_power_capacity_GW,oil_power1_capacity_GW,oil_power2_capacity_GW,oil_power_annual_emission_Gt,oil_power_annual_emission1_Gt,oil_power_annual_emission2_Gt,oil_power_lock_emission_Gt,oil_power_lock_emission1_Gt,oil_power_lock_emission2_Gt
2015,2041.000000551155,2041.000000551155,0.0,10.772314378086262,10.772314378086262,0.0,204.39195806973544,204.39195806973544,0.0,1615.1000010744735,1615.1000010744735,0.0,3.9102187047422676,3.9102187047422676,0.0,66.15519900684775,66.15519900684775,0.0,388.4000001575943,388.4000001575943,0.0,0.939577210231582,0.939577210231582,0.0,11.897061387341166,11.897061387341166,0.0
2016,2032.8665326962785,2028.8856418544995,3.9808908417788875,10.726219956291628,10.708339603631618,0.017880352660009376,195.68300170636036,195.5935999430603,0.08940176330004689,1606.468550702812,1598.4200901029913,8.048460599820716,3.886307313534167,3.870376493536508,0.015930819997659124,63.44990337334235,63.370249273354055,0.07965409998829562,383.1637962150992,378.281258598691,4.882537616408177,0.9255342700837708,0.9157759327971039,0.009758337286666832,11.465687256159399,11.416895569726064,0.04879168643333417
2017,2005.9012794721011,1991.7778230886788,14.123456383422372,10.574785664263327,10.51031760666535,0.06446805759797779,187.23448656530863,186.8592165908398,0.37526997446883265,1582.5410101555285,1567.818652085885,14.722358069643505,3.825803871574838,3.796385701331143,0.02941817024369551,60.776012426611345,60.60978372326475,0.16622870334660048,377.39106579190934,372.4131021289597,4.97796366294969,0.9115848977730148,0.9015947956151342,0.009990102157880579,11.014174489452227,10.960531029545448,0.053643459906779004
2018,2002.3739721910451,1982.249841306995,20.12413088405025,10.551550080641844,10.459923292931489,0.09162678771035505,178.87370280593439,178.32285523558556,0.5508475703488088,1576.790660606545,1554.202829489654,22.587831116891106,3.80875413488785,3.7637708518800848,0.04498328300776544,58.19090254001671,57.923308965380535,0.2675935746361766,374.7916615924977,366.7679564194157,8.023705173081982,0.9040602968830805,0.8879792074365569,0.016081089446523616,10.611513641620103,10.518347626546795,0.09316601507330773
2019,1987.2201241944717,1958.8582900532247,28.361834141247048,10.463346774686062,10.332794117517343,0.13055265716872008,170.70191713863815,169.83688819406524,0.8650289445729078,1563.441477424308,1533.7135874990086,29.72788992529947,3.77482628470612,3.715590356844192,0.05923592786192784,55.652469113222196,55.26944905694768,0.38302005627452035,371.7912364610897,362.23340429560506,9.557832165484607,0.8963946611608963,0.8772766778396281,0.019117983321268153,10.207781383073982,10.089779811726727,0.1180015713472548
2020,1951.6180607049703,1908.8455920718873,42.77246863308303,10.260307127639516,10.064443669371816,0.19586345826770032,162.67961210961212,161.20711626213438,1.4724958474777325,1553.760072117204,1521.8657791147043,31.894293002499527,3.7488225719947876,3.6852263178726097,0.06359625412217776,52.959025205615276,52.52723637451374,0.4317888311015378,369.3741351693488,359.48145151489246,9.892683654456347,0.8897953618557908,0.8700100174836702,0.01978534437212049,9.787159636722764,9.659721048567745,0.1274385881550198
2021,1929.799741064158,1879.5680999983315,50.231641065826544,10.138218850410377,9.909460732468746,0.22875811794163003,154.55339355308718,152.73448641573842,1.8189071373487724,1532.3619335661397,1491.6475282415372,40.71440532460242,3.693299878195412,3.612173020737914,0.08112685745749809,50.44290398420037,49.82847411240177,0.6144298717985969,367.0109615939926,356.4856736363749,10.525287957617708,0.8835503878273151,0.862552013320104,0.02099837450721114,9.498955872912788,9.356857306680165,0.14209856623262312
2022,1894.2341850604857,1832.0570803049445,62.17710475554132,9.93281983331634,9.648047141506593,0.2847726918097472,146.85666629815591,144.38935100230722,2.467315295848695,1519.1195099950771,1475.0746842661554,44.04482572892175,3.6579636234078485,3.570201057903059,0.08776256550478927,47.92314717587192,47.222871952852415,0.7002752230195018,361.89866095469534,349.73736803310396,12.161292921591375,0.8706595072260256,0.8464323823000297,0.024227124925995863,9.09536839483218,8.913643779090677,0.1817246157415027
2023,1825.3420850765183,1753.0737693334604,72.268315743058,9.549906662487347,9.218035970960653,0.33187069152669346,139.44564719837243,136.26824577814997,3.1774014202224556,1474.5953868449985,1423.5289695249758,51.06641732002271,3.5468196031432764,3.445005030580843,0.1018145725624336,45.565762776900804,44.64303446154922,0.9227283153515822,355.49210134727053,343.531721946289,11.96037940098154,0.8541512670689825,0.830336012684018,0.023815254384964422,8.691487729977323,8.49807814302537,0.19340958695195234
2024,1810.4130503418269,1733.3954549889393,77.01759535288757,9.459918278416959,9.106572977284072,0.3533453011328864,132.04789265768545,128.58983678610718,3.458055871578279,1450.5243681493332,1390.8157758874088,59.708592261924444,3.479401013139119,3.3597186686042053,0.11968234453491365,43.28596977449155,42.130437000363735,1.1555327741278143,345.73001497678496,330.2492010695269,15.48081390725802,0.8296640862245838,0.7988764481132707,0.03078763811131307,8.346177716090667,8.061975427647093,0.28420228844357426
2025,1795.1685787423717,1712.0023003263286,83.16627841604301,9.377675141156773,8.997159959327156,0.38051518182961624,124.80347230948846,120.99591860233991,3.8075537071485437,1431.9403796556592,1363.5968096813267,68.34356997433247,3.4304588103522553,3.2939969749104963,0.13646183544175913,41.02142577085922,39.64176646853843,1.3796593023207875,341.2080623904408,323.59902020073844,17.609042189702308,0.8177479654999028,0.7826817150565187,0.035066250443384024,7.9959044903458585,7.654847091068975,0.34105739927688333
2026,1763.1490496219155,1669.1030594984127,94.04599012350286,9.199840982070329,8.770386988991074,0.4294539930792555,117.89264835851625,113.35449916239374,4.53814919612252,1416.5783218229267,1342.315835430042,74.26248639288464,3.3897715866263125,3.2416605381967982,0.14811104842951417,38.79541417394583,37.24224106500256,1.553173108943272,341.0239756421866,323.3016725204885,17.722303121698072,0.8161965239864861,0.7808057953740821,0.035390728612404006,7.6345277244999155,7.288942497321024,0.3455852271788918
2027,1745.3348063477379,1643.4148251844092,101.91998116332856,9.098786049669954,8.63365139633095,0.46513465333900356,111.0007731974335,105.92728258209891,5.073490615334594,1403.7470007763416,1323.0198269354141,80.72717384092735,3.354855148875568,3.1938796672055774,0.1609754816699905,36.6298423046843,34.88328067067569,1.746561634008616,335.2640174733232,314.9685037814857,20.295513691837446,0.8014761163038993,0.7609753668493169,0.04050074945458235,7.271848223970254,6.847864908194309,0.4239833157759458
