year,coal_power_capacity_GW,coal_power1_capacity_GW,coal_power2_capacity_GW,coal_power_annual_emission_Gt,coal_power_annual_emission1_Gt,coal_power_annual_emission2_Gt,coal_power_lock_emission_Gt,coal_power_lock_emission1_Gt,coal_power_lock_emission2_Gt,gas_power_capacity_GW,gas_power1_capacity_GW,gas_power2_capacity_GW,gas_power_annual_emission_Gt,gas_power_annual_emission1_Gt,gas_power_annual_emission2_Gt,gas_power_lock_emission_Gt,gas_power_lock_emission1_Gt,gas_power_lock_emission2_Gt,oil_power_capacity_GW,oil_power1_capacity_GW,oil_power2_capacity_GW,oil_power_annual_emission_Gt,oil_power_annual_emission1_Gt,oil_power_annual_emission2_Gt,oil_power_lock_emission_Gt,oil_power_lock_emission1_Gt,oil_power_lock_emission2_Gt
2015,2041.000000551155,2041.000000551155,0.0,10.772314378086262,10.772314378086262,0.0,204.39195806973544,204.39195806973544,0.0,1615.1000010744735,1615.1000010744735,0.0,3.9102187047422676,3.9102187047422676,0.0,66.15519900684775,66.15519900684775,0.0,388.4000001575943,388.4000001575943,0.0,0.939577210231582,0.939577210231582,0.0,11.897061387341166,11.897061387341166,0.0
2016,2028.8856418544997,2028.8856418544997,0.0,10.708339603631616,10.708339603631616,0.0,195.5935999430603,195.5935999430603,0.0,1598.4200901029913,1598.4200901029913,0.0,3.870376493536508,3.870376493536508,0.0,63.370249273354055,63.370249273354055,0.0,378.28125859869095,378.28125859869095,0.0,0.9157759327971039,0.9157759327971039,0.0,11.416895569726064,11.416895569726064,0.0
2017,1993.9713947768867,1991.7778230886788,2.193571688207792,10.510000931209852,10.510317606665351,-0.00031667545549948805,186.8573165381068,186.8592165908398,-0.0019000527329969283,1567.8186520858849,1567.8186520858849,0.0,3.796385701331143,3.796385701331143,0.0,60.60978372326475,60.60978372326475,0.0,372.4131021289596,372.4131021289596,0.0,0.9015947956151342,0.9015947956151342,0.0,10.960531029545448,10.960531029545448,0.0
2018,1984.443412995203,1982.2498413069952,2.193571688207792,10.45960661747599,10.459923292931487,-0.000316675455499488,178.32095518285254,178.32285523558554,-0.0019000527329969279,1554.2028294896538,1554.2028294896538,0.0,3.7637708518800848,3.7637708518800848,0.0,57.923308965380535,57.923308965380535,0.0,366.7679564194157,366.7679564194157,0.0,0.8879792074365569,0.8879792074365569,0.0,10.518347626546793,10.518347626546793,0.0
2019,1961.0518617414325,1958.8582900532247,2.193571688207792,10.332477442061844,10.332794117517341,-0.000316675455499488,169.83498814133225,169.8368881940652,-0.001900052732996928,1533.7135874990086,1533.7135874990086,0.0,3.715590356844192,3.715590356844192,0.0,55.269449056947686,55.269449056947686,0.0,362.23340429560506,362.23340429560506,0.0,0.8772766778396281,0.8772766778396281,0.0,10.089779811726727,10.089779811726727,0.0
2020,1918.659585159308,1908.8455920718873,9.813993087420984,10.063013826817636,10.064443669371814,-0.0014298425541764118,161.1951977055133,161.20711626213438,-0.011918556621089243,1521.865779114704,1521.865779114704,0.0,3.6852263178726097,3.6852263178726097,0.0,52.52723637451374,52.52723637451374,0.0,359.4814515148924,359.4814515148924,0.0,0.8700100174836704,0.8700100174836704,0.0,9.659721048567745,9.659721048567745,0.0
2021,1889.3820930857523,1879.5680999983315,9.813993087420984,9.908030889914569,9.909460732468744,-0.0014298425541764118,152.72256785911733,152.73448641573842,-0.011918556621089243,1491.6475282415372,1491.6475282415372,0.0,3.612173020737914,3.612173020737914,0.0,49.82847411240177,49.82847411240177,0.0,356.4856736363749,356.4856736363749,0.0,0.862552013320104,0.862552013320104,0.0,9.356857306680165,9.356857306680165,0.0
2022,1846.147740298754,1832.0570803049445,14.090659993809314,9.645977527624643,9.648047141506593,-0.0020696138819507924,144.3703949610806,144.3893510023072,-0.01895604122660743,1475.0746842661554,1475.0746842661554,0.0,3.570201057903059,3.570201057903059,0.0,47.222871952852415,47.222871952852415,0.0,349.7373680331039,349.7373680331039,0.0,0.8464323823000297,0.8464323823000297,0.0,8.913643779090677,8.913643779090677,0.0
2023,1772.2770348568642,1753.0737693334604,19.203265523403864,9.215214885833785,9.218035970960655,-0.0028210851268694174,136.24027208198433,136.26824577814997,-0.02797369616563092,1423.5289695249758,1423.5289695249758,0.0,3.4450050305808424,3.4450050305808424,0.0,44.64303446154922,44.64303446154922,0.0,343.53172194628894,343.53172194628894,0.0,0.830336012684018,0.830336012684018,0.0,8.49807814302537,8.49807814302537,0.0
2024,1753.5807335792522,1733.3954549889395,20.18527859031278,9.103610126449272,9.106572977284074,-0.002962850834801514,128.56002013573843,128.58983678610716,-0.02981665036874818,1390.8157758874088,1390.8157758874088,0.0,3.3597186686042058,3.3597186686042058,0.0,42.130437000363735,42.130437000363735,0.0,330.2492010695269,330.2492010695269,0.0,0.7988764481132707,0.7988764481132707,0.0,8.061975427647091,8.061975427647091,0.0
2025,1734.8881148506412,1712.0023003263289,22.8858145243123,8.993807283061491,8.997159959327156,-0.003352676265665179,120.96064439593908,120.99591860233994,-0.03527420640083949,1363.596809681327,1363.596809681327,0.0,3.2939969749104963,3.2939969749104963,0.0,39.64176646853843,39.64176646853843,0.0,323.59902020073844,323.59902020073844,0.0,0.7826817150565187,0.7826817150565187,0.0,7.654847091068974,7.654847091068974,0.0
2026,1708.9506947209093,1669.1030594984127,39.847635222496564,8.771679188866747,8.770386988991076,0.0012921998756719897,113.38889809811296,113.35449916239374,0.034398935719218045,1349.4160678030378,1342.315835430042,7.1002323729958645,3.240082951512727,3.2416605381967982,-0.0015775866840709327,37.2185772647415,37.24224106500257,-0.023663800261063992,323.3016725204885,323.3016725204885,0.0,0.7808057953740821,0.7808057953740821,0.0,7.288942497321023,7.288942497321023,0.0
2027,1689.4245924017591,1643.4148251844092,46.00976721735001,8.636564458871566,8.633651396330952,0.0029130625406155234,105.98761532045724,105.92728258209891,0.06033273835831456,1336.8850029304588,1323.0198269354141,13.865175995044703,3.1908063772888315,3.1938796672055774,-0.003073289916746014,34.83568561869183,34.883280670675695,-0.04759505198386531,321.68856135513295,314.96850378148565,6.7200575736472405,0.759489894298771,0.7609753668493169,-0.0014854725505458906,6.824097347385575,6.8478649081943095,-0.02376756080873425
2028,1669.7585532205744,1607.6192213792453,62.13933184132896,8.451669640878903,8.444604170762199,0.007065470116703451,98.79563941295592,98.6647157458041,0.13092366715180934,1321.1616510425608,1291.4519684008726,29.709682641688453,3.109412984012723,3.115988653141193,-0.006575669128469848,32.4265066492984,32.53364214788158,-0.10713549858317048,318.9395820512228,309.0527716829144,9.886810368308442,0.7447180243311714,0.7469033592558302,-0.0021853349246588254,6.393149473057013,6.428814694225667,-0.03566522116865414
2029,1650.182122731745,1555.45345974871,94.728662983035,8.188213076527184,8.167614456615022,0.020598619912162833,92.19029619640308,91.81577583293301,0.37452036347007833,1309.5124801115483,1262.777736313579,46.73474379796921,3.034985762217061,3.0453232387389417,-0.010337476521880676,31.883424853430064,32.05827288509463,-0.17484803166456542,317.65801354934587,301.87479868168236,15.783214867663522,0.7255057599370777,0.7289939377352607,-0.003488177798183098,6.7622208577630065,6.821337250655097,-0.05911639289209104
2030,1628.4968191817288,1510.5914203033099,117.90539887841908,7.96221766829876,7.929150489244251,0.033067179054509246,85.20836229346791,84.59693930629325,0.6114229871746601,1281.7539525961693,1207.7523441991257,74.00160839704361,2.896376897440644,2.912735944139877,-0.016359046699232774,29.43421399674218,29.72347186177643,-0.2892578650342553,311.822565324442,277.37781004429615,34.444755280145856,0.6632074355532529,0.6708191889064445,-0.007611753353191648,6.08819938919984,6.225663717637093,-0.13746432843725354
