year,coal_power_capacity_GW,coal_power1_capacity_GW,coal_power2_capacity_GW,coal_power_annual_emission_Gt,coal_power_annual_emission1_Gt,coal_power_annual_emission2_Gt,coal_power_lock_emission_Gt,coal_power_lock_emission1_Gt,coal_power_lock_emission2_Gt,gas_power_capacity_GW,gas_power1_capacity_GW,gas_power2_capacity_GW,gas_power_annual_emission_Gt,gas_power_annual_emission1_Gt,gas_power_annual_emission2_Gt,gas_power_lock_emission_Gt,gas_power_lock_emission1_Gt,gas_power_lock_emission2_Gt,oil_power_capacity_GW,oil_power1_capacity_GW,oil_power2_capacity_GW,oil_power_annual_emission_Gt,oil_power_annual_emission1_Gt,oil_power_annual_emission2_Gt,oil_power_lock_emission_Gt,oil_power_lock_emission1_Gt,oil_power_lock_emission2_Gt
2015,2041.000001,2041.000001,0,10.77231438,10.77231438,0,204.3919581,204.3919581,0,1615.100001,1615.100001,0,3.910218705,3.910218705,0,66.15519901,66.15519901,0,388.4000002,388.4000002,0,0.93957721,0.93957721,0,11.89706139,11.89706139,0
2016,2028.885642,2028.885642,0,10.7083396,10.7083396,0,195.5935999,195.5935999,0,1598.42009,1598.42009,0,3.870376494,3.870376494,0,63.37024927,63.37024927,0,378.2812586,378.2812586,0,0.915775933,0.915775933,0,11.41689557,11.41689557,0
2017,1993.971395,1991.777823,2.193571688,10.51000093,10.51031761,-0.000316675,186.8573165,186.8592166,-0.001900053,1567.818652,1567.818652,0,3.796385701,3.796385701,0,60.60978372,60.60978372,0,372.4131021,372.4131021,0,0.901594796,0.901594796,0,10.96053103,10.96053103,0
2018,1984.443413,1982.249841,2.193571688,10.45960662,10.45992329,-0.000316675,178.3209552,178.3228552,-0.001900053,1554.202829,1554.202829,0,3.763770852,3.763770852,0,57.92330897,57.92330897,0,366.7679564,366.7679564,0,0.887979207,0.887979207,0,10.51834763,10.51834763,0
2019,1961.051862,1958.85829,2.193571688,10.33247744,10.33279412,-0.000316675,169.8349881,169.8368882,-0.001900053,1533.713587,1533.713587,0,3.715590357,3.715590357,0,55.26944906,55.26944906,0,362.2334043,362.2334043,0,0.877276678,0.877276678,0,10.08977981,10.08977981,0
2020,1918.659585,1908.845592,9.813993087,10.06301383,10.06444367,-0.001429843,161.1951977,161.2071163,-0.011918557,1521.865779,1521.865779,0,3.685226318,3.685226318,0,52.52723637,52.52723637,0,359.4814515,359.4814515,0,0.870010017,0.870010017,0,9.659721049,9.659721049,0
2021,1889.382093,1879.5681,9.813993087,9.90803089,9.909460732,-0.001429843,152.7225679,152.7344864,-0.011918557,1491.647528,1491.647528,0,3.612173021,3.612173021,0,49.82847411,49.82847411,0,356.4856736,356.4856736,0,0.862552013,0.862552013,0,9.356857307,9.356857307,0
2022,1844.322424,1832.05708,12.26534321,9.646250617,9.648047142,-0.001796525,144.3733989,144.389351,-0.015952059,1475.074684,1475.074684,0,3.570201058,3.570201058,0,47.22287195,47.22287195,0,349.737368,349.737368,0,0.846432382,0.846432382,0,8.913643779,8.913643779,0
2023,1770.451718,1753.073769,17.37794874,9.215487975,9.218035971,-0.002547996,136.2432761,136.2682458,-0.024969714,1423.52897,1423.52897,0,3.445005031,3.445005031,0,44.64303446,44.64303446,0,343.5317219,343.5317219,0,0.830336013,0.830336013,0,8.498078143,8.498078143,0
2024,1750.773404,1733.395455,17.37794874,9.104024981,9.106572977,-0.002547996,128.5648671,128.5898368,-0.024969714,1390.815776,1390.815776,0,3.359718669,3.359718669,0,42.130437,42.130437,0,330.2492011,330.2492011,0,0.798876448,0.798876448,0,8.061975428,8.061975428,0
2025,1732.080785,1712.0023,20.07848467,8.994222138,8.997159959,-0.002937821,120.9654913,120.9959186,-0.03042727,1363.59681,1363.59681,0,3.293996975,3.293996975,0,39.64176647,39.64176647,0,323.5990202,323.5990202,0,0.782681715,0.782681715,0,7.654847091,7.654847091,0
2026,1695.427147,1669.103059,26.32408777,8.76654749,8.770386989,-0.003839499,113.3105467,113.3544992,-0.043952439,1342.315835,1342.315835,0,3.241660538,3.241660538,0,37.24224107,37.24224107,0,323.3016725,323.3016725,0,0.780805795,0.780805795,0,7.288942497,7.288942497,0
2027,1672.819979,1643.414825,29.40515377,8.629340939,8.633651396,-0.004310458,105.8757948,105.9272826,-0.051487773,1323.019827,1323.019827,0,3.193879667,3.193879667,0,34.88328067,34.88328067,0,314.9685038,314.9685038,0,0.760975367,0.760975367,0,6.847864908,6.847864908,0
