country,capacity_MW,primary_fuel,generation_technology,year,age,output_MWh,fuel_used,electricity_cost_MWh,annual_emission_ton,remain_age,lock_emission
India,702,natural_gas,CCGT,2013,39,0.0,gas,30.91008,1648286.5932,1,1648286.5932
India,727,natural_gas,CCGT,2013,39,3921242.0,gas,30.88608,1706986.2582,1,1706986.2582
India,740,natural_gas,CCGT,2013,39,0.0,gas,30.8736,1737510.084,1,1737510.084
India,1200,natural_gas,CCGT,2013,39,3897402.0,gas,30.559200000000004,2821972.6799999997,1,2821972.6799999997
Indonesia,252,natural_gas,OCGT,2016,36,160968.0,gas,31.704,635931.324,4,2543725.296
Japan,600,natural_gas,OCGT,2013,39,9371713.0,gas,31.008000000000003,1408791.9600000002,1,1408791.9600000002
Japan,620,natural_gas,CCGT,2013,39,1850903.0,gas,30.9888,1455751.692,1,1455751.692
Japan,754,natural_gas,OCGT,2016,36,0.0,gas,30.86016,1770381.8964,4,7081527.5856
Japan,1190,natural_gas,subcritical,2013,39,0.0,gas,30.562440000000002,2798273.376,1,2798273.376
Japan,1190,natural_gas,subcritical,2014,38,0.0,gas,30.562440000000002,2798273.376,2,5596546.752
Japan,1460,natural_gas,CCGT,2013,39,9918578.0,gas,30.47496,3438154.584,1,3438154.584
Kenya,825,natural_gas,OCGT,2031,21,5473000.0,gas,33.0189,1937088.945,19,36804689.955
Kuwait,141,natural_gas,OCGT,2031,21,980315.0,gas,33.966,355818.717,19,6760555.623
Kuwait,144,natural_gas,CCGT,2031,21,891867.0,gas,33.966,363389.32800000004,19,6904397.232000001
Kuwait,250,natural_gas,OCGT,2031,21,1251513.0,gas,33.966,630884.25,19,11986800.75
Kuwait,250,natural_gas,CCGT,2031,21,1251513.0,gas,33.966,630884.25,19,11986800.75
Kuwait,662,natural_gas,CCGT,2031,21,1309354.0,gas,33.192983999999996,1554367.1292000003,19,29532975.454800006
Kuwait,804,natural_gas,CCGT,2031,21,2823297.0,gas,33.041328,1887781.2264,19,35867843.3016
Kuwait,876,natural_gas,CCGT,2031,21,33898.0,gas,32.964432,2056836.2616,19,39079888.9704
Kuwait,1320,natural_gas,OCGT,2031,21,3469087.0,gas,32.70912,3106364.3279999997,19,59020922.23199999
Kuwait,1600,natural_gas,CCGT,2031,21,6742489.0,gas,32.6208,3767750.46,19,71587258.74
Latvia,70,natural_gas,CCGT,2031,21,0.0,gas,33.966,252353.7,19,4794720.3
Latvia,470,natural_gas,CCGT,2031,21,3633853.0,gas,33.546,1124619.75,19,21367775.25
Lebanon,68,natural_gas,OCGT,2031,21,59535.0,gas,33.966,252353.7,19,4794720.3
Lebanon,70,natural_gas,CCGT,2031,21,0.0,gas,33.966,252353.7,19,4794720.3
Lebanon,470,natural_gas,CCGT,2031,21,3633853.0,gas,33.546,1124619.75,19,21367775.25
Lebanon,520,natural_gas,OCGT,2031,21,851236.0,gas,33.34464,1220953.032,19,23198107.608
