year,coal_power_capacity_GW,coal_power1_capacity_GW,coal_power2_capacity_GW,coal_power_annual_emission_Gt,coal_power_annual_emission1_Gt,coal_power_annual_emission2_Gt,coal_power_lock_emission_Gt,coal_power_lock_emission1_Gt,coal_power_lock_emission2_Gt,gas_power_capacity_GW,gas_power1_capacity_GW,gas_power2_capacity_GW,gas_power_annual_emission_Gt,gas_power_annual_emission1_Gt,gas_power_annual_emission2_Gt,gas_power_lock_emission_Gt,gas_power_lock_emission1_Gt,gas_power_lock_emission2_Gt,oil_power_capacity_GW,oil_power1_capacity_GW,oil_power2_capacity_GW,oil_power_annual_emission_Gt,oil_power_annual_emission1_Gt,oil_power_annual_emission2_Gt,oil_power_lock_emission_Gt,oil_power_lock_emission1_Gt,oil_power_lock_emission2_Gt
2015,2041.000000551155,2041.000000551155,0.0,10.772314378086262,10.772314378086262,0.0,204.39195806973544,204.39195806973544,0.0,1615.1000010744735,1615.1000010744735,0.0,3.9102187047422676,3.9102187047422676,0.0,66.15519900684775,66.15519900684775,0.0,388.4000001575943,388.4000001575943,0.0,0.939577210231582,0.939577210231582,0.0,11.897061387341166,11.897061387341166,0.0
2016,2028.8856418544997,2028.8856418544997,0.0,10.708339603631616,10.708339603631616,0.0,195.5935999430603,195.5935999430603,0.0,1598.4200901029913,1598.4200901029913,0.0,3.870376493536508,3.870376493536508,0.0,63.370249273354055,63.370249273354055,0.0,378.28125859869095,378.28125859869095,0.0,0.9157759327971039,0.9157759327971039,0.0,11.416895569726064,11.416895569726064,0.0
2017,1991.7778230886788,1991.7778230886788,0.0,10.51031760666535,10.51031760666535,0.0,186.8592165908398,186.8592165908398,0.0,1567.8186520858849,1567.8186520858849,0.0,3.796385701331143,3.796385701331143,0.0,60.60978372326475,60.60978372326475,0.0,372.4131021289596,372.4131021289596,0.0,0.9015947956151342,0.9015947956151342,0.0,10.960531029545448,10.960531029545448,0.0
2018,1982.2498413069952,1982.2498413069952,0.0,10.459923292931489,10.459923292931489,0.0,178.32285523558554,178.32285523558554,0.0,1554.2028294896538,1554.2028294896538,0.0,3.7637708518800848,3.7637708518800848,0.0,57.923308965380535,57.923308965380535,0.0,366.7679564194157,366.7679564194157,0.0,0.8879792074365569,0.8879792074365569,0.0,10.518347626546793,10.518347626546793,0.0
2019,1958.8582900532247,1958.8582900532247,0.0,10.332794117517343,10.332794117517343,0.0,169.83688819406524,169.83688819406524,0.0,1533.7135874990086,1533.7135874990086,0.0,3.715590356844192,3.715590356844192,0.0,55.269449056947686,55.269449056947686,0.0,362.23340429560506,362.23340429560506,0.0,0.8772766778396281,0.8772766778396281,0.0,10.089779811726727,10.089779811726727,0.0
2020,1914.0011606731591,1908.8455920718873,5.155568601271812,10.067234270634245,10.064443669371814,0.0027906012624310714,161.23223167349627,161.20711626213438,0.025115411361879645,1521.865779114704,1521.865779114704,0.0,3.6852263178726097,3.6852263178726097,0.0,52.52723637451374,52.52723637451374,0.0,359.4814515148924,359.4814515148924,0.0,0.8700100174836704,0.8700100174836704,0.0,9.659721048567745,9.659721048567745,0.0
2021,1884.7236685996033,1879.5680999983313,5.155568601271812,9.912251333731176,9.909460732468746,0.002790601262431072,152.7596018271003,152.73448641573844,0.025115411361879645,1491.6475282415372,1491.6475282415372,0.0,3.612173020737914,3.612173020737914,0.0,49.82847411240177,49.82847411240177,0.0,356.4856736363749,356.4856736363749,0.0,0.862552013320104,0.862552013320104,0.0,9.356857306680165,9.356857306680165,0.0
2022,1837.2126489062164,1832.0570803049445,5.155568601271812,9.650837742769024,9.648047141506593,0.0027906012624310714,144.4144664136691,144.3893510023072,0.025115411361879645,1475.0746842661554,1475.0746842661554,0.0,3.570201057903059,3.570201057903059,0.0,47.222871952852415,47.222871952852415,0.0,349.7373680331039,349.7373680331039,0.0,0.8464323823000297,0.8464323823000297,0.0,8.913643779090677,8.913643779090677,0.0
2023,1760.807122235368,1753.0737693334604,7.733352901907717,9.2222218728543,9.218035970960655,0.004185901893646608,136.3101047970864,136.26824577814995,0.04185901893646607,1423.5289695249758,1423.5289695249758,0.0,3.4450050305808424,3.4450050305808424,0.0,44.64303446154922,44.64303446154922,0.0,343.53172194628894,343.53172194628894,0.0,0.830336012684018,0.830336012684018,0.0,8.49807814302537,8.49807814302537,0.0
2024,1741.128807890847,1733.3954549889393,7.7333529019077165,9.11075887917772,9.106572977284074,0.004185901893646608,128.63169580504365,128.58983678610718,0.041859018936466076,1390.8157758874088,1390.8157758874088,0.0,3.3597186686042058,3.3597186686042058,0.0,42.130437000363735,42.130437000363735,0.0,330.2492010695269,330.2492010695269,0.0,0.7988764481132707,0.7988764481132707,0.0,8.061975427647091,8.061975427647091,0.0
2025,1722.436189162236,1712.0023003263286,10.433888835907238,9.002807101267548,8.997159959327155,0.005647141940393325,121.05823498193084,120.99591860233993,0.062316379590920144,1363.596809681327,1363.596809681327,0.0,3.2939969749104963,3.2939969749104963,0.0,39.64176646853843,39.64176646853843,0.0,323.59902020073844,323.59902020073844,0.0,0.7826817150565187,0.7826817150565187,0.0,7.654847091068974,7.654847091068974,0.0
2026,1684.4163257605235,1669.1030594984127,15.313266262110917,8.778674722041297,8.770386988991076,0.008287733050220932,113.45642440863207,113.35449916239374,0.10192524623833418,1342.315835430042,1342.315835430042,0.0,3.2416605381967982,3.2416605381967982,0.0,37.24224106500256,37.24224106500256,0.0,323.3016725204885,323.3016725204885,0.0,0.7808057953740821,0.7808057953740821,0.0,7.288942497321023,7.288942497321023,0.0
2027,1658.72809144652,1643.4148251844092,15.313266262110915,8.641939129381171,8.63365139633095,0.00828773305022093,106.02920782833725,105.92728258209893,0.10192524623833418,1323.0198269354141,1323.0198269354141,0.0,3.1938796672055774,3.1938796672055774,0.0,34.88328067067569,34.88328067067569,0.0,314.9685037814857,314.9685037814857,0.0,0.760975366849317,0.760975366849317,0.0,6.8478649081943095,6.8478649081943095,0.0
2028,1625.3875203086286,1607.6192213792456,17.768298929383207,8.454220296517718,8.4446041707622,0.009616125755518044,98.78922366803249,98.6647157458041,0.12450792222838511,1291.4519684008724,1291.4519684008724,0.0,3.115988653141193,3.115988653141193,0.0,32.53364214788157,32.53364214788157,0.0,309.05277168291434,309.05277168291434,0.0,0.7469033592558303,0.7469033592558303,0.0,6.428814694225667,6.428814694225667,0.0
2029,1573.2217586780932,1555.4534597487102,17.76829892938321,8.17723058237054,8.16761445661502,0.009616125755518044,91.94028375516139,91.815775832933,0.12450792222838512,1262.777736313579,1262.777736313579,0.0,3.0453232387389417,3.0453232387389417,0.0,32.05827288509463,32.05827288509463,0.0,301.8747986816823,301.8747986816823,0.0,0.7289939377352607,0.7289939377352607,0.0,6.821337250655097,6.821337250655097,0.0
2030,1528.359719232693,1510.5914203033099,17.768298929383207,7.9387666149997695,7.929150489244251,0.009616125755518044,84.72144722852164,84.59693930629325,0.12450792222838512,1207.7523441991257,1207.7523441991257,0.0,2.912735944139877,2.912735944139877,0.0,29.723471861776435,29.723471861776435,0.0,277.37781004429615,277.37781004429615,0.0,0.6708191889064447,0.6708191889064447,0.0,6.225663717637094,6.225663717637094,0.0
2031,1447.2650801673547,1422.0089316027909,25.25614856456369,7.4816501897609555,7.467981977963628,0.013668211797327806,77.85519302947213,77.64964338640755,0.2055496430645804,1178.0905599504295,1178.0905599504295,0.0,2.8395951606551835,2.8395951606551835,0.0,27.45318593154182,27.45318593154182,0.0,270.61463705701266,270.61463705701266,0.0,0.6545410997664124,0.6545410997664124,0.0,5.833859100138645,5.833859100138645,0.0
2032,1404.5094587504743,1376.7982775186383,27.711181231835987,7.247999918366481,7.233003313863856,0.014996604502624921,71.15327363340789,70.91982774353207,0.2334458898758198,1149.6910392347106,1149.6910392347106,0.0,2.770394076085672,2.770394076085672,0.0,25.247074825042937,25.247074825042937,0.0,258.0234495368316,258.0234495368316,0.0,0.6247987031359327,0.6247987031359327,0.0,5.409117737349769,5.409117737349769,0.0
