Source,Type,Target,Relation,Domain,Range,Quantifier,Comment,Defined By
EngineExperiment,Class,,,,,,This class refers to the root element. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Metadata,Class,,,,,,This class refers to metadata of the experiment. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Engine,Class,,,,,,This class refers to the engine configuration in the experiment. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Profile,Class,,,,,,This class refers to a profile that is used/generated in the experiment. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Emissions,Class,,,,,,This class refers to emissions measurements performed in the experiment. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Case,Class,,,,,,This class refers to a child case in the experiment. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Manifold,Class,,,,,,This class refers to a manifold within an engine. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Fuel,Class,,,,,,This class refers to a fuel used in the engine. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Cylinder,Class,,,,,,This class refers to a cylinder within an engine. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Valve,Class,,,,,,This class refers to a valve associated to a cylinder within an engine. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Injector,Class,,,,,,This class refers to a fuel injector in a cylinder. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Injection,Class,,,,,,This class refers to the process of fuel injection during an engine experiment. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
PilotInjection,Class,Injection,Is-a,,,,This class refers to the pilot injection of fuel into the engine before the main injection. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
MainInjection,Class,Injection,Is-a,,,,This class refers to the main injection of fuel into the engine. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
PostInjection,Class,Injection,Is-a,,,,This class refers to the post injection of fuel into the engine. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Date,Class,,,,,,This class refers to the date that the experiment was carried out. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Time,Class,,,,,,This class refers to the time that the experiment was carried out. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
StartTime,Class,Time,Is-a,,,,This class refers to the start time of an experiment. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
ElapsedTime,Class,Time,Is-a,,,,This class refers to the elapsed time of an experiment. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
DimensionalisedQuantity,Class,,,,,,This class refers to any dimensionalised quantity. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Speed,Class,DimensionalisedQuantity,Is-a,,,,This parameter measures the rotational speed at which the crankshaft spins. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Torque,Class,DimensionalisedQuantity,Is-a,,,,This parameter quantifies the torque of the engine. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
IMEP,Class,DimensionalisedQuantity,Is-a,,,,This parameter refers to indicated mean effective pressure. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
BMEP,Class,DimensionalisedQuantity,Is-a,,,,This parameter refers to brake mean effective pressure. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
ISFC,Class,DimensionalisedQuantity,Is-a,,,,This parameter refers to indicated specific fuel consumption. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
BSFC,Class,DimensionalisedQuantity,Is-a,,,,This parameter refers to brake specific fuel consumption. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
TotFuelVolDelivDyno,Class,DimensionalisedQuantity,Is-a,,,,This parameter refers to the total fuel volume delivery as measured by a dynamometer. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
TotFuelVolDelivECM,Class,DimensionalisedQuantity,Is-a,,,,This parameter refers to the total fuel volume delivery as measured by an engine control module (ECM) sensor. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
ManifoldPressure,Class,DimensionalisedQuantity,Is-a,,,,The parameter specifies the pressure in the manifold. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
ManifoldTemperature,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the temperature in the manifold. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
AirMassFlowRate,Class,DimensionalisedQuantity,Is-a,,,,This parameter measures the mass flow rate of air. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
ValveDiameter,Class,DimensionalisedQuantity,Is-a,,,,This parameter measures the diameter of the valve. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
ValveArea,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the area of the valve. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
EventHeight,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the valve lift at which an opening/closing event is deemed to occur. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
ValveOpening,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the timing of valve opening. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
ValveClosing,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the timing of valve closing. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Bore,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the internal diameter of the cylindrical part of the engine cylinder. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Stroke,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the travel distance of the piston along the cylinder in either direction. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
ConRodLength,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the length of the connecting rod. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
WristPinOffset,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the wrist pin offset. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
BowlDepth,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the depth of the piston bowl. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
BowlRadius,Class,DimensionalisedQuantity,Is-a,,,,This parameter specifies the radius of the piston bowl. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
Displacement,Class,DimensionalisedQuantity,Is-a,,,,This parameter measures the volume inside the cylinder that is swept by the piston. ,http://www.theworldavatar.com/ontology/ontoengine/OntoEngine.owl
